idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
1.00_4.00_3300_31_110_250,3082,1.0,4.0,3300.0,31.0,110.0,250.0,2.273,86,2978.0,3615.0,325.565,315.0625,265.7025,49.31,45.74,2.079,4.954,107.131,6906.3,52811.4,66624.1,3167.6,2624.4,3167.6,Myz_max/UW,0,0.38,
0.30_3.50_4200_23_140_250,3083,0.3,3.5,4200.0,23.0,140.0,250.0,1.786,86,3875.0,4518.0,325.565,315.0625,265.7025,49.31,45.74,1.634,4.95374,107.13,8599.0,79482.1,96680.0,2604.7,2284.9,2604.7,Myz_max/UW,0,0.37,
0.70_3.50_3600_23_230_550,3084,0.7,3.5,3600.0,23.0,230.0,550.0,2.391,45,2956.0,4228.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,4.31562,107.121,32952.5,46252.4,112157.4,2304.4,1928.0,2304.4,Myz_max/UW,0,0.23,
0.30_4.00_3900_23_140_250,3085,0.3,4.0,3900.0,23.0,140.0,250.0,1.786,80,3575.0,4218.0,325.565,315.0625,265.7025,49.31,45.74,1.634,5.32654,107.109,7986.2,76108.0,92080.4,2649.8,2282.9,2649.8,Myz_max/UW,0,0.33,
0.70_4.00_3300_27_110_250,3086,0.7,4.0,3300.0,27.0,110.0,250.0,2.273,86,2990.0,3603.0,325.565,315.0625,265.7025,49.31,45.74,2.079,4.95227,107.101,6632.1,53237.9,66502.1,3120.3,2576.0,3120.3,Myz_max/UW,0,0.39,
0.50_3.00_4200_27_170_325,3087,0.5,3.0,4200.0,27.0,170.0,325.0,1.912,71,3773.0,4618.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.61556,107.068,14818.4,65933.7,95570.5,2442.3,2155.9,2442.3,Myz_max/UW,0,0.31,
1.00_3.50_4200_27_170_325,3088,1.0,3.5,4200.0,27.0,170.0,325.0,1.912,71,3773.0,4618.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,4.61556,107.068,14818.4,75352.8,104989.6,2456.7,2167.1,2456.7,Myz_max/UW,0,0.29,
0.50_3.00_3600_27_200_475,3089,0.5,3.0,3600.0,27.0,200.0,475.0,2.375,52,3019.0,4168.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,4.31815,107.057,25838.9,42214.3,93892.2,2412.0,2051.4,2412.0,Myz_max/UW,0,0.27,
1.00_3.50_3600_27_200_475,3090,1.0,3.5,3600.0,27.0,200.0,475.0,2.375,52,3019.0,4168.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,4.31815,107.057,25838.9,48245.0,99922.8,2426.8,2062.5,2426.8,Myz_max/UW,0,0.27,
0.50_5.00_3600_27_200_325,3091,0.5,5.0,3600.0,27.0,200.0,325.0,1.625,52,3146.0,4045.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.487,6.31185,107.05,13253.6,72035.4,98542.7,2440.8,2002.8,2440.8,Myz_max/UW,0,0.27,
0.30_4.50_3300_27_170_325,3092,0.3,4.5,3300.0,27.0,170.0,325.0,1.912,56,2873.0,3718.0,423.2345,409.58125000000007,345.41325,64.11,59.46,1.749,5.85787,107.042,11642.0,54614.4,77898.4,2680.5,2138.1,2680.5,Myz_max/UW,0,0.27,
0.30_4.00_4200_19_230_400,3093,0.3,4.0,4200.0,19.0,230.0,400.0,1.739,52,3695.0,4694.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,1.591,5.12562,107.04,21112.6,81303.1,123528.3,2153.1,1871.6,2153.1,Myz_max/UW,0,0.27,
