rank_mass,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa
284,273,0.5,4.5,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,6.33273,39005.9,67881.2,145893.0,1981.5,1582.6,1981.5
285,361,0.7,4.5,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,6.13273,39005.9,67881.2,145893.0,1999.2,1608.9,1999.2
286,534,1.0,4.5,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,5.83273,39005.9,67881.2,145893.0,2027.9,1651.2,2027.9
287,404,0.5,3.5,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,5.27569,32329.2,81297.3,145955.7,1956.5,1688.3,1956.5
288,541,0.7,3.5,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,5.07569,32329.2,81297.3,145955.7,1983.7,1722.0,1983.7
289,807,1.0,3.5,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,4.77569,32329.2,81297.3,145955.7,2027.7,1776.7,2027.7
290,1468,0.5,4.0,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,4.61021,34134.6,77993.0,146262.2,1998.5,1725.4,1998.5
291,1796,0.7,4.0,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,4.41021,34134.6,77993.0,146262.2,2032.0,1766.7,2032.0
292,2325,1.0,4.0,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,4.11021,34134.6,77993.0,146262.2,2087.5,1834.9,2087.5
293,535,0.5,5.0,3900.0,19.0,230.0,550.0,2.391,49,3286.0,4498.0,716.243,108.49,100.63,2.188,5.82892,33862.9,78589.3,146315.2,1972.7,1591.6,1972.7
294,681,0.7,5.0,3900.0,19.0,230.0,550.0,2.391,49,3286.0,4498.0,716.243,108.49,100.63,2.188,5.62892,33862.9,78589.3,146315.2,1994.6,1620.4,1994.6
295,956,1.0,5.0,3900.0,19.0,230.0,550.0,2.391,49,3286.0,4498.0,716.243,108.49,100.63,2.188,5.32892,33862.9,78589.3,146315.2,2030.1,1667.8,2030.1
296,843,0.5,3.5,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,5.12774,40260.3,65884.5,146405.0,1968.9,1679.7,1968.9
297,1060,0.7,3.5,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,4.92774,40260.3,65884.5,146405.0,1995.6,1714.9,1995.6
298,1451,1.0,3.5,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,4.62774,40260.3,65884.5,146405.0,2039.2,1772.3,2039.2
299,1083,0.5,3.5,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,5.27706,33222.7,80181.0,146626.3,1965.3,1702.1,1965.3
300,1323,0.7,3.5,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,5.07706,33222.7,80181.0,146626.3,1992.8,1736.1,1992.8
301,1747,1.0,3.5,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,4.77706,33222.7,80181.0,146626.3,2037.7,1791.0,2037.7
302,217,0.5,4.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,6.12313,30102.6,86658.9,146864.1,1967.6,1630.7,1967.6
303,302,0.7,4.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,5.92313,30102.6,86658.9,146864.1,1989.4,1659.1,1989.4
304,458,1.0,4.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,5.62313,30102.6,86658.9,146864.1,2024.4,1704.6,2024.4
305,701,0.5,4.5,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,6.12459,30966.4,85370.6,147303.4,1966.6,1642.2,1966.6
306,851,0.7,4.5,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,5.92459,30966.4,85370.6,147303.4,1988.9,1670.6,1988.9
307,1145,1.0,4.5,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,5.62459,30966.4,85370.6,147303.4,2024.7,1716.2,2024.7
308,204,0.5,3.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,5.68749,33637.1,80387.1,147661.4,1935.1,1652.4,1935.1
309,293,0.7,3.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,5.48749,33637.1,80387.1,147661.4,1959.0,1683.0,1959.0
310,462,1.0,3.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,5.18749,33637.1,80387.1,147661.4,1997.5,1732.2,1997.5
311,1896,0.5,3.0,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,108.49,100.63,2.188,4.03496,39020.7,69942.2,147983.5,2003.5,1787.3,2003.5
312,2280,0.7,3.0,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,108.49,100.63,2.188,3.83496,39020.7,69942.2,147983.5,2043.3,1835.3,2043.3
313,698,0.5,3.5,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,5.68911,34464.8,79318.1,148247.6,1943.9,1666.1,1943.9
314,864,0.7,3.5,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,5.48911,34464.8,79318.1,148247.6,1968.3,1696.8,1968.3
315,1193,1.0,3.5,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,5.18911,34464.8,79318.1,148247.6,2007.7,1746.4,2007.7
316,110,0.5,4.5,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,6.50758,31323.7,85608.5,148255.8,1959.0,1607.5,1959.0
317,158,0.7,4.5,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,6.30758,31323.7,85608.5,148255.8,1978.6,1633.6,1978.6
318,263,1.0,4.5,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,6.00758,31323.7,85608.5,148255.8,2009.9,1675.5,2009.9
319,447,0.5,4.5,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,6.50931,32126.3,84375.3,148628.0,1957.6,1618.7,1957.6
320,564,0.7,4.5,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,6.30931,32126.3,84375.3,148628.0,1977.7,1644.9,1977.7
