rank_mass,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa
380,1250,0.3,4.5,4500.0,23.0,230.0,400.0,1.739,56,3974.0,5014.0,520.904,78.9,73.19,1.591,6.09022,23677.5,104494.0,151849.1,1979.0,1687.2,1979.0
381,1463,0.5,4.5,4500.0,23.0,230.0,400.0,1.739,56,3974.0,5014.0,520.904,78.9,73.19,1.591,5.89022,23677.5,104494.0,151849.1,2003.3,1716.4,2003.3
382,1705,0.7,4.5,4500.0,23.0,230.0,400.0,1.739,56,3974.0,5014.0,520.904,78.9,73.19,1.591,5.69022,23677.5,104494.0,151849.1,2029.0,1747.1,2029.0
383,2116,1.0,4.5,4500.0,23.0,230.0,400.0,1.739,56,3974.0,5014.0,520.904,78.9,73.19,1.591,5.39022,23677.5,104494.0,151849.1,2070.3,1796.1,2070.3
384,103,0.3,5.0,4500.0,19.0,140.0,325.0,2.321,92,4134.0,4857.0,423.2345,64.11,59.46,2.124,6.2231,13760.4,124385.4,151906.2,2097.4,1773.2,2097.4
385,1134,0.3,5.0,4500.0,23.0,200.0,325.0,1.625,65,4061.0,4930.0,423.2345,64.11,59.46,1.487,6.58593,16004.0,120031.3,152039.3,2075.8,1755.7,2075.8
386,1326,0.5,5.0,4500.0,23.0,200.0,325.0,1.625,65,4061.0,4930.0,423.2345,64.11,59.46,1.487,6.38593,16004.0,120031.3,152039.3,2099.6,1783.9,2099.6
387,713,0.5,4.0,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,5.2695,38402.1,75301.2,152105.3,1939.4,1640.9,1939.4
388,899,0.7,4.0,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,5.0695,38402.1,75301.2,152105.3,1965.3,1674.3,1965.3
389,1257,1.0,4.0,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,4.7695,38402.1,75301.2,152105.3,2007.8,1728.8,2007.8
390,409,0.3,5.0,4500.0,23.0,170.0,325.0,1.912,76,4088.0,4902.0,423.2345,64.11,59.46,1.749,6.58494,15259.7,121632.7,152152.1,2078.1,1750.7,2078.1
391,51,0.3,4.5,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,78.9,73.19,2.153,6.47135,22951.7,106342.8,152246.2,1960.9,1640.5,1960.9
392,78,0.5,4.5,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,78.9,73.19,2.153,6.27135,22951.7,106342.8,152246.2,1982.6,1667.2,1982.6
393,122,0.7,4.5,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,78.9,73.19,2.153,6.07135,22951.7,106342.8,152246.2,2005.3,1695.4,2005.3
394,207,1.0,4.5,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,78.9,73.19,2.153,5.77135,22951.7,106342.8,152246.2,2041.8,1740.5,2041.8
395,570,0.5,4.0,4500.0,19.0,200.0,475.0,2.375,65,3969.0,5018.0,618.5735,93.7,86.91,2.173,5.03088,29230.9,93808.1,152269.9,1953.8,1694.0,1953.8
396,751,0.7,4.0,4500.0,19.0,200.0,475.0,2.375,65,3969.0,5018.0,618.5735,93.7,86.91,2.173,4.83088,29230.9,93808.1,152269.9,1983.4,1729.7,1983.4
397,1099,1.0,4.0,4500.0,19.0,200.0,475.0,2.375,65,3969.0,5018.0,618.5735,93.7,86.91,2.173,4.53088,29230.9,93808.1,152269.9,2032.3,1788.2,2032.3
398,812,0.3,5.0,4500.0,27.0,200.0,325.0,1.625,65,4046.0000000000005,4945.0,423.2345,64.11,59.46,1.487,6.96939,16579.4,119146.2,152305.1,2066.3,1730.1,2066.3
399,974,0.5,5.0,4500.0,27.0,200.0,325.0,1.625,65,4046.0000000000005,4945.0,423.2345,64.11,59.46,1.487,6.76939,16579.4,119146.2,152305.1,2088.3,1756.5,2088.3
400,49,0.3,5.0,4500.0,23.0,140.0,325.0,2.321,92,4116.0,4875.0,423.2345,64.11,59.46,2.124,6.5841,14527.5,123304.6,152359.5,2083.0,1743.1,2083.0
401,299,0.5,5.0,4200.0,19.0,200.0,475.0,2.375,60,3669.0,4718.0,618.5735,93.7,86.91,2.173,5.92778,27211.3,97977.0,152399.6,1951.6,1623.8,1951.6
402,396,0.7,5.0,4200.0,19.0,200.0,475.0,2.375,60,3669.0,4718.0,618.5735,93.7,86.91,2.173,5.72778,27211.3,97977.0,152399.6,1975.0,1653.2,1975.0
403,599,1.0,5.0,4200.0,19.0,200.0,475.0,2.375,60,3669.0,4718.0,618.5735,93.7,86.91,2.173,5.42778,27211.3,97977.0,152399.6,2013.0,1700.1,2013.0
404,252,0.3,5.0,4500.0,27.0,170.0,325.0,1.912,76,4073.0000000000005,4918.0,423.2345,64.11,59.46,1.749,6.9682,15877.1,120741.7,152495.9,2068.7,1725.2,2068.7
405,324,0.5,5.0,4500.0,27.0,170.0,325.0,1.912,76,4073.0000000000005,4918.0,423.2345,64.11,59.46,1.749,6.7682,15877.1,120741.7,152495.9,2090.6,1751.6,2090.6
406,562,0.3,5.0,4500.0,31.0,200.0,325.0,1.625,65,4033.0000000000005,4958.0,423.2345,64.11,59.46,1.487,7.38119,17068.8,118381.8,152519.5,2061.7,1708.6,2061.7
407,674,0.5,5.0,4500.0,31.0,200.0,325.0,1.625,65,4033.0000000000005,4958.0,423.2345,64.11,59.46,1.487,7.18119,17068.8,118381.8,152519.5,2081.9,1733.2,2081.9
408,308,0.3,4.5,4500.0,27.0,200.0,400.0,2.0,65,3982.0,5006.0,520.904,78.9,73.19,1.83,6.47254,23812.5,104915.2,152540.3,1956.3,1645.1,1956.3
409,400,0.5,4.5,4500.0,27.0,200.0,400.0,2.0,65,3982.0,5006.0,520.904,78.9,73.19,1.83,6.27254,23812.5,104915.2,152540.3,1978.2,1671.7,1978.2
410,510,0.7,4.5,4500.0,27.0,200.0,400.0,2.0,65,3982.0,5006.0,520.904,78.9,73.19,1.83,6.07254,23812.5,104915.2,152540.3,2001.1,1699.7,2001.1
411,725,1.0,4.5,4500.0,27.0,200.0,400.0,2.0,65,3982.0,5006.0,520.904,78.9,73.19,1.83,5.77254,23812.5,104915.2,152540.3,2037.9,1744.6,2037.9
412,896,0.3,4.5,4500.0,27.0,230.0,400.0,1.739,56,3956.0,5033.0,520.904,78.9,73.19,1.591,6.47391,24563.7,103549.6,152677.1,1965.2,1659.2,1965.2
413,1071,0.5,4.5,4500.0,27.0,230.0,400.0,1.739,56,3956.0,5033.0,520.904,78.9,73.19,1.591,6.27391,24563.7,103549.6,152677.1,1987.5,1686.0,1987.5
414,1266,0.7,4.5,4500.0,27.0,230.0,400.0,1.739,56,3956.0,5033.0,520.904,78.9,73.19,1.591,6.07391,24563.7,103549.6,152677.1,2010.9,1714.2,2010.9
415,1613,1.0,4.5,4500.0,27.0,230.0,400.0,1.739,56,3956.0,5033.0,520.904,78.9,73.19,1.591,5.77391,24563.7,103549.6,152677.1,2048.3,1759.5,2048.3
416,125,0.5,5.0,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,6.83273,39005.9,74669.4,152681.1,1953.7,1530.7,1953.7
417,176,0.7,5.0,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,6.63273,39005.9,74669.4,152681.1,1969.1,1553.4,1969.1
418,274,1.0,5.0,3900.0,31.0,230.0,550.0,2.391,49,3203.0,4582.0,716.243,108.49,100.63,2.188,6.33273,39005.9,74669.4,152681.1,1993.9,1590.5,1993.9
419,17,0.3,5.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,64.11,59.46,2.124,6.96719,15213.5,122288.1,152715.0,2074.2,1717.7,2074.2
420,31,0.5,5.0,4500.0,27.0,140.0,325.0,2.321,92,4099.0,4891.0,423.2345,64.11,59.46,2.124,6.76719,15213.5,122288.1,152715.0,2095.7,1744.1,2095.7
421,136,0.3,5.0,4500.0,31.0,170.0,325.0,1.912,76,4059.0,4932.0,423.2345,64.11,59.46,1.749,7.37978,16424.4,119913.1,152761.9,2064.4,1703.8,2064.4
422,186,0.5,5.0,4500.0,31.0,170.0,325.0,1.912,76,4059.0,4932.0,423.2345,64.11,59.46,1.749,7.17978,16424.4,119913.1,152761.9,2084.6,1728.3,2084.6
423,845,0.5,5.0,4200.0,19.0,230.0,475.0,2.065,52,3640.0,4746.0,618.5735,93.7,86.91,1.889,5.92877,28256.5,96434.2,152947.2,1950.1,1635.4,1950.1
424,1035,0.7,5.0,4200.0,19.0,230.0,475.0,2.065,52,3640.0,4746.0,618.5735,93.7,86.91,1.889,5.72877,28256.5,96434.2,152947.2,1973.9,1664.8,1973.9
425,1369,1.0,5.0,4200.0,19.0,230.0,475.0,2.065,52,3640.0,4746.0,618.5735,93.7,86.91,1.889,5.42877,28256.5,96434.2,152947.2,2012.1,1711.6,2012.1
426,4,0.3,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,64.11,59.46,2.124,7.37859,15820.0,121394.8,153034.8,2070.9,1696.5,2070.9
427,9,0.5,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,64.11,59.46,2.124,7.17859,15820.0,121394.8,153034.8,2090.6,1721.0,2090.6
428,1377,0.5,4.0,4500.0,19.0,230.0,475.0,2.065,56,3940.0,5046.0,618.5735,93.7,86.91,1.889,5.03181,30318.9,92442.3,153080.0,1961.6,1707.8,1961.6
429,1649,0.7,4.0,4500.0,19.0,230.0,475.0,2.065,56,3940.0,5046.0,618.5735,93.7,86.91,1.889,4.83181,30318.9,92442.3,153080.0,1991.7,1743.5,1991.7
430,2141,1.0,4.0,4500.0,19.0,230.0,475.0,2.065,56,3940.0,5046.0,618.5735,93.7,86.91,1.889,4.53181,30318.9,92442.3,153080.0,2040.8,1802.2,2040.8
431,13,0.3,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,78.9,73.19,2.153,6.88293,23899.8,105337.2,153136.7,1953.2,1616.8,1953.2
432,27,0.5,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,78.9,73.19,2.153,6.68293,23899.8,105337.2,153136.7,1972.8,1641.7,1972.8
433,48,0.7,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,78.9,73.19,2.153,6.48293,23899.8,105337.2,153136.7,1993.3,1667.6,1993.3
434,93,1.0,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,78.9,73.19,2.153,6.18293,23899.8,105337.2,153136.7,2026.0,1709.0,2026.0
435,170,0.3,4.5,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,78.9,73.19,1.83,6.88434,24658.3,104021.3,153337.8,1948.0,1621.3,1948.0
436,229,0.5,4.5,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,78.9,73.19,1.83,6.68434,24658.3,104021.3,153337.8,1967.9,1646.1,1967.9
437,303,0.7,4.5,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,78.9,73.19,1.83,6.48434,24658.3,104021.3,153337.8,1988.8,1672.0,1988.8
438,445,1.0,4.5,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,78.9,73.19,1.83,6.18434,24658.3,104021.3,153337.8,2022.1,1713.2,2022.1
439,612,0.3,4.5,4500.0,31.0,230.0,400.0,1.739,56,3939.0,5050.0,520.904,78.9,73.19,1.591,6.88596,25362.2,102661.5,153385.9,1956.5,1635.1,1956.5
440,739,0.5,4.5,4500.0,31.0,230.0,400.0,1.739,56,3939.0,5050.0,520.904,78.9,73.19,1.591,6.68596,25362.2,102661.5,153385.9,1976.7,1660.1,1976.7
441,892,0.7,4.5,4500.0,31.0,230.0,400.0,1.739,56,3939.0,5050.0,520.904,78.9,73.19,1.591,6.48596,25362.2,102661.5,153385.9,1998.0,1686.1,1998.0
442,1161,1.0,4.5,4500.0,31.0,230.0,400.0,1.739,56,3939.0,5050.0,520.904,78.9,73.19,1.591,6.18596,25362.2,102661.5,153385.9,2032.0,1727.7,2032.0
443,175,0.5,5.0,4200.0,23.0,200.0,475.0,2.375,60,3643.0,4744.0,618.5735,93.7,86.91,2.173,6.26514,28730.4,96593.3,154054.0,1937.9,1596.7,1937.9
444,243,0.7,5.0,4200.0,23.0,200.0,475.0,2.375,60,3643.0,4744.0,618.5735,93.7,86.91,2.173,6.06514,28730.4,96593.3,154054.0,1959.1,1623.5,1959.1
445,379,1.0,5.0,4200.0,23.0,200.0,475.0,2.375,60,3643.0,4744.0,618.5735,93.7,86.91,2.173,5.76514,28730.4,96593.3,154054.0,1993.1,1667.0,1993.1
446,820,0.5,3.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,108.49,100.63,2.188,4.78021,43190.3,67870.0,154250.5,1921.8,1679.7,1921.8
447,1051,0.7,3.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,108.49,100.63,2.188,4.58021,43190.3,67870.0,154250.5,1951.3,1716.9,1951.3
448,1479,1.0,3.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,108.49,100.63,2.188,4.28021,43190.3,67870.0,154250.5,1999.4,1777.3,1999.4
449,337,0.5,4.0,4500.0,23.0,200.0,475.0,2.375,65,3943.0,5044.0,618.5735,93.7,86.91,2.173,5.39223,30858.8,92583.1,154300.8,1927.0,1653.7,1927.0
450,455,0.7,4.0,4500.0,23.0,200.0,475.0,2.375,65,3943.0,5044.0,618.5735,93.7,86.91,2.173,5.19223,30858.8,92583.1,154300.8,1953.4,1686.3,1953.4
451,707,1.0,4.0,4500.0,23.0,200.0,475.0,2.375,65,3943.0,5044.0,618.5735,93.7,86.91,2.173,4.89223,30858.8,92583.1,154300.8,1996.2,1738.5,1996.2
452,600,0.5,5.0,4200.0,23.0,230.0,475.0,2.065,52,3615.0,4771.0,618.5735,93.7,86.91,1.889,6.26635,29687.7,95114.1,154489.5,1936.0,1608.2,1936.0
453,737,0.7,5.0,4200.0,23.0,230.0,475.0,2.065,52,3615.0,4771.0,618.5735,93.7,86.91,1.889,6.06635,29687.7,95114.1,154489.5,1957.6,1635.0,1957.6
454,1000,1.0,5.0,4200.0,23.0,230.0,475.0,2.065,52,3615.0,4771.0,618.5735,93.7,86.91,1.889,5.76635,29687.7,95114.1,154489.5,1992.3,1678.5,1992.3
455,1629,0.5,3.5,4500.0,15.0,230.0,550.0,2.391,56,3919.0,5066.0,716.243,108.49,100.63,2.188,4.19039,36625.3,81297.3,154547.9,1970.8,1747.4,1970.8
456,1985,0.7,3.5,4500.0,15.0,230.0,550.0,2.391,56,3919.0,5066.0,716.243,108.49,100.63,2.188,3.99039,36625.3,81297.3,154547.9,2008.8,1792.5,2008.8
457,2594,1.0,3.5,4500.0,15.0,230.0,550.0,2.391,56,3919.0,5066.0,716.243,108.49,100.63,2.188,3.69039,36625.3,81297.3,154547.9,2072.7,1868.0,2072.7
458,442,0.5,4.0,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,5.62774,40260.3,74120.0,154640.6,1920.1,1608.4,1920.1
459,585,0.7,4.0,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,5.42774,40260.3,74120.0,154640.6,1943.0,1638.8,1943.0
460,844,1.0,4.0,4200.0,27.0,230.0,550.0,2.391,52,3528.0,4856.0,716.243,108.49,100.63,2.188,5.12774,40260.3,74120.0,154640.6,1980.3,1688.3,1980.3
461,856,0.5,4.5,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,5.11021,34134.6,86658.9,154928.1,1935.9,1642.6,1935.9
462,1079,0.7,4.5,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,4.91021,34134.6,86658.9,154928.1,1964.2,1677.3,1964.2
463,1469,1.0,4.5,4200.0,15.0,230.0,550.0,2.391,52,3619.0,4766.0,716.243,108.49,100.63,2.188,4.61021,34134.6,86658.9,154928.1,2010.5,1734.2,2010.5
464,958,0.5,4.0,4500.0,23.0,230.0,475.0,2.065,56,3915.0,5071.0,618.5735,93.7,86.91,1.889,5.39337,31852.6,91272.9,154978.1,1934.5,1667.4,1934.5
465,1182,0.7,4.0,4500.0,23.0,230.0,475.0,2.065,56,3915.0,5071.0,618.5735,93.7,86.91,1.889,5.19337,31852.6,91272.9,154978.1,1961.4,1700.1,1961.4
466,1569,1.0,4.0,4500.0,23.0,230.0,475.0,2.065,56,3915.0,5071.0,618.5735,93.7,86.91,1.889,4.89337,31852.6,91272.9,154978.1,2005.0,1752.6,2005.0
467,88,0.5,5.0,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,6.62313,30102.6,95324.7,155530.0,1929.3,1573.8,1929.3
468,130,0.7,5.0,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,6.42313,30102.6,95324.7,155530.0,1948.5,1599.0,1948.5
469,218,1.0,5.0,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,6.12313,30102.6,95324.7,155530.0,1979.2,1638.9,1979.2
470,394,0.5,5.0,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,6.62459,30966.4,93907.7,155840.4,1926.8,1585.1,1926.8
471,503,0.7,5.0,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,6.42459,30966.4,93907.7,155840.4,1946.5,1610.4,1946.5
472,702,1.0,5.0,4200.0,27.0,230.0,475.0,2.065,52,3592.0,4794.0,618.5735,93.7,86.91,1.889,6.12459,30966.4,93907.7,155840.4,1978.0,1650.3,1978.0
473,177,0.5,4.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,5.77569,32329.2,91459.5,156117.8,1906.3,1619.7,1906.3
474,253,0.7,4.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,5.57569,32329.2,91459.5,156117.8,1929.9,1649.1,1929.9
475,405,1.0,4.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,93.7,86.91,2.173,5.27569,32329.2,91459.5,156117.8,1967.9,1696.7,1967.9
476,633,0.5,4.0,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,5.77706,33222.7,90203.6,156649.0,1914.0,1633.3,1914.0
477,793,0.7,4.0,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,5.57706,33222.7,90203.6,156649.0,1937.9,1662.9,1937.9
478,1085,1.0,4.0,4500.0,27.0,230.0,475.0,2.065,56,3892.0,5094.0,618.5735,93.7,86.91,1.889,5.27706,33222.7,90203.6,156649.0,1976.5,1710.7,1976.5
479,42,0.5,5.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,7.00758,31323.7,94169.3,156816.7,1925.4,1555.1,1925.4
480,59,0.7,5.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,6.80758,31323.7,94169.3,156816.7,1942.8,1578.3,1942.8
481,111,1.0,5.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,6.50758,31323.7,94169.3,156816.7,1970.5,1615.5,1970.5
482,256,0.5,4.0,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,6.01246,41907.6,73073.3,156888.5,1906.1,1580.6,1906.1
483,345,0.7,4.0,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,5.81246,41907.6,73073.3,156888.5,1926.5,1608.7,1926.5
484,524,1.0,4.0,4200.0,31.0,230.0,550.0,2.391,52,3503.0,4882.0,716.243,108.49,100.63,2.188,5.51246,41907.6,73073.3,156888.5,1959.3,1653.6,1959.3
485,474,0.5,3.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,108.49,100.63,2.188,5.19226,44954.4,66986.4,156895.2,1892.9,1637.7,1892.9
486,630,0.7,3.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,108.49,100.63,2.188,4.99226,44954.4,66986.4,156895.2,1918.5,1670.6,1918.5
487,917,1.0,3.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,108.49,100.63,2.188,4.69226,44954.4,66986.4,156895.2,1960.1,1724.4,1960.1
488,238,0.5,5.0,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,7.00931,32126.3,92812.9,157065.5,1922.4,1566.0,1922.4
489,316,0.7,5.0,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,6.80931,32126.3,92812.9,157065.5,1940.3,1589.3,1940.3
490,448,1.0,5.0,4200.0,31.0,230.0,475.0,2.065,52,3571.0,4816.0,618.5735,93.7,86.91,1.889,6.50931,32126.3,92812.9,157065.5,1968.7,1626.7,1968.7
491,74,0.5,4.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,6.18749,33637.1,90435.5,157709.8,1891.5,1590.4,1891.5
492,119,0.7,4.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,5.98749,33637.1,90435.5,157709.8,1912.5,1617.5,1912.5
493,205,1.0,4.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,93.7,86.91,2.173,5.68749,33637.1,90435.5,157709.8,1946.2,1660.6,1946.2
494,574,0.5,4.5,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,5.43192,36369.2,85085.7,157824.0,1910.9,1604.6,1910.9
495,744,0.7,4.5,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,5.23192,36369.2,85085.7,157824.0,1936.1,1636.4,1936.1
496,1050,1.0,4.5,4200.0,19.0,230.0,550.0,2.391,52,3586.0,4798.0,716.243,108.49,100.63,2.188,4.93192,36369.2,85085.7,157824.0,1977.2,1687.7,1977.2
497,1119,0.5,3.5,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,108.49,100.63,2.188,4.53496,39020.7,79934.0,157975.3,1927.8,1691.2,1927.8
498,1399,0.7,3.5,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,108.49,100.63,2.188,4.33496,39020.7,79934.0,157975.3,1960.9,1730.9,1960.9
499,1897,1.0,3.5,4500.0,19.0,230.0,550.0,2.391,56,3886.0,5098.0,716.243,108.49,100.63,2.188,4.03496,39020.7,79934.0,157975.3,2015.4,1796.7,2015.4
500,372,0.5,4.0,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,6.18911,34464.8,89232.8,158162.4,1898.9,1603.7,1898.9
501,487,0.7,4.0,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,5.98911,34464.8,89232.8,158162.4,1920.4,1631.0,1920.4
502,699,1.0,4.0,4500.0,31.0,230.0,475.0,2.065,56,3871.0,5116.0,618.5735,93.7,86.91,1.889,5.68911,34464.8,89232.8,158162.4,1954.9,1674.4,1954.9
503,168,0.3,5.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.88275,19533.2,120801.0,159867.4,1963.9,1671.1,1963.9
504,239,0.5,5.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.68275,19533.2,120801.0,159867.4,1989.2,1701.3,1989.2
505,331,0.7,5.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.48275,19533.2,120801.0,159867.4,2015.9,1733.1,2015.9
506,516,1.0,5.0,4500.0,15.0,170.0,400.0,2.353,76,4074.0,4914.0,520.904,78.9,73.19,2.153,5.18275,19533.2,120801.0,159867.4,2059.5,1784.8,2059.5
507,643,0.3,5.0,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.88338,20582.8,119087.3,160252.8,1958.1,1675.7,1958.1
508,798,0.5,5.0,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.68338,20582.8,119087.3,160252.8,1983.6,1705.7,1983.6
509,987,0.7,5.0,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.48338,20582.8,119087.3,160252.8,2010.6,1737.3,2010.6
510,1333,1.0,5.0,4500.0,15.0,200.0,400.0,2.0,65,4045.0,4943.0,520.904,78.9,73.19,1.83,5.18338,20582.8,119087.3,160252.8,2054.2,1788.4,2054.2
511,366,0.5,4.5,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,5.7695,38402.1,83668.0,160472.1,1892.2,1573.2,1892.2
512,488,0.7,4.5,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,5.5695,38402.1,83668.0,160472.1,1914.5,1602.3,1914.5
513,714,1.0,4.5,4200.0,23.0,230.0,550.0,2.391,52,3556.0,4828.0,716.243,108.49,100.63,2.188,5.2695,38402.1,83668.0,160472.1,1950.6,1649.2,1950.6
514,1467,0.3,5.0,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.88409,21522.9,117444.4,160490.1,1967.1,1690.1,1967.1
515,1719,0.5,5.0,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.68409,21522.9,117444.4,160490.1,1992.7,1720.4,1992.7
516,1989,0.7,5.0,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.48409,21522.9,117444.4,160490.1,2019.8,1752.1,2019.8
517,2424,1.0,5.0,4500.0,15.0,230.0,400.0,1.739,56,4017.0000000000005,4972.0,520.904,78.9,73.19,1.591,5.18409,21522.9,117444.4,160490.1,2063.7,1803.4,2063.7
518,459,0.5,4.5,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,5.18653,27478.0,105654.2,160610.2,1924.4,1661.3,1924.4
519,618,0.7,4.5,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,4.98653,27478.0,105654.2,160610.2,1953.3,1695.3,1953.3
520,902,1.0,4.5,4500.0,15.0,200.0,475.0,2.375,65,3996.0,4990.0,618.5735,93.7,86.91,2.173,4.68653,27478.0,105654.2,160610.2,2000.2,1750.9,2000.2
521,86,0.3,5.0,4500.0,19.0,170.0,400.0,2.353,76,4051.0,4937.0,520.904,78.9,73.19,2.153,6.22693,20766.2,119440.9,160973.3,1944.8,1637.5,1944.8
