gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,7,47.6663,4.093,8.302,100,89,0,11,0,0.0
2,8,48.9122,4.083,7.8314,200,172,6,22,0,0.0
3,9,49.9381,4.08,7.1221,300,261,12,27,0,0.1
4,9,50.2737,4.08,7.1221,400,351,18,31,0,0.1
