rank,key,z1,z2,alpha,D_pw_mm,slenderness,Z,L_w_mm,L_we_mm,D_we_mm,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3468.0_28_226.30_493.20,1.0,6.0,28.0,3468.0,2.1794,44,493.2,484.6,226.3,2842.0,4080.0,642.0,622.0,524.0,,18655.6,123679.6,160990.8,2097.0,1.2,17.8,18.6556,123.6796,160.9908,3.0
2,1.00_6.00_3486.0_27_226.40_482.30,1.0,6.0,27.0,3486.0,2.1303,44,482.3,473.7,226.4,2875.0,4083.0,628.0,608.0,513.0,,17899.2,121087.4,156885.8,2097.4,1.2,17.8,17.8992,121.0874,156.8858,2.6
3,1.00_6.00_3768.0_18_214.30_412.20,1.0,6.0,18.0,3768.0,1.9235,50,412.2,403.6,214.3,3274.0,4250.0,537.0,519.0,438.0,,13372.0,98091.4,124835.4,2041.6,1.2,17.8,13.372,98.0914,124.8354,58.4
4,1.00_6.00_3875.0_17_200.90_375.80,1.0,6.0,17.0,3875.0,1.8706,55,375.8,367.2,200.9,3425.0,4314.0,489.0,474.0,399.0,,11408.2,92155.7,114972.1,2082.8,1.2,17.8,11.4082,92.1557,114.9721,17.2
5,1.00_6.00_4034.0_17_198.30_313.70,1.0,6.0,17.0,4034.0,1.5819,58,313.7,305.1,198.3,3629.0,4430.0,409.0,395.0,333.0,,8952.8,85251.9,103157.5,2080.7,1.2,17.8,8.9528,85.2519,103.1575,19.3
6,1.00_6.00_4265.0_16_175.40_311.50,1.0,6.0,16.0,4265.0,1.7759,70,311.5,302.9,175.4,3888.0,4633.0,406.0,393.0,331.0,,8739.7,78312.8,95792.2,2053.9,1.2,17.8,8.7397,78.3128,95.7922,46.1
7,1.00_6.00_4542.0_19_148.60_283.70,1.0,6.0,19.0,4542.0,1.9092,88,283.7,275.1,148.6,4197.0,4879.0,369.0,358.0,302.0,,7745.1,71428.3,86918.5,2094.8,1.2,17.8,7.7451,71.4283,86.9185,5.2
8,1.00_6.00_4547.0_28_160.20_250.30,1.0,6.0,28.0,4547.0,1.5624,82,250.3,241.7,160.2,4189.0,4898.0,326.0,315.0,266.0,,7122.1,71606.7,85850.9,2077.3,1.2,17.8,7.1221,71.6067,85.8509,22.7
