gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,6,6607.9733,4.5885,61.994,224,224,0,0,0,0.0
2,5,6760.3638,4.5885,58.1003,448,447,1,0,0,0.1
3,5,6770.5532,4.5885,58.1003,672,671,1,0,0,0.1
4,6,6795.6683,4.5885,57.4974,896,894,2,0,0,0.2
