condition,batches,prep_s,analysis_s,ms_per_point,eff_cores,peak_rss_MB,peak_sysmem_pct,max_rel_err,status
N=1 (현행),100,0.0,30.94944930000929,309.4944930000929,8.129183416517995,1439.50390625,73.1,0.0,기준 ✅
N=10,10,2.17057889996795,17.401845500047784,174.01845500047784,9.848093410525305,2079.32421875,75.8,0.0,완료 ✅
N=20,5,2.0691809999989346,15.707026300020516,157.07026300020516,10.838103390695771,1970.62109375,72.2,0.0,완료 ✅
N=25,4,2.0585567000089213,16.896033900004113,168.96033900004113,10.043037378136338,2087.5234375,75.9,0.0,완료 ✅
N=30,4,1.989516099973116,16.38721469999291,163.8721469999291,10.396824788051,2066.93359375,72.8,0.0,완료 ✅
N=50,2,2.519908899994334,20.871306800021557,208.71306800021557,8.309104775356992,2192.109375,76.8,0.0,완료 ✅
N=100,1,3.604537300008815,19.058387199998833,190.58387199998833,8.934714580676083,2347.43359375,77.3,0.0,완료 ✅
