index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,3.92918,0.006548633333333335,4991560.0,42933.799999999996,2093800.0000000002,-3808430.0,-20311000.0,14120900.0,Main Bearing_UW,1550.8044771484751,1502.9493525776772,8.546851014524005,11120726.082034925,12662650.475896455,13887305.274957532,12678657.329998152,5.888674251146589e-10,5.171613435748508e-10,4.7155536683868e-10,5.16508425370803e-10,,
0,0.0,3.92918,0.006548633333333335,4991560.0,42933.799999999996,2093800.0000000002,-3808430.0,-20311000.0,14120900.0,Main Bearing_DW,1167.846858633926,1132.2020567600534,16.981436990425497,109654760.7745339,314943025.71962863,155016615.3004848,270027886.6103193,5.972046527736515e-11,2.079307302763744e-11,4.224471886861572e-11,2.425169272529156e-11,,
1,0.1,3.92875,0.006547916666666667,4982560.0,54342.5,2084440.0,-4126370.0,-19340600.0,14183000.0,Main Bearing_UW,1535.8154021948824,1488.4248677605817,8.76453637678863,12093235.901974706,14163000.17031042,15124422.901186053,14086885.465732003,5.414528187279847e-10,4.6232553752226297e-10,4.3293662901697767e-10,4.648235894722961e-10,,
1,0.1,3.92875,0.006547916666666667,4982560.0,54342.5,2084440.0,-4126370.0,-19340600.0,14183000.0,Main Bearing_DW,1147.4677159292337,1112.444866211673,17.779779110894737,127800897.07558197,395806070.6881345,180604798.0157047,329893134.0126679,5.123529502922192e-11,1.6543244663435025e-11,3.625549674542581e-11,1.98485994146675e-11,,
2,0.2,3.93015,0.00655025,4947810.0,42700.0,2058020.0,-4740460.0,-17689400.0,14185600.0,Main Bearing_UW,1508.9144819217488,1462.3573793933017,9.170962835758163,14065736.484168313,17351976.122350447,17632934.27184003,17037247.114873987,4.656883773823456e-10,3.774930275268684e-10,3.714781612077358e-10,3.844664549287103e-10,,
2,0.2,3.93015,0.00655025,4947810.0,42700.0,2058020.0,-4740460.0,-17689400.0,14185600.0,Main Bearing_DW,1113.2126807792972,1079.2360712171828,19.264021725557324,166956204.43727195,592983110.362146,235584193.92252994,468542333.9900239,3.923334279236703e-11,1.1046267398745368e-11,2.7804284705764255e-11,1.3980060124384547e-11,,
3,0.30000000000000004,3.92181,0.00653635,4951820.0,15580.5,2027250.0,-5416080.0,-16940700.0,14174000.0,Main Bearing_UW,1501.2172920086402,1454.8989138474012,9.330076421856587,14895784.08326151,18723588.535082743,18579221.26019553,18160619.52852458,4.3880536690545473e-10,3.490970754752871e-10,3.518096861251982e-10,3.599188887655217e-10,,
3,0.30000000000000004,3.92181,0.00653635,4951820.0,15580.5,2027250.0,-5416080.0,-16940700.0,14174000.0,Main Bearing_DW,1098.2006216970017,1064.6826718551138,19.85245861341806,184569681.5081442,689914567.2391342,262484605.9587121,539857372.9013518,3.5413996202358845e-11,9.474144061281152e-12,2.49018412951354e-11,1.2107549749430556e-11,,
4,0.4,3.9078,0.006513,5010330.0,-2109.25,2010500.0,-6029490.0,-17100000.0,14183000.0,Main Bearing_UW,1511.2024949947045,1464.5750732691502,9.209056750254788,14261433.988267077,17620021.49419621,17628542.56112641,16985982.995539375,4.5668619336304215e-10,3.6963632548037986e-10,3.694576552438399e-10,3.8343379960467137e-10,,
4,0.4,3.9078,0.006513,5010330.0,-2109.25,2010500.0,-6029490.0,-17100000.0,14183000.0,Main Bearing_DW,1103.4931353782688,1069.8128925796877,19.44376713265844,172205652.29513964,618565021.1015775,247999492.7970793,499217298.8626723,3.78210582126393e-11,1.0529208373925283e-11,2.6262150484836408e-11,1.3046422900083906e-11,,
5,0.5,3.89333,0.006488883333333334,5041420.0,-843.125,2008250.0,-6488240.0,-17160100.0,14197300.0,Main Bearing_UW,1515.3732113354727,1468.6166643027836,9.146841159788671,13942794.389562046,17055686.224975526,17206642.96565188,16452908.445443591,4.65393317295928e-10,3.8045278552506e-10,3.7711500995787065e-10,3.9439126248407115e-10,,
5,0.5,3.89333,0.006488883333333334,5041420.0,-843.125,2008250.0,-6488240.0,-17160100.0,14197300.0,Main Bearing_DW,1108.0994273340318,1074.2791196375304,19.196857258219787,165023762.1704453,577833516.3728145,238175462.87204626,471929552.8597259,3.932090292930827e-11,1.1229676281267747e-11,2.724413025207102e-11,1.3749686354696374e-11,,
6,0.6000000000000001,3.88745,0.006479083333333333,5008760.0,14302.099999999999,2005170.0,-6719890.0,-16462599.999999998,14236000.0,Main Bearing_UW,1501.2644273753212,1454.944891721266,9.343396728222155,14966789.969503507,18748183.014254052,18594743.869394097,18098717.646532048,4.328973244453342e-10,3.4558460030005856e-10,3.484362774147989e-10,3.5798576782454037e-10,,
6,0.6000000000000001,3.88745,0.006479083333333333,5008760.0,14302.099999999999,2005170.0,-6719890.0,-16462599.999999998,14236000.0,Main Bearing_DW,1097.1874952513956,1063.7007751220758,19.82570058593633,183741747.24697328,679878372.9378799,262840496.29339653,537375496.5930396,3.5261901176027164e-11,9.529768251541844e-12,2.4650247677591646e-11,1.2056901318371825e-11,,
