key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,rank,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1.00_6.00_4392.0_17_164.40_381.20,1.0,6.0,4392.0,17.0,164.4,381.2,2.3187,77,3973.0,4800.0,496.0,480.0,405.0,6.3191,17947.3,75723.2,111617.8,2098.0,1,,0.29,372.6,1.2106,15.7894,40,17.9473,75.7232,111.6178,2.0
1.00_6.00_4403.0_15_163.00_386.70,1.0,6.0,4403.0,15.0,163.0,386.7,2.3724,78,3993.0,4802.0,504.0,487.0,411.0,6.15686,17836.6,75221.3,110894.6,2098.2,1,,0.3,378.1,1.06,13.94,41,17.8366,75.2213,110.8945,1.8
1.00_6.00_4403.0_16_163.00_382.50,1.0,6.0,4403.0,16.0,163.0,382.5,2.3466,78,3990.0,4805.0,498.0,482.0,407.0,6.23873,17795.3,75461.3,111051.9,2098.6,1,,0.27,373.9,1.129,14.871,42,17.7953,75.4613,111.0519,1.4
1.00_6.00_4404.0_17_163.00_378.90,1.0,6.0,4404.0,17.0,163.0,378.9,2.3245,78,3988.0,4809.0,493.0,478.0,403.0,6.32174,17779.5,75422.3,110981.3,2099.3,1,,0.32,370.3,1.1975,15.8025,43,17.7795,75.4223,110.9813,0.7
1.00_6.00_4414.0_15_172.10_380.80,1.0,6.0,4414.0,15.0,172.1,380.8,2.2127,74,3999.0,4818.0,496.0,480.0,405.0,6.15898,17708.2,75337.9,110754.3,2096.4,1,,0.29,372.2,1.1143,13.8857,44,17.7082,75.3379,110.7543,3.6
1.00_6.00_4445.0_16_169.00_372.40,1.0,6.0,4445.0,16.0,169.0,372.4,2.2036,76,4033.0,4846.0,485.0,469.0,396.0,6.25088,17345.5,74488.8,109179.7,2099.4,1,,0.31,363.8,1.1585,14.8415,45,17.3455,74.4888,109.1798,0.6
1.00_6.00_4473.0_16_167.70_369.50,1.0,6.0,4473.0,16.0,167.7,369.5,2.2033,77,4064.0,4871.0,481.0,466.0,393.0,6.25787,17192.1,73859.7,108243.9,2099.3,1,,0.3,360.9,1.1429,14.8571,46,17.1921,73.8597,108.2439,0.7
1.00_6.00_4488.0_15_172.40_369.70,1.0,6.0,4488.0,15.0,172.4,369.7,2.1444,75,4080.0,4886.0,481.0,466.0,393.0,6.17778,17142.3,73546.6,107831.2,2099.8,1,,0.29,361.1,1.0984,13.9016,47,17.1423,73.5466,107.8312,0.2
1.00_6.00_4485.0_16_177.30_363.70,1.0,6.0,4485.0,16.0,177.3,363.7,2.0513,73,4071.0,4889.0,474.0,458.0,387.0,6.26251,17080.9,73685.2,107847.0,2099.9,1,,0.3,355.1,1.2028,14.7972,48,17.0809,73.6852,107.847,0.1
1.00_6.00_4497.0_16_166.50_367.10,1.0,6.0,4497.0,16.0,166.5,367.1,2.2048,78,4091.0,4893.0,478.0,463.0,390.0,6.26472,17068.6,73136.1,107273.2,2099.5,1,,0.28,358.5,1.1292,14.8708,49,17.0686,73.1361,107.2733,0.5
1.00_6.00_4517.0_17_171.50_360.70,1.0,6.0,4517.0,17.0,171.5,360.7,2.1032,76,4105.0,4918.0,470.0,455.0,383.0,6.35642,17030.9,72776.4,106838.3,2097.1,1,,0.36,352.1,1.2274,15.7726,50,17.0309,72.7764,106.8382,2.9
1.00_6.00_4539.0_16_171.80_362.10,1.0,6.0,4539.0,16.0,171.8,362.1,2.1077,76,4131.0,4937.0,472.0,456.0,385.0,6.27785,16992.6,72318.0,106303.1,2097.1,1,,0.29,353.5,1.1534,14.8466,51,16.9926,72.318,106.3032,2.9
1.00_6.00_4547.0_16_171.60_361.00,1.0,6.0,4547.0,16.0,171.6,361.0,2.1037,76,4140.0,4944.0,470.0,455.0,384.0,6.27914,16911.1,72168.2,105990.4,2099.5,1,,0.3,352.4,1.1502,14.8498,52,16.9111,72.1682,105.9904,0.5
1.00_6.00_4581.0_16_171.70_356.20,1.0,6.0,4581.0,16.0,171.7,356.2,2.0745,77,4177.0,4975.0,464.0,449.0,379.0,6.28888,16693.7,71571.6,104959.0,2094.8,1,,0.3,347.6,1.1426,14.8574,53,16.6937,71.5716,104.959,5.2
