design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
c45,DLC1.2-i-s6,0.49,center,30,2997.0,1.9041,-38.9403,0.5961
c45,DLC1.2-j-s1,0.51,center,30,1332.0,2.8726,-42.1607,0.5856
c45,DLC1.2-j-s2,0.55,center,30,1332.0,1.969,-31.464,0.5608
c45,DLC1.2-j-s3,0.54,min_pos,30,1332.0,3.181,-41.6499,1.3178
c45,DLC1.2-j-s4,0.52,center,30,1332.0,2.2546,-42.1177,0.6583
c45,DLC1.2-j-s5,0.56,center,30,1332.0,2.0887,-28.6355,0.3504
c45,DLC1.2-j-s6,0.57,center,30,1332.0,2.4235,-45.1715,1.06
c45,DLC1.2-k-s1,0.61,center,30,538.2,2.1726,-22.5437,0.2859
c45,DLC1.2-k-s2,0.65,center,30,538.2,2.709,-19.7379,1.3831
c45,DLC1.2-k-s3,0.63,center,30,538.2,2.7449,-20.5787,0.7403
c45,DLC1.2-k-s4,0.61,center,30,538.2,2.7721,-17.9199,0.6186
c45,DLC1.2-k-s5,0.52,center,30,538.2,1.2102,7.2847,2.1113
c45,DLC1.2-k-s6,0.58,min_pos,30,538.2,3.2385,-24.9897,0.722
c45,DLC2.4.1-a-s1,0.31,center,3,50.0,2.7897,-6.3149,1.0164
c45,DLC2.4.1-a-s2,0.39,center,3,50.0,2.2827,-5.8597,0.8088
c45,DLC2.4.1-a-s3,0.32,center,3,50.0,2.786,-10.8376,0.2488
c45,DLC2.4.1-a-s4,0.42,min_pos,3,50.0,3.238,-13.0886,0.0135
c45,DLC2.4.1-a-s5,0.43,center,3,50.0,2.4169,-5.7073,0.9014
c45,DLC2.4.1-a-s6,0.28,center,3,50.0,2.2729,-5.3043,0.9269
c45,DLC2.4.1-b-s1,0.92,min_pos,3,50.0,4.7344,-21.0874,0.1849
c45,DLC2.4.1-b-s2,0.96,min_pos,3,50.0,4.151,-17.2102,0.4471
c45,DLC2.4.1-b-s3,0.79,min_pos,3,50.0,6.0369,-26.4545,0.3823
c45,DLC2.4.1-b-s4,0.91,min_pos,3,50.0,5.1779,-19.8442,0.7144
c45,DLC2.4.1-b-s5,0.81,min_pos,3,50.0,6.493,-17.7208,1.1679
c45,DLC2.4.1-b-s6,0.7,min_pos,3,50.0,4.3875,-13.3314,1.1706
c45,DLC2.4.2-a-s1,0.27,center,15,25.0,2.3031,-28.6801,1.2326
c45,DLC2.4.2-a-s2,0.19,center,15,25.0,1.6781,-2.2141,1.4159
c45,DLC2.4.2-a-s3,0.22,center,15,25.0,2.3396,-6.5147,1.8049
c45,DLC2.4.2-a-s4,0.16,center,15,25.0,1.4668,3.495,1.6284
c45,DLC2.4.2-a-s5,0.25,center,15,25.0,2.6898,-15.8144,1.7318
c45,DLC2.4.2-a-s6,0.19,center,15,25.0,1.4796,-2.5378,1.2408
c45,DLC2.4.2-b-s1,0.29,center,15,25.0,2.4305,-4.872,1.3243
c45,DLC2.4.2-b-s2,0.45,center,15,25.0,2.918,-9.6877,0.6927
c45,DLC2.4.2-b-s3,0.38,center,15,25.0,2.6666,-7.8979,0.9885
c45,DLC2.4.2-b-s4,0.38,center,15,25.0,2.6121,-5.7267,1.2637
c45,DLC2.4.2-b-s5,0.39,center,15,25.0,2.6741,-4.7102,1.4655
c45,DLC2.4.2-b-s6,0.26,center,15,25.0,2.6671,-4.4879,1.5497
c45,DLC4.1-a-y1,0.34,center,10,10000.0,1.7296,0.3276,1.5394
c45,DLC4.1-a-y2,0.34,center,10,10000.0,1.7138,0.3182,1.5254
c45,DLC4.1-a-y3,0.34,center,10,10000.0,1.7238,0.4089,1.5462
c45,DLC4.1-b-y1,0.07,center,10,500.0,1.251,3.8279,1.5234
c45,DLC4.1-b-y2,0.0,center,10,500.0,1.3313,4.7745,1.6981
c45,DLC4.1-b-y3,0.05,center,10,500.0,1.2409,3.7382,1.508
c45,DLC4.1-c-y1,0.07,center,10,500.0,1.7939,-1.3154,1.329
c45,DLC4.1-c-y2,0.23,center,10,500.0,2.572,-5.1036,1.3882
c45,DLC4.1-c-y3,0.49,min_pos,10,500.0,3.5006,-10.8943,0.8375
c45,DLC6.4-a-s1,3.0,center,30,24340.0,0.1483,0.176,0.1526
c45,DLC6.4-a-s2,3.0,center,30,24340.0,0.5779,0.5998,0.5812
c45,DLC6.4-a-s3,3.0,center,30,24340.0,0.4514,0.5828,0.4715
c45,DLC6.4-a-s4,3.0,center,30,24340.0,0.5664,0.6729,0.5827
c45,DLC6.4-a-s5,3.0,center,30,24340.0,0.2315,0.2707,0.2375
c45,DLC6.4-a-s6,3.0,center,30,24340.0,0.5386,0.6097,0.5495
c45,DLC6.4-b-s1,0.24,center,30,292.4,2.4837,-5.2401,1.2454
c45,DLC6.4-b-s2,0.25,center,30,292.4,2.7839,-5.8333,1.383
c45,DLC6.4-b-s3,0.17,center,30,292.4,2.578,-3.4184,1.6447
c45,DLC6.4-b-s4,0.37,center,30,292.4,2.555,-9.9574,0.3384
c45,DLC6.4-b-s5,0.49,min_pos,30,292.4,4.5518,-12.8633,1.0544
c45,DLC6.4-b-s6,0.19,center,30,292.4,2.4976,-3.7488,1.5287
cmin,DLC1.2-a-s1,0.18,center,30,37800.0,1.6315,-5.5506,1.5239
cmin,DLC1.2-a-s2,0.16,center,30,37800.0,1.4735,-2.8992,1.4085
cmin,DLC1.2-a-s3,0.16,center,30,37800.0,1.4886,-3.6892,1.4097
cmin,DLC1.2-a-s4,0.17,center,30,37800.0,1.6845,-2.3997,1.6217
cmin,DLC1.2-a-s5,0.18,center,30,37800.0,1.6318,-3.0083,1.5517
cmin,DLC1.2-a-s6,0.17,center,30,37800.0,1.4818,-3.9157,1.4007
cmin,DLC1.2-b-s1,0.19,center,30,45700.0,1.5911,-13.8214,1.4149
cmin,DLC1.2-b-s2,0.19,center,30,45700.0,1.5324,-10.7537,1.407
cmin,DLC1.2-b-s3,0.19,center,30,45700.0,1.6558,-15.3824,1.4774
cmin,DLC1.2-b-s4,0.2,center,30,45700.0,1.8455,-14.2363,1.6756
cmin,DLC1.2-b-s5,0.19,center,30,45700.0,1.6927,-11.5458,1.5257
cmin,DLC1.2-b-s6,0.19,center,30,45700.0,1.7578,-13.6356,1.6003
cmin,DLC1.2-c-s1,0.19,center,30,45040.0,1.8759,-16.3449,1.7066
cmin,DLC1.2-c-s2,0.21,center,30,45040.0,1.7174,-20.5236,1.4869
cmin,DLC1.2-c-s3,0.2,center,30,45040.0,1.7789,-21.9059,1.5884
cmin,DLC1.2-c-s4,0.21,center,30,45040.0,1.5458,-19.4405,1.3164
cmin,DLC1.2-c-s5,0.19,center,30,45040.0,1.6058,-21.8982,1.3565
cmin,DLC1.2-c-s6,0.21,center,30,45040.0,1.8178,-17.9328,1.5791
cmin,DLC1.2-d-s1,0.19,center,30,38180.0,1.5257,-24.2765,1.2568
cmin,DLC1.2-d-s2,0.2,center,30,38180.0,1.8614,-22.5419,1.6911
cmin,DLC1.2-d-s3,0.19,center,30,38180.0,1.9293,-19.6998,1.7659
cmin,DLC1.2-d-s4,0.19,center,30,38180.0,1.6462,-25.267,1.4241
cmin,DLC1.2-d-s5,0.21,center,30,38180.0,1.9712,-21.3171,1.7309
cmin,DLC1.2-d-s6,0.2,center,30,38180.0,1.8113,-22.7254,1.6037
cmin,DLC1.2-e-s1,0.22,center,30,28490.0,1.5006,-30.5523,1.1445
cmin,DLC1.2-e-s2,0.23,center,30,28490.0,1.7807,-31.3735,1.4114
cmin,DLC1.2-e-s3,0.21,center,30,28490.0,2.057,-28.532,1.8143
cmin,DLC1.2-e-s4,0.23,center,30,28490.0,1.6972,-36.6807,1.3379
cmin,DLC1.2-e-s5,0.21,center,30,28490.0,1.8456,-19.7696,1.6025
cmin,DLC1.2-e-s6,0.21,center,30,28490.0,1.4617,-29.6821,1.1584
cmin,DLC1.2-f-s1,0.27,center,30,18970.0,1.8351,-37.6805,1.3772
cmin,DLC1.2-f-s2,0.27,center,30,18970.0,1.708,-32.2136,1.4098
cmin,DLC1.2-f-s3,0.27,center,30,18970.0,2.4078,-32.1658,1.8059
cmin,DLC1.2-f-s4,0.27,center,30,18970.0,1.8544,-30.7674,1.3729
cmin,DLC1.2-f-s5,0.26,center,30,18970.0,1.853,-28.4509,1.416
cmin,DLC1.2-f-s6,0.3,center,30,18970.0,2.5365,-42.7016,1.9219
cmin,DLC1.2-g-s1,0.32,center,30,11340.0,2.4543,-37.4619,1.7746
cmin,DLC1.2-g-s2,0.31,center,30,11340.0,2.1326,-32.9297,1.4316
cmin,DLC1.2-g-s3,0.33,center,30,11340.0,2.8871,-46.9566,1.9203
cmin,DLC1.2-g-s4,0.34,center,30,11340.0,2.7735,-40.7699,1.9917
cmin,DLC1.2-g-s5,0.36,center,30,11340.0,2.6566,-40.0831,1.8952
cmin,DLC1.2-g-s6,0.35,center,30,11340.0,2.4377,-36.3396,1.5779
cmin,DLC1.2-h-s1,0.42,center,30,6126.0,2.4594,-29.056,1.2597
cmin,DLC1.2-h-s2,0.44,center,30,6126.0,2.5681,-41.6288,1.6037
cmin,DLC1.2-h-s3,0.4,center,30,6126.0,2.1493,-42.5323,1.1738
cmin,DLC1.2-h-s4,0.41,center,30,6126.0,2.412,-36.2164,1.3435
cmin,DLC1.2-h-s5,0.41,center,30,6126.0,1.8139,-40.1606,0.8333
cmin,DLC1.2-h-s6,0.43,center,30,6126.0,2.9153,-45.7602,1.9271
cmin,DLC1.2-i-s1,0.52,center,30,2997.0,1.9001,-49.6005,0.4204
cmin,DLC1.2-i-s2,0.44,center,30,2997.0,2.6517,-27.9715,1.5707
cmin,DLC1.2-i-s3,0.45,center,30,2997.0,2.0841,-28.3356,1.0009
cmin,DLC1.2-i-s4,0.49,center,30,2997.0,2.1392,-43.0821,0.7616
cmin,DLC1.2-i-s5,0.5,min_pos,30,2997.0,3.3523,-34.8049,1.2363
cmin,DLC1.2-i-s6,0.5,center,30,2997.0,2.7182,-37.0838,1.3493
cmin,DLC1.2-j-s1,0.52,min_pos,30,1332.0,3.7721,-40.6138,1.4055
cmin,DLC1.2-j-s2,0.56,center,30,1332.0,2.7184,-30.1999,1.2618
cmin,DLC1.2-j-s3,0.54,center,30,1332.0,2.2877,-41.4681,0.3678
cmin,DLC1.2-j-s4,0.53,min_pos,30,1332.0,3.1057,-40.5692,1.4485
cmin,DLC1.2-j-s5,0.57,center,30,1332.0,2.8887,-27.1019,1.1079
cmin,DLC1.2-j-s6,0.57,center,30,1332.0,1.6418,-44.7452,0.2175
cmin,DLC1.2-k-s1,0.62,center,30,538.2,2.8565,-20.7732,0.9895
cmin,DLC1.2-k-s2,0.65,center,30,538.2,1.4107,-20.4689,0.0671
cmin,DLC1.2-k-s3,0.64,min_pos,30,538.2,3.4474,-19.3442,1.4211
cmin,DLC1.2-k-s4,0.62,min_pos,30,538.2,3.8613,-16.4397,1.6744
cmin,DLC1.2-k-s5,0.52,center,30,538.2,0.737,7.268,1.738
cmin,DLC1.2-k-s6,0.59,min_pos,30,538.2,4.1063,-24.0036,1.5259
cmin,DLC2.4.1-a-s1,0.33,center,3,50.0,2.8499,-5.1135,1.2799
cmin,DLC2.4.1-a-s2,0.4,center,3,50.0,2.3196,-5.2156,0.9292
cmin,DLC2.4.1-a-s3,0.33,center,3,50.0,2.7927,-9.6861,0.4284
cmin,DLC2.4.1-a-s4,0.44,min_pos,3,50.0,3.4638,-11.4208,0.4787
cmin,DLC2.4.1-a-s5,0.44,center,3,50.0,1.9201,-5.0803,0.5981
cmin,DLC2.4.1-a-s6,0.29,center,3,50.0,2.1018,-4.2198,0.9663
cmin,DLC2.4.1-b-s1,0.91,min_pos,3,50.0,4.5159,-17.8397,0.494
cmin,DLC2.4.1-b-s2,0.95,min_pos,3,50.0,4.1763,-15.6617,0.6518
cmin,DLC2.4.1-b-s3,0.79,min_pos,3,50.0,5.3112,-24.0293,0.0575
cmin,DLC2.4.1-b-s4,0.89,min_pos,3,50.0,4.8752,-17.2851,0.8285
cmin,DLC2.4.1-b-s5,0.81,min_pos,3,50.0,5.6831,-17.1157,0.5552
cmin,DLC2.4.1-b-s6,0.67,min_pos,3,50.0,3.0219,-11.863,0.264
cmin,DLC2.4.2-a-s1,0.28,center,15,25.0,2.8298,-25.9929,1.7099
cmin,DLC2.4.2-a-s2,0.2,center,15,25.0,1.8952,-2.1668,1.5924
cmin,DLC2.4.2-a-s3,0.2,center,15,25.0,1.747,-4.9094,1.2945
cmin,DLC2.4.2-a-s4,0.13,center,15,25.0,1.1676,4.8235,1.4878
cmin,DLC2.4.2-a-s5,0.25,center,15,25.0,2.7888,-14.0657,1.8135
cmin,DLC2.4.2-a-s6,0.17,center,15,25.0,1.4426,0.0555,1.3495
cmin,DLC2.4.2-b-s1,0.31,center,15,25.0,2.9709,-3.8932,1.8945
cmin,DLC2.4.2-b-s2,0.46,center,15,25.0,2.9861,-9.0905,0.7911
cmin,DLC2.4.2-b-s3,0.37,center,15,25.0,2.3187,-7.8485,0.6453
cmin,DLC2.4.2-b-s4,0.38,center,15,25.0,2.6185,-5.6159,1.2443
cmin,DLC2.4.2-b-s5,0.39,center,15,25.0,2.8729,-4.398,1.6407
cmin,DLC2.4.2-b-s6,0.26,center,15,25.0,2.3286,-4.3575,1.2519
cmin,DLC4.1-a-y1,0.15,center,10,10000.0,1.7068,0.399,1.5225
cmin,DLC4.1-a-y2,0.15,center,10,10000.0,1.7003,0.399,1.5178
cmin,DLC4.1-a-y3,0.16,center,10,10000.0,1.7187,0.4937,1.5468
cmin,DLC4.1-b-y1,0.09,center,10,500.0,1.2736,3.1195,1.4834
cmin,DLC4.1-b-y2,0.05,center,10,500.0,1.2854,3.5692,1.5457
cmin,DLC4.1-b-y3,0.05,center,10,500.0,1.2405,3.4473,1.492
cmin,DLC4.1-c-y1,0.11,center,10,500.0,1.9095,-0.9634,1.4646
cmin,DLC4.1-c-y2,0.23,center,10,500.0,2.8493,-4.3007,1.7134
cmin,DLC4.1-c-y3,0.47,min_pos,10,500.0,3.5476,-10.8933,0.8091
