rank_mass,set,rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa
c50,a,53,1.0,6.0,4581.0,16.0,171.7,356.2,2.0745,77,4177.0,4975.0,464.0,449.0,379.0,6.28888,16693.7,71571.6,104959.0,2094.8
c45,a,25,1.0,6.0,4055.0,16.0,174.9,431.2,2.4654,67,3598.0,4500.0,562.0,543.0,458.0,6.14235,20522.0,85786.7,126830.6,2099.6
cmin,a,1,1.0,6.0,3491.0,16.0,223.1,538.0,2.4115,45,2916.0,4051.0,701.0,678.0,572.0,5.9864,27594.9,117185.0,172374.8,2098.8
