rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
c50,4581.0,16.0,171.7,356.2,1.0,6.0,77,876.439,464.0,644.439,6.288878,-0.355561,6.644439,1.394966,0.430118,45618.1,7254.3,
c45,4055.0,16.0,174.9,431.2,1.0,6.0,67,852.173,562.0,571.173,6.142346,-0.428827,6.571173,1.394966,0.430118,50288.3,8062.8,
cmin,3491.0,16.0,223.1,538.0,1.0,6.0,45,843.698,701.0,493.198,5.986396,-0.506802,6.493198,1.394966,0.430118,62599.4,8862.5,
