rank,case,e_off,lc,a_mm,L_eff_mm,sigma_MPa,edge_L_MPa,y_star_mm,tilt_mrad
210,현행,20.742,Fx_max,835.32,6206.6,1397.0,674.1,-42.65,0.1667
210,현행,20.742,Fx_min,835.32,6206.6,1221.2,430.1,-16.2,0.0799
210,현행,20.742,Fy_max,835.32,6206.6,1210.0,421.2,-16.32,0.0812
210,현행,20.742,Fy_min,835.32,6206.6,1354.7,602.8,-33.63,0.1338
210,현행,20.742,Fz_max,835.32,6206.6,993.3,251.3,-17.3,0.0795
210,현행,20.742,Fz_min,835.32,6206.6,1412.0,715.7,-43.9,0.2008
210,현행,20.742,Fyz_max,835.32,6206.6,1094.1,331.2,-24.64,0.0897
210,현행,20.742,Fyz_min,835.32,6206.6,993.3,251.3,-17.3,0.0795
210,가설B,50.0,Mx_max,806.06,6148.1,1138.6,387.3,-26.4,0.119
210,가설B,50.0,Mx_min,806.06,6148.1,1230.5,459.0,-25.14,0.1061
210,가설B,50.0,My_max,806.06,6148.1,1396.8,795.3,-73.7,0.3592
210,가설B,50.0,My_min,806.06,6148.1,2009.5,766.3,-96.01,0.503
210,가설B,50.0,Mz_max,806.06,6148.1,1841.7,346.1,-88.43,0.4751
210,가설B,50.0,Mz_min,806.06,6148.1,1990.0,718.0,-96.0,0.4932
210,가설B,50.0,Myz_max,806.06,6148.1,2108.9,958.7,-104.42,0.5347
210,가설B,50.0,Myz_min,806.06,6148.1,996.9,205.6,-5.19,0.0147
210,가설B,50.0,Fx_max,806.06,6148.1,1400.5,679.6,-42.72,0.1689
210,가설B,50.0,Fx_min,806.06,6148.1,1224.2,433.8,-23.81,0.0812
210,가설B,50.0,Fy_max,806.06,6148.1,1213.2,425.0,-23.9,0.0825
210,가설B,50.0,Fy_min,806.06,6148.1,1358.7,608.4,-33.69,0.1356
210,가설B,50.0,Fz_max,806.06,6148.1,996.3,254.0,-17.36,0.0804
210,가설B,50.0,Fz_min,806.06,6148.1,1417.1,723.2,-43.96,0.2033
210,가설B,50.0,Fyz_max,806.06,6148.1,1096.7,334.0,-24.72,0.0909
210,가설B,50.0,Fyz_min,806.06,6148.1,996.3,254.0,-17.36,0.0804
