t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,3.48927,2448.89,-23022.5,10084.8,1254.9,24.7838,-4925.91
0.1,3.48568,2427.74,-23034.5,9806.8,1245.44,25.8768,-4920.51
0.2,3.48265,2393.8,-23388.3,9590.78,1238.55,26.9784,-4948.5
0.3,3.47906,2351.06,-23738.4,9287.27,1233.85,23.1728,-4971.36
0.4,3.47681,2312.43,-23874.9,8832.5,1239.64,17.9895,-4971.66
0.5,3.47504,2255.25,-23959.1,8222.76,1249.36,9.843,-4972.76
0.6,3.47189,2196.04,-24248.4,7417.12,1259.87,1.45825,-4984.54
0.7,3.47102,2144.11,-24344.4,6592.98,1265.95,1.33862,-4993.55
0.8,3.47381,2077.84,-24116.9,6124.32,1267.04,9.45037,-4975.44
0.9,3.47872,2013.95,-23764.7,6136.34,1262.53,10.0693,-4950.8
1.0,3.48556,1961.05,-24158.8,6688.49,1249.84,4.3105,-4940.28
1.1,3.48923,1913.7,-24754.0,7518.77,1233.7,-7.14288,-4967.75
1.2,3.48964,1909.78,-24934.3,8214.22,1219.64,-13.4846,-4992.88
1.3,3.49198,1930.65,-24392.6,8704.05,1211.54,-11.433,-4992.38
1.4,3.49446,1944.12,-24140.9,9057.01,1204.34,-13.27,-4984.37
1.5,3.4974,1980.07,-24661.4,9364.87,1213.76,-19.6203,-5011.37
1.6,3.50081,2014.87,-25573.5,9716.44,1231.23,-27.8219,-5045.68
1.7,3.49921,2044.06,-25879.0,9931.51,1250.89,-34.1574,-5043.06
1.8,3.49452,2092.48,-25851.5,9800.14,1263.85,-29.022,-5000.53
1.9,3.48929,2130.56,-26031.2,9372.51,1267.34,-13.2711,-4981.94
2.0,3.48355,2154.08,-26418.6,8713.12,1257.34,2.706,-5004.69
2.1,3.48135,2170.75,-26435.7,8037.3,1240.97,12.8821,-5014.76
2.2,3.4821,2156.24,-25987.6,7645.09,1225.14,17.724,-4986.19
2.3,3.48349,2129.48,-25964.3,7527.68,1214.12,12.9029,-4964.06
2.4,3.48656,2111.15,-26722.0,7524.59,1208.94,-0.82025,-4990.42
2.5,3.49066,2093.74,-27814.3,7563.44,1215.67,-7.68275,-5017.46
2.6,3.49441,2093.35,-28311.2,7464.74,1231.17,-8.2225,-5001.86
2.7,3.4998,2121.55,-28247.4,7270.07,1248.48,-4.09675,-4966.45
2.8,3.50523,2151.76,-28469.4,7129.13,1257.34,-1.53125,-4952.11
2.9,3.50807,2201.1,-29169.8,7000.56,1262.63,-3.089,-4960.83
3.0,3.51028,2269.17,-29791.4,6764.54,1260.44,-7.523,-4958.96
3.1,3.51171,2340.94,-29450.3,6460.15,1259.4,-3.664,-4949.55
3.2,3.51228,2420.06,-28975.7,6020.54,1254.13,-1.1415,-4932.18
3.3,3.5133,2509.09,-28626.3,5663.12,1252.13,0.792,-4945.34
3.4,3.51356,2590.32,-28266.9,5613.58,1255.34,1.27625,-4977.31
3.5,3.51234,2672.03,-27690.9,5808.35,1261.23,-8.07675,-4980.29
3.6,3.51027,2751.68,-27050.0,6046.2,1269.8,-22.6285,-4953.66
3.7,3.5076,2817.03,-26829.7,6176.65,1283.52,-24.2787,-4943.4
3.8,3.50477,2872.91,-27201.0,6073.15,1296.72,-15.7835,-4954.97
3.9,3.50259,2918.87,-27408.8,5804.31,1294.77,-9.9865,-4961.0
4.0,3.50013,2944.55,-27250.7,5499.35,1278.36,-12.7203,-4941.05
4.1,3.49781,2962.3,-26878.7,5183.69,1263.89,-17.0925,-4934.1
4.2,3.49781,2968.78,-26698.6,4690.24,1251.2,-19.5457,-4961.01
4.3,3.50137,2957.38,-26520.8,4108.06,1242.35,-6.6765,-4992.88
4.4,3.50638,2930.53,-25927.2,3624.78,1241.52,15.4515,-4999.4
4.5,3.51013,2909.16,-24930.5,3490.51,1247.11,32.3013,-4987.19
4.6,3.5115,2898.37,-23927.2,3829.7,1253.38,36.9136,-4979.58
4.7,3.51099,2900.51,-23326.4,4621.79,1265.68,36.1403,-4971.65
4.8,3.51029,2912.22,-22806.6,5672.82,1275.46,32.0353,-4956.88
4.9,3.51007,2923.85,-21993.1,6767.47,1280.33,21.0004,-4941.58
5.0,3.50845,2934.05,-21331.1,7797.45,1275.72,10.8826,-4924.21
5.1,3.50543,2951.31,-21114.5,8815.12,1271.59,9.51675,-4926.93
5.2,3.50179,2967.73,-21359.0,9865.56,1274.3,9.19462,-4948.85
5.3,3.49876,2978.99,-22000.8,10793.3,1278.07,0.75,-4960.92
5.4,3.49711,2979.07,-22625.0,11393.2,1278.26,-2.4375,-4963.82
5.5,3.49488,2960.81,-23225.9,11381.3,1279.85,5.86644,-4964.23
5.6,3.49177,2940.76,-23779.7,10737.7,1280.88,23.2495,-4964.77
5.7,3.48847,2912.17,-24100.3,9720.62,1278.58,33.5008,-4960.26
5.8,3.48594,2871.12,-24257.1,8729.22,1276.63,33.4797,-4943.75
5.9,3.48598,2824.82,-24351.2,8004.1,1276.68,24.1756,-4928.88
6.0,3.48874,2766.07,-24444.0,7599.38,1280.21,8.96925,-4930.68
6.1,3.49105,2700.05,-24635.8,7218.58,1283.54,-12.7472,-4937.29
6.2,3.49199,2646.86,-24755.2,6570.77,1287.64,-25.7472,-4946.22
6.3,3.49237,2601.83,-24920.2,5662.09,1291.52,-13.1291,-4954.74
6.4,3.49354,2565.16,-25109.0,4657.4,1298.4,9.06156,-4971.49
6.5,3.49812,2538.8,-25161.2,4060.23,1301.21,30.074,-4990.69
6.6,3.50306,2506.06,-25279.9,4159.94,1293.91,32.1976,-4989.86
6.7,3.5032,2493.59,-25442.9,4808.6,1282.95,17.6717,-4984.46
6.8,3.4988,2509.89,-25638.8,5454.78,1274.25,-8.48475,-4987.14
6.9,3.49142,2532.39,-25765.1,5639.97,1266.19,-27.1952,-4990.38
7.0,3.4862,2559.58,-25389.1,5275.65,1261.75,-27.1101,-4996.71
7.1,3.48707,2569.61,-24840.7,4798.53,1255.75,-13.5584,-4992.75
7.2,3.49129,2554.05,-24502.4,4729.24,1251.89,-3.85975,-4992.74
7.3,3.49498,2536.12,-24425.5,5267.73,1250.5,-1.04,-5008.2
7.4,3.49646,2524.61,-24281.6,6178.05,1256.33,0.6065,-5023.14
7.5,3.49527,2522.73,-24017.4,6932.55,1269.87,7.2765,-5013.3
7.6,3.4946,2535.31,-23860.3,7300.56,1281.51,26.1585,-4993.25
7.7,3.49475,2539.39,-24198.8,7436.69,1289.76,39.8765,-4987.23
7.8,3.4945,2542.8,-25082.3,7645.6,1294.39,31.6197,-4990.75
7.9,3.49511,2545.3,-26230.5,8133.4,1293.0,4.49975,-4981.87
8.0,3.49655,2533.41,-27319.8,8742.31,1284.4,-28.7817,-4968.1
8.1,3.49886,2524.09,-28550.7,8955.45,1272.8,-51.746,-4963.87
8.2,3.50382,2523.08,-29684.3,8593.94,1261.5,-42.6232,-4980.48
8.3,3.50798,2521.04,-30601.9,7766.34,1253.74,-15.5022,-4989.34
8.4,3.5093,2549.23,-30994.4,6797.48,1248.11,11.9575,-4984.45
8.5,3.50972,2596.05,-30941.7,6166.61,1250.52,30.4615,-4978.9
8.6,3.50777,2641.37,-30853.9,6088.47,1261.1,33.3773,-4975.36
8.7,3.50425,2698.07,-30784.5,6313.97,1269.77,16.3822,-4974.63
8.8,3.50173,2756.59,-30390.3,6638.84,1278.91,-8.48175,-4973.16
8.9,3.49855,2804.39,-29698.0,6905.79,1289.44,-27.524,-4961.15
9.0,3.49779,2860.03,-29185.3,7069.03,1295.41,-37.8814,-4946.32
9.1,3.50197,2897.91,-29077.5,7338.9,1294.85,-42.4136,-4955.06
9.2,3.50855,2917.43,-29233.9,7800.02,1295.55,-43.6201,-4979.73
9.3,3.51544,2940.35,-29183.4,8296.7,1292.04,-41.0454,-4992.62
9.4,3.51969,2972.04,-28804.5,8660.37,1289.39,-28.5044,-4991.03
9.5,3.51851,3018.53,-28770.9,8653.55,1288.26,-11.5965,-4984.85
9.6,3.51402,3086.37,-29042.8,8189.27,1282.62,0.670375,-4998.89
9.7,3.50887,3147.51,-29132.1,7433.84,1273.79,5.02313,-5013.9
9.8,3.50539,3197.57,-28636.4,6576.66,1266.41,1.24069,-4999.64
9.9,3.50611,3229.47,-27850.5,5727.33,1261.61,-8.50603,-4970.15
