DOF,Leq_abs,Leq_signed,unit
Mx,31203.70723067998,31203.70723067998,kNm (제외)
My,23393.032351629536,-23393.032351629536,kNm
Mz,16089.872342083805,16089.872342083805,kNm
Fx,2877.888541675931,2877.888541675931,kN
Fy,112.38219287548297,112.38219287548297,kN
Fz,4981.581207456988,-4981.581207456988,kN

mean_rpm,4.443491279451897,tot_rev_30yr,70133862.18768069,tot_h,263058.39926666697

bearing,P_N,L10_rev,L10mr_rev,D30,life_yr
UW,12369528.106833844,7054877.568699595,9605482.776065946,7.30144062747515,4.10877818921251
DW,7613866.080236216,35561696.78592075,46486624.53013512,1.5086890669426034,19.884813019024364
Sys,,,,,3.574488228269931
