rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
103,S2,asym K1=8.0 K2=1.0 zmL=500 r=0.3,8.0,1.0,500.0,8.0,1.0,150.0,2118.2,1310.8,15.94,-78.74,36.8,361.9,10.84,401.0,,0
103,S2,asym K1=8.0 K2=1.0 zmL=500 r=0.5,8.0,1.0,500.0,8.0,1.0,250.0,2140.7,1303.1,15.06,-84.2,39.4,729.6,37.55,375.2,,0
103,S2,asym K1=8.0 K2=1.0 zmL=500 r=0.7,8.0,1.0,500.0,8.0,1.0,350.0,2151.8,1295.7,14.58,-87.4,40.9,164.8,36.78,376.4,,0
103,S2,asym K1=8.0 K2=1.0 zmL=500 r=1.0,8.0,1.0,500.0,8.0,1.0,500.0,2158.7,1291.1,14.26,-79.51,37.2,237.3,43.14,370.4,,0
103,S3,refine r0,11.2,0.85,325.0,8.0,0.85,48.8,2063.9,549.8,0.0,-93.24,43.6,1096.2,0.0,427.8,0.68558,1
103,S3,refine r0,6.72,0.85,325.0,8.0,0.85,48.8,2052.0,614.5,0.0,-115.18,53.8,1029.7,0.0,427.8,0.4467,1
103,S3,refine r0,11.2,1.0,325.0,8.0,0.85,48.8,2033.4,699.8,0.0,-82.27,38.5,1164.6,0.0,427.8,0.61089,1
103,S3,refine r0,11.2,0.7,325.0,8.0,0.85,48.8,2099.6,364.7,0.0,-104.21,48.7,1024.1,0.0,427.8,,0
103,S3,refine r0,11.2,0.85,422.5,8.0,0.85,48.8,2082.6,1044.9,14.16,-90.89,42.5,1148.5,0.0,413.6,0.24333,1
103,S3,refine r0,11.2,0.85,227.5,8.0,0.85,48.8,2025.5,1529.4,0.0,-104.21,48.7,1008.4,0.0,427.8,-0.44232,1
103,S3,refine r0,11.2,0.85,325.0,11.2,0.85,48.8,2064.5,552.4,0.0,-93.24,43.6,1097.4,0.0,427.8,0.68281,1
103,S3,refine r0,11.2,0.85,325.0,4.8,0.85,48.8,2062.7,543.7,0.0,-93.24,43.6,1093.5,0.0,427.8,0.69207,1
103,S3,refine r0,11.2,0.85,325.0,4.8,1.0,48.8,2068.6,572.2,0.0,-93.24,43.6,1109.4,0.0,427.8,0.66173,1
103,S3,refine r0,11.2,0.85,325.0,4.8,0.7,48.8,2056.8,514.3,0.0,-93.24,43.6,1077.8,0.0,427.8,0.72337,1
103,S3,refine r0,11.2,0.85,325.0,4.8,0.7,63.4,2064.2,546.6,0.0,-93.24,43.6,923.1,0.0,427.8,0.68899,1
103,S3,refine r0,11.2,0.85,325.0,4.8,0.7,34.1,2048.8,476.3,0.0,-93.24,43.6,1213.3,0.0,427.8,0.76383,1
103,S3,refine r1,13.44,0.85,325.0,4.8,0.7,34.1,2052.5,491.3,0.0,-82.27,38.5,1229.5,0.0,427.8,0.83286,1
103,S3,refine r1,10.752,0.85,325.0,4.8,0.7,34.1,2047.8,474.6,0.0,-93.24,43.6,1209.3,0.0,427.8,0.76564,1
103,S3,refine r1,13.44,0.925,325.0,4.8,0.7,34.1,2036.8,585.7,0.0,-82.27,38.5,1262.1,0.0,427.8,0.73236,1
103,S3,refine r1,13.44,0.775,325.0,4.8,0.7,34.1,2070.6,378.1,0.0,-93.24,43.6,1196.3,0.0,427.8,0.86838,1
103,S3,refine r1,13.44,0.775,373.8,4.8,0.7,34.1,2081.8,1001.7,10.97,-93.24,43.6,1223.0,0.0,416.8,0.2561,1
103,S3,refine r1,13.44,0.775,276.2,4.8,0.7,34.1,2050.0,1075.4,0.0,-104.21,48.7,1159.2,0.0,427.8,0.04102,1
103,S3,refine r1,13.44,0.775,325.0,5.76,0.7,34.1,2070.8,379.6,0.0,-93.24,43.6,1196.6,0.0,427.8,0.86678,1
103,S3,refine r1,13.44,0.775,325.0,3.84,0.7,34.1,2070.3,375.9,0.0,-93.24,43.6,1195.8,0.0,427.8,0.87072,1
103,S3,refine r1,13.44,0.775,325.0,3.84,0.775,34.1,2072.4,390.2,0.0,-93.24,43.6,1201.0,0.0,427.8,0.85549,1
103,S3,refine r1,13.44,0.775,325.0,3.84,0.625,34.1,2068.2,361.2,0.0,-93.24,43.6,1190.8,0.0,427.8,0.88637,1
103,S3,refine r1,13.44,0.775,325.0,3.84,0.625,39.2,2070.7,376.7,0.0,-93.24,43.6,1143.7,0.0,427.8,0.86987,1
103,S3,refine r1,13.44,0.775,325.0,3.84,0.625,29.0,2065.6,344.3,0.0,-93.24,43.6,1236.3,0.0,427.8,0.90436,1
103,S3,refine r2,14.784,0.775,325.0,3.84,0.625,29.0,2068.1,352.1,0.0,-93.24,43.6,1243.1,0.0,427.8,0.89606,1
103,S3,refine r2,12.096,0.775,325.0,3.84,0.625,29.0,2062.5,339.6,0.0,-93.24,43.6,1228.0,0.0,427.8,0.90936,1
103,S3,refine r2,12.096,0.812,325.0,3.84,0.625,29.0,2054.3,400.1,0.0,-93.24,43.6,1243.7,0.0,427.8,0.84495,1
103,S3,refine r2,12.096,0.738,325.0,3.84,0.625,29.0,2072.4,268.4,0.0,-104.21,48.7,1212.2,0.0,427.8,0.90017,1
103,S3,refine r2,12.096,0.775,349.4,3.84,0.625,29.0,2068.3,1146.1,10.97,-93.24,43.6,1241.0,0.0,416.8,0.10237,1
103,S3,refine r2,12.096,0.775,300.6,3.84,0.625,29.0,2053.3,784.9,0.0,-104.21,48.7,1211.7,0.0,427.8,0.35029,1
103,S3,refine r2,12.096,0.775,325.0,4.224,0.625,29.0,2062.6,340.4,0.0,-93.24,43.6,1228.1,0.0,427.8,0.90851,1
103,S3,refine r2,12.096,0.775,325.0,3.456,0.625,29.0,2062.4,338.8,0.0,-93.24,43.6,1227.9,0.0,427.8,0.91022,1
103,S3,refine r2,12.096,0.775,325.0,3.456,0.662,29.0,2063.3,345.5,0.0,-93.24,43.6,1230.0,0.0,427.8,0.90308,1
103,S3,refine r2,12.096,0.775,325.0,3.456,0.588,29.0,2061.5,332.0,0.0,-93.24,43.6,1225.9,0.0,427.8,0.91746,1
103,S3,refine r2,12.096,0.775,325.0,3.456,0.588,31.2,2062.5,339.0,0.0,-93.24,43.6,1206.6,0.0,427.8,0.91,1
103,S3,refine r2,12.096,0.775,325.0,3.456,0.588,26.8,2060.5,324.7,0.0,-93.24,43.6,1245.0,0.0,427.8,0.92523,1
