rank,stage,tag,K1L,K2L,zmL_um,K1R,K2R,zmR_um,sigma_MPa,edge_L_MPa,margin_L_mm,y_star_mm,y_star_pct,edge_R_MPa,margin_R_mm,contact_mm,score,feasible
210,S1,sym K1=8.0 K2=0.4 zm=80,8.0,0.4,80.0,8.0,0.4,80.0,2194.1,2194.1,0.0,-173.8,100.0,700.0,8.91,338.7,,0
210,S1,sym K1=8.0 K2=0.4 zm=150,8.0,0.4,150.0,8.0,0.4,150.0,2152.8,1737.3,0.0,-130.06,74.8,613.9,15.17,332.4,,0
210,S1,sym K1=8.0 K2=0.4 zm=250,8.0,0.4,250.0,8.0,0.4,250.0,2189.1,797.5,0.0,-122.26,70.3,735.1,21.18,326.4,,0
210,S1,sym K1=8.0 K2=0.4 zm=400,8.0,0.4,400.0,8.0,0.4,400.0,2211.8,306.1,3.36,-119.92,69.0,810.7,24.26,320.0,,0
210,S1,sym K1=8.0 K2=0.4 zm=600,8.0,0.4,600.0,8.0,0.4,600.0,2221.1,1754.1,13.5,-118.57,68.2,834.8,25.28,308.8,,0
210,S1,sym K1=8.0 K2=0.55 zm=40,8.0,0.55,40.0,8.0,0.55,40.0,2430.7,2430.7,0.0,-173.8,100.0,844.2,0.0,347.6,,0
210,S1,sym K1=8.0 K2=0.55 zm=80,8.0,0.55,80.0,8.0,0.55,80.0,2223.0,2223.0,0.0,-173.8,100.0,644.5,8.91,338.7,,0
210,S1,sym K1=8.0 K2=0.55 zm=150,8.0,0.55,150.0,8.0,0.55,150.0,2111.9,1781.8,0.0,-112.66,64.8,401.3,15.69,331.9,,0
210,S1,sym K1=8.0 K2=0.55 zm=250,8.0,0.55,250.0,8.0,0.55,250.0,2154.4,854.2,0.0,-105.6,60.8,555.3,23.65,324.0,,0
210,S1,sym K1=8.0 K2=0.55 zm=400,8.0,0.55,400.0,8.0,0.55,400.0,2180.7,1520.3,11.88,-103.63,59.6,617.1,27.61,308.1,,0
210,S1,sym K1=8.0 K2=0.55 zm=600,8.0,0.55,600.0,8.0,0.55,600.0,2189.9,1538.4,13.85,-102.33,58.9,649.4,29.19,304.6,,0
210,S1,sym K1=8.0 K2=0.7 zm=40,8.0,0.7,40.0,8.0,0.7,40.0,2447.0,2447.0,0.0,-173.8,100.0,880.5,0.0,347.6,,0
210,S1,sym K1=8.0 K2=0.7 zm=80,8.0,0.7,80.0,8.0,0.7,80.0,2255.6,2255.6,0.0,-173.8,100.0,642.2,8.91,338.7,,0
