gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,1,2120.5412,19.3061,147.5282,224,0,225,0,0,0.0
2,2,2204.6137,19.3061,139.3276,448,0,449,0,0,0.1
3,5,2478.1656,16.3509,135.9051,672,0,673,0,0,0.1
4,10,2533.9615,16.3509,135.9051,896,0,897,0,0,0.1
5,10,2564.64,16.3509,135.9051,1120,0,1121,0,0,0.1
