gen,n_front,hv,f1_min,f2_min,f3_min,budget,masta,cache_hit,geom_out,edge,t_s
1,12,3401.6239,4.358,18.208,105.5894,182,168,0,15,0,53.4
2,14,3479.2207,4.358,18.208,105.5894,364,327,3,35,0,104.2
3,16,3565.8346,4.358,18.208,105.5894,546,499,5,43,0,155.5
4,21,3871.13,4.295,18.208,105.5894,728,664,12,53,0,203.6
5,27,3876.4248,4.295,18.208,105.5894,910,820,20,71,0,248.2
