rank,key,z1,z2,D_pw_mm,alpha,D_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_w_mm,L_we_mm,taper_2beta_deg,cone_angle_deg,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1,1.00_6.00_3481.0_15_227.60_542.10,1.0,6.0,3481.0,15.0,227.6,2.3818,44,2907.0,4039.0,706.0,683.0,576.0,5.918,27544.6,117906.1,172995.4,2096.9,1,,0.24,542.1,533.5,1.8236,13.1764,27.5446,117.9061,172.9953,3.1
2,1.00_6.00_3503.0_15_218.70_541.30,1.0,6.0,3503.0,15.0,218.7,2.4751,46,2938.0,4052.0,705.0,682.0,575.0,5.92359,27326.6,115691.9,170345.2,2099.1,1,,0.24,541.3,532.7,1.746,13.254,27.3266,115.6919,170.3451,0.9
3,1.00_6.00_3517.0_15_219.40_537.30,1.0,6.0,3517.0,15.0,219.4,2.449,46,2954.0,4065.0,700.0,677.0,571.0,5.92735,27138.8,114656.5,168934.2,2099.0,1,,0.25,537.3,528.7,1.7447,13.2553,27.1388,114.6565,168.9341,1.0
4,1.00_6.00_3525.0_15_219.50_539.50,1.0,6.0,3525.0,15.0,219.5,2.4579,46,2960.0,4074.0,703.0,680.0,573.0,5.92949,27382.4,114139.8,168904.6,2095.8,1,,0.23,539.5,530.9,1.7417,13.2583,27.3824,114.1398,168.9046,4.2
5,1.00_5.90_3518.0_15_229.90_536.70,1.0,5.9,3518.0,15.0,229.9,2.3345,44,2945.0,4075.0,699.0,676.0,570.0,5.82795,27456.4,113457.8,168370.5,2098.7,1,,0.35,536.7,528.1,1.8227,13.1773,27.4564,113.4578,168.3706,1.3
6,1.00_6.00_3527.0_15_219.40_539.40,1.0,6.0,3527.0,15.0,219.4,2.4585,46,2963.0,4076.0,702.0,680.0,573.0,5.92902,27353.6,114073.2,168780.4,2095.9,1,,0.27,539.4,530.8,1.74,13.26,27.3536,114.0732,168.7804,4.1
7,1.00_6.00_3545.0_15_217.40_530.00,1.0,6.0,3545.0,15.0,217.4,2.4379,47,2989.0,4086.0,690.0,668.0,563.0,5.93377,26652.3,112227.5,165532.2,2098.4,1,,0.25,530.0,521.4,1.7168,13.2832,26.6523,112.2275,165.5321,1.6
8,1.00_6.00_3549.0_15_217.40_529.50,1.0,6.0,3549.0,15.0,217.4,2.4356,47,2993.0,4090.0,690.0,667.0,563.0,5.93584,26660.8,111997.2,165318.7,2098.6,1,,0.26,529.5,520.9,1.715,13.285,26.6608,111.9972,165.3188,1.4
9,1.00_6.00_3551.0_15_222.50_525.40,1.0,6.0,3551.0,15.0,222.5,2.3613,46,2993.0,4094.0,684.0,662.0,558.0,5.93553,26481.4,111997.2,164960.1,2096.1,1,,0.26,525.4,516.8,1.752,13.248,26.4814,111.9972,164.96,3.9
10,1.00_6.00_3550.0_16_222.50_520.10,1.0,6.0,3550.0,16.0,222.5,2.3375,46,2988.0,4098.0,677.0,655.0,553.0,6.00223,26462.0,112383.2,165307.1,2097.4,1,,0.25,520.1,511.5,1.8668,14.1332,26.462,112.3832,165.3072,2.6
11,1.00_5.90_3550.0_16_222.50_525.40,1.0,5.9,3550.0,16.0,222.5,2.3613,46,2984.0,4101.0,684.0,662.0,558.0,5.90223,26921.0,110878.8,164720.8,2099.9,1,,0.26,525.4,516.8,1.8668,14.1332,26.921,110.8788,164.7208,0.1
12,1.00_5.90_3558.0_15_222.00_531.10,1.0,5.9,3558.0,15.0,222.0,2.3923,46,2997.0,4104.0,692.0,669.0,564.0,5.83838,26979.2,110045.8,164004.2,2099.9,1,,0.25,531.1,522.5,1.745,13.255,26.9792,110.0458,164.0042,0.1
13,1.00_6.00_3568.0_15_217.00_529.40,1.0,6.0,3568.0,15.0,217.0,2.4396,47,3013.0,4108.0,689.0,667.0,563.0,5.9399,26700.4,110821.7,164222.4,2098.7,1,,0.25,529.4,520.8,1.7034,13.2966,26.7004,110.8217,164.2225,1.3
14,1.00_6.00_3571.0_16_223.80_511.60,1.0,6.0,3571.0,16.0,223.8,2.286,46,3013.0,4114.0,666.0,645.0,544.0,6.00728,25922.9,110821.7,162667.5,2099.8,1,,0.24,511.6,503.0,1.8666,14.1334,25.9229,110.8217,162.6675,0.2
15,1.00_6.00_3574.0_16_223.80_511.50,1.0,6.0,3574.0,16.0,223.8,2.2855,46,3016.0,4117.0,666.0,645.0,544.0,6.00813,25938.4,110541.8,162418.7,2099.8,1,,0.25,511.5,502.9,1.8652,14.1348,25.9384,110.5418,162.4186,0.2
16,1.00_6.00_3586.0_15_224.30_513.40,1.0,6.0,3586.0,15.0,224.3,2.2889,46,3034.0,4124.0,669.0,647.0,546.0,5.94493,25808.4,109645.7,161262.5,2098.8,1,,0.25,513.4,504.8,1.7491,13.2509,25.8084,109.6457,161.2625,1.2
17,1.00_6.00_3588.0_15_224.00_513.30,1.0,6.0,3588.0,15.0,224.0,2.2915,46,3036.0,4125.0,668.0,647.0,546.0,5.94445,25773.9,109521.9,161069.8,2100.0,0,,0.27,513.3,504.7,1.746,13.254,25.7739,109.5219,161.0697,0.0
18,1.00_6.00_3591.0_15_224.60_511.80,1.0,6.0,3591.0,15.0,224.6,2.2787,46,3040.0,4128.0,666.0,645.0,544.0,5.94527,25689.9,109273.1,160653.0,2099.0,1,,0.25,511.8,503.2,1.749,13.251,25.6899,109.2731,160.6529,1.0
19,1.00_6.00_3601.0_15_224.30_513.40,1.0,6.0,3601.0,15.0,224.3,2.2889,46,3049.0,4139.0,669.0,647.0,546.0,5.94893,25892.1,108605.5,160389.6,2097.9,1,,0.25,513.4,504.8,1.7422,13.2578,25.8921,108.6055,160.3897,2.1
20,1.00_6.00_3614.0_15_217.20_509.50,1.0,6.0,3614.0,15.0,217.2,2.3458,48,3071.0,4142.0,664.0,642.0,542.0,5.95219,25438.9,107394.3,158272.1,2098.2,1,,0.26,509.5,500.9,1.6844,13.3156,25.4389,107.3943,158.2721,1.8
21,1.00_6.00_3619.0_15_217.20_510.30,1.0,6.0,3619.0,15.0,217.2,2.3494,48,3076.0,4147.0,665.0,643.0,542.0,5.95353,25499.2,107169.6,158168.0,2096.8,1,,0.23,510.3,501.7,1.6822,13.3178,25.4992,107.1696,158.168,3.2
22,1.00_6.00_3620.0_16_217.40_502.90,1.0,6.0,3620.0,16.0,217.4,2.3132,48,3074.0,4151.0,655.0,634.0,534.0,6.02107,25298.7,107301.1,157898.4,2099.6,1,,0.26,502.9,494.3,1.793,14.207,25.2987,107.3011,157.8985,0.4
23,1.00_6.00_3629.0_15_217.80_504.60,1.0,6.0,3629.0,15.0,217.8,2.3168,48,3089.0,4155.0,657.0,636.0,536.0,5.95521,25132.7,106409.4,156674.8,2100.0,0,,0.25,504.6,496.0,1.6822,13.3178,25.1327,106.4094,156.6748,0.0
24,1.00_6.00_3636.0_15_217.80_504.60,1.0,6.0,3636.0,15.0,217.8,2.3168,48,3096.0,4162.0,657.0,636.0,536.0,5.95708,25170.4,106042.0,156382.7,2099.4,1,,0.24,504.6,496.0,1.6791,13.3209,25.1704,106.042,156.3828,0.6
25,1.00_6.00_3651.0_15_206.70_506.70,1.0,6.0,3651.0,15.0,206.7,2.4514,51,3120.0,4167.0,660.0,639.0,539.0,5.96077,25095.5,104812.4,155003.4,2098.2,1,,0.26,506.7,498.1,1.5918,13.4082,25.0955,104.8124,155.0034,1.8
26,1.00_6.00_3661.0_15_206.70_506.70,1.0,6.0,3661.0,15.0,206.7,2.4514,51,3130.0,4177.0,660.0,639.0,539.0,5.96344,25149.5,104322.0,154620.9,2097.4,1,,0.27,506.7,498.1,1.5877,13.4123,25.1495,104.322,154.621,2.6
27,1.00_6.00_3660.0_15_220.00_500.40,1.0,6.0,3660.0,15.0,220.0,2.2745,48,3120.0,4185.0,652.0,631.0,532.0,5.96356,25091.8,104812.4,154996.0,2093.0,1,,0.24,500.4,491.8,1.6846,13.3154,25.0918,104.8124,154.996,7.0
28,1.00_5.90_3656.0_16_220.00_498.90,1.0,5.9,3656.0,16.0,220.0,2.2677,48,3110.0,4187.0,650.0,629.0,530.0,5.93145,25318.5,103675.2,154312.1,2099.3,1,,0.25,498.9,490.3,1.7964,14.2036,25.3185,103.6752,154.3122,0.7
29,1.00_5.90_3660.0_15_220.00_504.80,1.0,5.9,3660.0,15.0,220.0,2.2945,48,3118.0,4188.0,657.0,636.0,537.0,5.86356,25440.0,103337.3,154217.2,2096.6,1,,0.24,504.8,496.2,1.6846,13.3154,25.44,103.3373,154.2173,3.4
30,1.00_5.90_3674.0_15_216.60_498.90,1.0,5.9,3674.0,15.0,216.6,2.3033,49,3139.0,4195.0,650.0,629.0,530.0,5.8672,24933.1,102191.6,152057.8,2099.4,1,,0.25,498.9,490.3,1.654,13.346,24.9331,102.1916,152.0578,0.6
31,1.00_6.00_3687.0_15_217.40_487.70,1.0,6.0,3687.0,15.0,217.4,2.2433,49,3158.0,4202.0,635.0,615.0,518.0,5.96969,24121.8,102951.4,151195.0,2099.6,1,,0.26,487.7,479.1,1.6543,13.3457,24.1218,102.9514,151.195,0.4
32,1.00_6.00_3702.0_15_213.90_487.70,1.0,6.0,3702.0,15.0,213.9,2.28,50,3177.0,4213.0,635.0,615.0,518.0,5.9736,24069.2,101870.9,150009.3,2099.3,1,,0.27,487.7,479.1,1.6228,13.3772,24.0692,101.8709,150.0093,0.7
33,1.00_6.00_3708.0_15_213.90_487.70,1.0,6.0,3708.0,15.0,213.9,2.28,50,3183.0,4219.0,635.0,615.0,518.0,5.9752,24099.4,101639.0,149837.7,2098.8,1,,0.27,487.7,479.1,1.6203,13.3797,24.0994,101.639,149.8378,1.2
34,1.00_6.00_3733.0_15_199.80_489.20,1.0,6.0,3733.0,15.0,199.8,2.4484,54,3220.0,4232.0,637.0,617.0,520.0,5.9815,23952.4,100010.8,147915.5,2098.7,1,,0.28,489.2,480.6,1.5092,13.4908,23.9524,100.0108,147.9156,1.3
35,1.00_6.00_3736.0_15_199.80_489.80,1.0,6.0,3736.0,15.0,199.8,2.4515,54,3223.0,4235.0,638.0,617.0,521.0,5.9833,23998.0,99663.3,147659.3,2098.2,1,,0.3,489.8,481.2,1.508,13.492,23.998,99.6633,147.6593,1.8
36,1.00_6.00_3739.0_15_199.80_487.90,1.0,6.0,3739.0,15.0,199.8,2.4419,54,3227.0,4237.0,635.0,615.0,519.0,5.9831,23861.9,99571.5,147295.4,2100.0,0,,0.28,487.9,479.3,1.5069,13.4931,23.8619,99.5715,147.2953,0.0
37,1.00_6.00_3747.0_15_199.90_487.60,1.0,6.0,3747.0,15.0,199.9,2.4392,54,3236.0,4245.0,635.0,614.0,518.0,5.98624,23857.3,99193.7,146908.2,2099.3,1,,0.29,487.6,479.0,1.5045,13.4955,23.8573,99.1937,146.9083,0.7
38,1.00_6.00_3750.0_15_199.80_487.40,1.0,6.0,3750.0,15.0,199.8,2.4394,54,3239.0,4247.0,635.0,614.0,518.0,5.98704,23841.8,99066.6,146750.1,2099.7,1,,0.32,487.4,478.8,1.5027,13.4973,23.8418,99.0666,146.7502,0.3
39,1.00_6.00_3760.0_15_199.80_486.30,1.0,6.0,3760.0,15.0,199.8,2.4339,54,3249.0,4257.0,633.0,613.0,517.0,5.98871,23832.9,98714.5,146380.3,2100.0,0,,0.29,486.3,477.7,1.4989,13.5011,23.8329,98.7145,146.3803,0.0
40,1.00_6.00_3764.0_15_199.70_486.90,1.0,6.0,3764.0,15.0,199.7,2.4382,54,3253.0,4261.0,634.0,614.0,517.0,5.98978,23881.3,98390.7,146153.2,2099.8,1,,0.29,486.9,478.3,1.4966,13.5034,23.8813,98.3907,146.1533,0.2
41,1.00_6.00_3770.0_15_199.80_485.90,1.0,6.0,3770.0,15.0,199.8,2.4319,54,3260.0,4266.0,633.0,612.0,516.0,5.99238,23808.6,98161.5,145778.7,2099.9,1,,0.28,485.9,477.3,1.4951,13.5049,23.8086,98.1615,145.7787,0.1
42,1.00_6.00_3775.0_15_199.80_487.40,1.0,6.0,3775.0,15.0,199.8,2.4394,54,3264.0,4272.0,635.0,614.0,518.0,5.99372,23966.5,97834.1,145767.0,2098.1,1,,0.28,487.4,478.8,1.4932,13.5068,23.9665,97.8341,145.7671,1.9
43,1.00_6.00_3782.0_15_199.90_487.10,1.0,6.0,3782.0,15.0,199.9,2.4367,54,3271.0,4280.0,634.0,614.0,518.0,5.99459,24012.0,97600.3,145624.4,2097.3,1,,0.36,487.1,478.5,1.4913,13.5087,24.012,97.6003,145.6243,2.7
44,1.00_6.00_3791.0_15_198.60_477.70,1.0,6.0,3791.0,15.0,198.6,2.4053,55,3287.0,4281.0,622.0,602.0,508.0,5.99697,23276.7,96957.8,143511.1,2099.3,1,,0.3,477.7,469.1,1.4787,13.5213,23.2767,96.9578,143.5112,0.7
45,1.00_6.00_3795.0_15_198.70_476.90,1.0,6.0,3795.0,15.0,198.7,2.4001,55,3292.0,4285.0,621.0,601.0,507.0,5.99804,23231.6,96652.9,143116.0,2099.7,1,,0.28,476.9,468.3,1.4779,13.5221,23.2316,96.6529,143.1161,0.3
46,1.00_5.90_3799.0_15_199.60_480.10,1.0,5.9,3799.0,15.0,199.6,2.4053,55,3293.0,4292.0,625.0,605.0,510.0,5.89913,23569.8,95196.7,142336.3,2099.9,1,,0.27,480.1,471.5,1.4828,13.5172,23.5698,95.1967,142.3363,0.1
47,1.00_6.00_3806.0_15_198.70_477.90,1.0,6.0,3806.0,15.0,198.7,2.4051,55,3302.0,4297.0,622.0,602.0,508.0,6.00098,23379.0,96269.5,143027.5,2097.6,1,,0.28,477.9,469.3,1.4739,13.5261,23.379,96.2695,143.0275,2.4
48,1.00_6.00_3812.0_15_199.80_473.60,1.0,6.0,3812.0,15.0,199.8,2.3704,55,3310.0,4301.0,617.0,597.0,503.0,6.00261,23108.1,96051.9,142268.1,2097.0,1,,0.29,473.6,465.0,1.4794,13.5206,23.1081,96.0519,142.2681,3.0
49,1.00_5.90_3817.0_15_199.60_479.80,1.0,5.9,3817.0,15.0,199.6,2.4038,55,3311.0,4310.0,625.0,605.0,510.0,5.90394,23653.0,94375.2,141681.3,2099.1,1,,0.28,479.8,471.2,1.4761,13.5239,23.653,94.3752,141.6812,0.9
50,1.00_5.90_3828.0_15_197.30_476.10,1.0,5.9,3828.0,15.0,197.3,2.4131,56,3326.0,4316.0,620.0,600.0,506.0,5.90682,23348.1,93906.4,140602.6,2099.6,1,,0.26,476.1,467.5,1.456,13.544,23.3481,93.9064,140.6026,0.4
51,1.00_6.00_3861.0_15_194.80_472.10,1.0,6.0,3861.0,15.0,194.8,2.4235,57,3364.0,4344.0,615.0,595.0,502.0,6.01558,23113.9,93912.6,140140.5,2090.6,1,,0.3,472.1,463.5,1.4267,13.5733,23.1139,93.9126,140.1404,9.4
52,1.00_6.00_3849.0_15_222.20_453.30,1.0,6.0,3849.0,15.0,222.2,2.0401,50,3338.0,4347.0,590.0,571.0,482.0,6.01211,22419.6,94796.5,139635.7,2099.4,1,,0.26,453.3,444.7,1.6215,13.3785,22.4196,94.7965,139.6357,0.6
53,1.00_6.00_3859.0_15_221.80_454.50,1.0,6.0,3859.0,15.0,221.8,2.0491,50,3348.0,4357.0,592.0,573.0,483.0,6.01477,22528.1,94387.6,139443.8,2098.6,1,,0.28,454.5,445.9,1.6147,13.3853,22.5281,94.3876,139.4438,1.4
54,1.00_6.00_3862.0_15_222.30_453.40,1.0,6.0,3862.0,15.0,222.3,2.0396,50,3351.0,4360.0,590.0,571.0,482.0,6.01558,22479.4,94240.1,139198.9,2098.0,1,,0.26,453.4,444.8,1.617,13.383,22.4794,94.2401,139.1989,2.0
55,1.00_6.00_3866.0_15_221.90_453.20,1.0,6.0,3866.0,15.0,221.9,2.0424,50,3356.0,4364.0,590.0,571.0,482.0,6.01664,22466.1,94151.5,139083.8,2099.4,1,,0.26,453.2,444.6,1.6127,13.3873,22.4661,94.1515,139.0837,0.6
56,1.00_6.00_3894.0_15_194.00_456.50,1.0,6.0,3894.0,15.0,194.0,2.3531,58,3408.0,4367.0,594.0,575.0,485.0,6.02338,22012.6,92061.7,136086.9,2099.2,1,,0.28,456.5,447.9,1.4096,13.5904,22.0126,92.0617,136.0869,0.8
57,1.00_6.00_3919.0_15_197.40_451.90,1.0,6.0,3919.0,15.0,197.4,2.2893,57,3433.0,4392.0,588.0,570.0,480.0,6.02915,21847.5,91303.7,134998.6,2100.0,0,,0.28,451.9,443.3,1.4244,13.5756,21.8475,91.3037,134.9987,0.0
58,1.00_6.00_3936.0_15_210.20_441.40,1.0,6.0,3936.0,15.0,210.2,2.0999,54,3445.0,4415.0,575.0,556.0,469.0,6.03502,21526.6,90900.7,133954.0,2099.4,1,,0.27,441.4,432.8,1.506,13.494,21.5266,90.9007,133.9539,0.6
59,1.00_6.00_3939.0_15_210.20_441.40,1.0,6.0,3939.0,15.0,210.2,2.0999,54,3448.0,4418.0,575.0,556.0,469.0,6.03583,21539.1,90737.3,133815.4,2099.3,1,,0.27,441.4,432.8,1.5049,13.4951,21.5391,90.7373,133.8155,0.7
60,1.00_5.90_3939.0_15_210.50_448.10,1.0,5.9,3939.0,15.0,210.5,2.1287,54,3443.0,4422.0,584.0,565.0,476.0,5.93583,22109.9,89447.5,133667.4,2098.0,1,,0.28,448.1,439.5,1.5069,13.4931,22.1099,89.4475,133.6673,2.0
61,1.00_6.00_3946.0_15_210.60_441.00,1.0,6.0,3946.0,15.0,210.6,2.094,54,3454.0,4425.0,574.0,556.0,469.0,6.03671,21577.5,90408.7,133563.7,2097.9,1,,0.27,441.0,432.4,1.5051,13.4949,21.5775,90.4087,133.5637,2.1
62,1.00_6.00_3951.0_15_210.60_441.00,1.0,6.0,3951.0,15.0,210.6,2.094,54,3459.0,4430.0,574.0,556.0,469.0,6.03804,21598.3,90298.5,133495.0,2097.4,1,,0.28,441.0,432.4,1.5033,13.4967,21.5983,90.2985,133.4951,2.6
63,1.00_5.90_3961.0_15_206.40_448.20,1.0,5.9,3961.0,15.0,206.4,2.1715,55,3469.0,4440.0,584.0,565.0,476.0,5.94161,22059.7,88689.7,132809.2,2099.2,1,,0.27,448.2,439.6,1.4712,13.5288,22.0597,88.6897,132.8091,0.8
64,1.00_6.00_3964.0_15_210.70_441.20,1.0,6.0,3964.0,15.0,210.7,2.094,54,3472.0,4443.0,575.0,556.0,469.0,6.04252,21669.0,89908.2,133246.2,2095.7,1,,0.28,441.2,432.6,1.4993,13.5007,21.669,89.9082,133.2462,4.3
65,1.00_5.90_3964.0_15_206.30_448.00,1.0,5.9,3964.0,15.0,206.3,2.1716,55,3472.0,4443.0,583.0,565.0,476.0,5.94141,22055.7,88525.0,132636.4,2099.9,1,,0.27,448.0,439.4,1.4695,13.5305,22.0557,88.525,132.6364,0.1
66,1.00_5.90_3964.0_15_211.80_443.30,1.0,5.9,3964.0,15.0,211.8,2.093,54,3470.0,4445.0,577.0,559.0,471.0,5.94155,21877.8,88471.4,132227.0,2097.6,1,,0.29,443.3,434.7,1.5067,13.4933,21.8778,88.4714,132.227,2.4
67,1.00_6.00_3979.0_15_200.80_439.00,1.0,6.0,3979.0,15.0,200.8,2.1863,57,3498.0,4447.0,572.0,553.0,467.0,6.04628,21253.6,89106.9,131614.2,2098.1,1,,0.27,439.0,430.4,1.427,13.573,21.2536,89.1069,131.6141,1.9
68,1.00_6.00_3989.0_15_205.60_435.90,1.0,6.0,3989.0,15.0,205.6,2.1201,56,3506.0,4460.0,568.0,549.0,463.0,6.04907,21216.6,88815.9,131249.0,2095.0,1,,0.29,435.9,427.3,1.456,13.544,21.2166,88.8159,131.2491,5.0
69,1.00_5.90_3988.0_15_204.70_442.80,1.0,5.9,3988.0,15.0,204.7,2.1632,56,3501.0,4462.0,577.0,558.0,471.0,5.94878,21731.6,87566.8,131030.0,2098.6,1,,0.26,442.8,434.2,1.4502,13.5498,21.7316,87.5668,131.03,1.4
70,1.00_6.00_3995.0_15_205.50_434.60,1.0,6.0,3995.0,15.0,205.5,2.1148,56,3512.0,4465.0,566.0,548.0,462.0,6.04967,21153.8,88469.2,130776.7,2097.2,1,,0.28,434.6,426.0,1.4532,13.5468,21.1538,88.4692,130.7768,2.8
71,1.00_6.00_4001.0_15_205.80_431.80,1.0,6.0,4001.0,15.0,205.8,2.0982,56,3520.0,4470.0,562.0,544.0,459.0,6.05128,20959.5,88172.7,130091.7,2099.6,1,,0.27,431.8,423.2,1.4531,13.5469,20.9595,88.1727,130.0917,0.4
72,1.00_6.00_4009.0_15_205.80_432.60,1.0,6.0,4009.0,15.0,205.8,2.102,56,3528.0,4478.0,563.0,545.0,460.0,6.05342,21032.3,87873.4,129938.0,2098.0,1,,0.29,432.6,424.0,1.4504,13.5496,21.0323,87.8734,129.938,2.0
73,1.00_5.90_4016.0_15_205.80_437.80,1.0,5.9,4016.0,15.0,205.8,2.1273,56,3531.0,4488.0,570.0,552.0,465.0,5.95529,21496.3,86598.7,129591.4,2099.0,1,,0.28,437.8,429.2,1.448,13.552,21.4963,86.5987,129.5913,1.0
74,1.00_6.00_4028.0_15_202.50_431.70,1.0,6.0,4028.0,15.0,202.5,2.1319,57,3550.0,4493.0,562.0,544.0,459.0,6.05842,20949.7,87164.1,129063.5,2098.1,1,,0.27,431.7,423.1,1.4218,13.5782,20.9497,87.1641,129.0635,1.9
75,1.00_6.00_4033.0_15_202.40_431.50,1.0,6.0,4033.0,15.0,202.4,2.1319,57,3556.0,4498.0,562.0,544.0,459.0,6.05975,20941.9,87061.0,128944.7,2098.3,1,,0.28,431.5,422.9,1.4194,13.5806,20.9419,87.061,128.9448,1.7
76,1.00_5.90_4028.0_15_204.20_436.40,1.0,5.9,4028.0,15.0,204.2,2.1371,57,3546.0,4498.0,568.0,550.0,464.0,5.95846,21425.9,85974.5,128826.3,2092.9,1,,0.3,436.4,427.8,1.4332,13.5668,21.4259,85.9745,128.8263,7.1
77,1.00_5.90_4037.0_15_204.40_431.00,1.0,5.9,4037.0,15.0,204.4,2.1086,57,3558.0,4504.0,561.0,543.0,458.0,5.96087,21039.8,85772.1,127851.8,2098.9,1,,0.28,431.0,422.4,1.4315,13.5685,21.0398,85.7721,127.8517,1.1
78,1.00_5.90_4042.0_15_204.70_430.70,1.0,5.9,4042.0,15.0,204.7,2.1041,57,3563.0,4509.0,561.0,543.0,458.0,5.96222,21058.5,85644.1,127761.1,2097.6,1,,0.29,430.7,422.1,1.4318,13.5682,21.0585,85.6441,127.7611,2.4
79,1.00_5.90_4055.0_15_204.40_431.00,1.0,5.9,4055.0,15.0,204.4,2.1086,57,3576.0,4522.0,561.0,543.0,458.0,5.96568,21111.2,85205.3,127427.6,2097.8,1,,0.28,431.0,422.4,1.4254,13.5746,21.1112,85.2053,127.4277,2.2
80,1.00_5.90_4061.0_15_201.40_430.10,1.0,5.9,4061.0,15.0,201.4,2.1356,58,3585.0,4524.0,560.0,542.0,457.0,5.96721,20976.7,84917.2,126870.6,2099.1,1,,0.29,430.1,421.5,1.4035,13.5965,20.9767,84.9172,126.8706,0.9
81,1.00_6.00_4072.0_15_201.70_422.40,1.0,6.0,4072.0,15.0,201.7,2.0942,58,3601.0,4531.0,550.0,532.0,449.0,6.07016,20416.8,85599.6,126433.1,2099.4,1,,0.27,422.4,413.8,1.4018,13.5982,20.4168,85.5996,126.4332,0.6
82,1.00_6.00_4078.0_15_206.00_418.40,1.0,6.0,4078.0,15.0,206.0,2.0311,57,3606.0,4538.0,545.0,527.0,445.0,6.07187,20250.0,85461.5,125961.5,2098.9,1,,0.26,418.4,409.8,1.4283,13.5717,20.25,85.4615,125.9615,1.1
83,1.00_5.90_4085.0_15_201.70_427.80,1.0,5.9,4085.0,15.0,201.7,2.121,58,3611.0,4547.0,557.0,539.0,455.0,5.97364,20887.8,84009.8,125785.3,2099.8,1,,0.28,427.8,419.2,1.3976,13.6024,20.8878,84.0098,125.7854,0.2
84,1.00_5.90_4086.0_15_202.60_425.80,1.0,5.9,4086.0,15.0,202.6,2.1017,58,3612.0,4548.0,555.0,537.0,453.0,5.97393,20813.0,84034.1,125660.1,2098.5,1,,0.27,425.8,417.2,1.4032,13.5968,20.813,84.0341,125.6601,1.5
