key,z1,z2,D_pw_mm,alpha,D_we_mm,L_w_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s,L_we_mm,taper_2beta_deg,cone_angle_deg,rank,mass_brg_t,mass_shaft_t,mass_total_t,sigma_margin
1.00_6.00_3481.0_15_227.60_542.10,1.0,6.0,3481.0,15.0,227.6,542.1,2.3818,44,2907.0,4039.0,706.0,683.0,576.0,5.918,27544.6,117906.1,172995.4,2096.9,1,,0.24,533.5,1.8236,13.1764,1,27.5446,117.9061,172.9953,3.1
1.00_6.00_3503.0_15_218.70_541.30,1.0,6.0,3503.0,15.0,218.7,541.3,2.4751,46,2938.0,4052.0,705.0,682.0,575.0,5.92359,27326.6,115691.9,170345.2,2099.1,1,,0.24,532.7,1.746,13.254,2,27.3266,115.6919,170.3451,0.9
1.00_6.00_3517.0_15_219.40_537.30,1.0,6.0,3517.0,15.0,219.4,537.3,2.449,46,2954.0,4065.0,700.0,677.0,571.0,5.92735,27138.8,114656.5,168934.2,2099.0,1,,0.25,528.7,1.7447,13.2553,3,27.1388,114.6565,168.9341,1.0
1.00_6.00_3525.0_15_219.50_539.50,1.0,6.0,3525.0,15.0,219.5,539.5,2.4579,46,2960.0,4074.0,703.0,680.0,573.0,5.92949,27382.4,114139.8,168904.6,2095.8,1,,0.23,530.9,1.7417,13.2583,4,27.3824,114.1398,168.9046,4.2
1.00_5.90_3518.0_15_229.90_536.70,1.0,5.9,3518.0,15.0,229.9,536.7,2.3345,44,2945.0,4075.0,699.0,676.0,570.0,5.82795,27456.4,113457.8,168370.5,2098.7,1,,0.35,528.1,1.8227,13.1773,5,27.4564,113.4578,168.3706,1.3
1.00_6.00_3527.0_15_219.40_539.40,1.0,6.0,3527.0,15.0,219.4,539.4,2.4585,46,2963.0,4076.0,702.0,680.0,573.0,5.92902,27353.6,114073.2,168780.4,2095.9,1,,0.27,530.8,1.74,13.26,6,27.3536,114.0732,168.7804,4.1
1.00_6.00_3545.0_15_217.40_530.00,1.0,6.0,3545.0,15.0,217.4,530.0,2.4379,47,2989.0,4086.0,690.0,668.0,563.0,5.93377,26652.3,112227.5,165532.2,2098.4,1,,0.25,521.4,1.7168,13.2832,7,26.6523,112.2275,165.5321,1.6
1.00_6.00_3549.0_15_217.40_529.50,1.0,6.0,3549.0,15.0,217.4,529.5,2.4356,47,2993.0,4090.0,690.0,667.0,563.0,5.93584,26660.8,111997.2,165318.7,2098.6,1,,0.26,520.9,1.715,13.285,8,26.6608,111.9972,165.3188,1.4
1.00_6.00_3551.0_15_222.50_525.40,1.0,6.0,3551.0,15.0,222.5,525.4,2.3613,46,2993.0,4094.0,684.0,662.0,558.0,5.93553,26481.4,111997.2,164960.1,2096.1,1,,0.26,516.8,1.752,13.248,9,26.4814,111.9972,164.96,3.9
1.00_6.00_3550.0_16_222.50_520.10,1.0,6.0,3550.0,16.0,222.5,520.1,2.3375,46,2988.0,4098.0,677.0,655.0,553.0,6.00223,26462.0,112383.2,165307.1,2097.4,1,,0.25,511.5,1.8668,14.1332,10,26.462,112.3832,165.3072,2.6
1.00_6.00_3559.0_15_217.40_529.40,1.0,6.0,3559.0,15.0,217.4,529.4,2.4351,47,3003.0,4100.0,689.0,667.0,563.0,5.93751,26704.6,111414.4,164823.6,2097.7,1,,0.25,520.8,1.7104,13.2896,11,26.7046,111.4144,164.8236,2.3
1.00_5.90_3550.0_16_222.50_525.40,1.0,5.9,3550.0,16.0,222.5,525.4,2.3613,46,2984.0,4101.0,684.0,662.0,558.0,5.90223,26921.0,110878.8,164720.8,2099.9,1,,0.26,516.8,1.8668,14.1332,12,26.921,110.8788,164.7208,0.1
1.00_5.90_3557.0_15_222.00_531.10,1.0,5.9,3557.0,15.0,222.0,531.1,2.3923,46,2996.0,4103.0,692.0,669.0,564.0,5.83811,26973.3,110200.4,164146.9,2099.9,1,,0.25,522.5,1.7455,13.2545,13,26.9733,110.2004,164.147,0.1
