design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
b06,DLC1.2-f-s3,0.32,center,30,18970.0,2.1739,-21.1167,1.2668
b06,DLC1.2-f-s4,0.31,center,30,18970.0,2.1642,-22.2235,1.3319
b06,DLC1.2-f-s5,0.31,center,30,18970.0,2.495,-17.9676,1.7802
b06,DLC1.2-f-s6,0.33,center,30,18970.0,2.315,-31.9623,1.1849
b06,DLC1.2-g-s1,0.35,center,30,11340.0,2.7842,-31.0503,1.7254
b06,DLC1.2-g-s2,0.34,center,30,11340.0,2.8533,-25.2287,1.8641
b06,DLC1.2-g-s3,0.35,center,30,11340.0,2.6256,-38.269,1.2826
b06,DLC1.2-g-s4,0.35,center,30,11340.0,2.8294,-33.1721,1.6785
b06,DLC1.2-g-s5,0.36,center,30,11340.0,2.3457,-35.1964,1.1735
b06,DLC1.2-g-s6,0.35,center,30,11340.0,2.217,-31.7027,0.9905
b06,DLC1.2-h-s1,0.4,center,30,6126.0,2.1796,-29.0421,0.5085
b06,DLC1.2-h-s2,0.42,center,30,6126.0,2.1912,-37.3648,0.7983
b06,DLC1.2-h-s3,0.4,center,30,6126.0,2.3486,-37.31,0.8994
b06,DLC1.2-h-s4,0.4,center,30,6126.0,1.8987,-35.6078,0.3476
b06,DLC1.2-h-s5,0.41,center,30,6126.0,2.8355,-36.5436,1.4108
b06,DLC1.2-h-s6,0.42,center,30,6126.0,2.3049,-42.3732,0.8119
b06,DLC1.2-i-s1,0.52,min_pos,30,2997.0,3.0831,-43.0542,1.1182
b06,DLC1.2-i-s2,0.42,center,30,2997.0,2.0491,-30.3042,0.3924
b06,DLC1.2-i-s3,0.42,center,30,2997.0,2.3718,-30.1873,0.7287
b06,DLC1.2-i-s4,0.48,center,30,2997.0,2.9613,-38.7682,1.0042
b06,DLC1.2-i-s5,0.47,center,30,2997.0,2.4797,-31.6198,0.026
b06,DLC1.2-i-s6,0.5,center,30,2997.0,2.0268,-32.7434,0.2375
b06,DLC1.2-j-s1,0.5,min_pos,30,1332.0,3.5559,-36.3094,0.4543
b06,DLC1.2-j-s2,0.56,center,30,1332.0,2.4194,-25.8462,0.5031
b06,DLC1.2-j-s3,0.54,min_pos,30,1332.0,3.5023,-33.969,1.1036
b06,DLC1.2-j-s4,0.51,center,30,1332.0,2.513,-38.0614,0.1375
b06,DLC1.2-j-s5,0.57,min_pos,30,1332.0,3.0055,-19.7566,1.1885
b06,DLC1.2-j-s6,0.6,center,30,1332.0,2.6609,-31.083,1.0387
b06,DLC1.2-k-s1,0.64,center,30,538.2,2.2846,-10.1275,0.8531
b06,DLC1.2-k-s2,0.7,center,30,538.2,2.0201,2.6298,2.0796
b06,DLC1.2-k-s3,0.67,center,30,538.2,2.5664,-3.7763,1.7838
b06,DLC1.2-k-s4,0.63,center,30,538.2,1.5017,-6.5417,0.3646
b06,DLC1.2-k-s5,0.54,center,30,538.2,1.2249,6.0448,2.1388
b06,DLC1.2-k-s6,0.6,center,30,538.2,2.864,-11.412,0.9864
b06,DLC2.4.1-a-s1,0.32,center,3,50.0,1.1765,4.0408,1.7913
b06,DLC2.4.1-a-s2,0.33,center,3,50.0,1.2864,1.8737,1.4109
b06,DLC2.4.1-a-s3,0.35,center,3,50.0,1.9686,1.9469,1.964
b06,DLC2.4.1-a-s4,0.3,center,3,50.0,2.3909,-2.4106,1.347
b06,DLC2.4.1-a-s5,0.35,center,3,50.0,1.1914,3.9113,1.7741
b06,DLC2.4.1-a-s6,0.29,center,3,50.0,0.3048,4.5864,1.1708
b06,DLC2.4.1-b-s1,0.61,min_pos,3,50.0,3.3322,-8.3239,0.8341
b06,DLC2.4.1-b-s2,0.48,center,3,50.0,2.0529,-5.4505,0.4866
b06,DLC2.4.1-b-s3,0.41,min_pos,3,50.0,3.2112,-8.9224,0.7005
b06,DLC2.4.1-b-s4,0.47,center,3,50.0,2.0985,-5.7731,0.4481
b06,DLC2.4.1-b-s5,0.51,min_pos,3,50.0,3.9182,-11.1017,0.2817
b06,DLC2.4.1-b-s6,0.36,center,3,50.0,2.4982,-5.0076,0.8391
b06,DLC2.4.2-a-s1,0.25,center,15,25.0,2.8779,-15.1286,0.9867
b06,DLC2.4.2-a-s2,0.19,center,15,25.0,2.0094,-1.6917,1.5599
b06,DLC2.4.2-a-s3,0.31,center,15,25.0,2.4222,-7.183,1.286
b06,DLC2.4.2-a-s4,0.27,center,15,25.0,2.0336,-1.0296,1.6387
b06,DLC2.4.2-a-s5,0.32,center,15,25.0,2.814,-9.5406,1.3965
b06,DLC2.4.2-a-s6,0.29,center,15,25.0,2.3448,-4.0123,1.5978
b06,DLC2.4.2-b-s1,0.36,center,15,25.0,2.1645,-5.0827,0.8626
b06,DLC2.4.2-b-s2,0.5,center,15,25.0,2.4433,-6.5639,0.6112
b06,DLC2.4.2-b-s3,0.41,center,15,25.0,2.343,-7.456,0.6313
b06,DLC2.4.2-b-s4,0.41,center,15,25.0,2.9555,-3.7693,1.7396
b06,DLC2.4.2-b-s5,0.37,center,15,25.0,2.2089,-2.083,1.4219
b06,DLC2.4.2-b-s6,0.26,center,15,25.0,2.5865,-4.4522,1.2779
b06,DLC4.1-a-y1,0.16,center,10,10000.0,1.5803,1.1657,1.5128
b06,DLC4.1-a-y2,0.16,center,10,10000.0,1.5504,1.1758,1.4899
b06,DLC4.1-a-y3,0.16,center,10,10000.0,1.5314,1.2089,1.4795
b06,DLC4.1-b-y1,0.24,center,10,500.0,2.0605,-1.6925,1.5011
b06,DLC4.1-b-y2,0.25,center,10,500.0,2.0407,-1.6319,1.5124
b06,DLC4.1-b-y3,0.24,center,10,500.0,1.9795,-1.2087,1.5326
b06,DLC4.1-c-y1,0.24,center,10,500.0,2.2958,-1.3028,1.6412
b06,DLC4.1-c-y2,0.31,center,10,500.0,2.3904,-3.3987,1.372
b06,DLC4.1-c-y3,0.48,min_pos,10,500.0,3.1384,-8.8684,0.705
b06,DLC6.4-a-s1,3.0,center,30,24340.0,0.1438,0.2284,0.1584
b06,DLC6.4-a-s2,3.0,center,30,24340.0,0.5744,0.6399,0.5857
b06,DLC6.4-a-s3,3.0,center,30,24340.0,0.4454,0.608,0.4733
b06,DLC6.4-a-s4,3.0,center,30,24340.0,0.5612,0.6991,0.5849
b06,DLC6.4-a-s5,3.0,center,30,24340.0,0.228,0.3035,0.241
b06,DLC6.4-a-s6,3.0,center,30,24340.0,0.5342,0.6404,0.5524
b06,DLC6.4-b-s1,0.28,center,30,292.4,2.4236,-3.6025,1.308
b06,DLC6.4-b-s2,0.28,center,30,292.4,2.6861,-4.2367,1.3893
b06,DLC6.4-b-s3,0.22,center,30,292.4,2.2121,-2.3963,1.3822
b06,DLC6.4-b-s4,0.39,center,30,292.4,2.2837,-8.0583,0.1884
b06,DLC6.4-b-s5,0.51,min_pos,30,292.4,4.096,-10.1192,0.9018
b06,DLC6.4-b-s6,0.24,center,30,292.4,2.1715,-2.5554,1.3241
