idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa,governing,feasible,t_s,warn
1.00_5.00_4500_31_200_475,19,1.0,5.0,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.68749,206.982,33637.1,110532.3,177806.6,1864.5,1543.4,1864.5,Myz_max/UW,1,0.28,
1.00_5.00_4500_31_230_550,23,1.0,5.0,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.69226,206.479,44954.4,105264.3,195173.2,1779.7,1467.2,1779.7,Myz_max/UW,1,0.27,
1.00_5.00_4500_31_170_400,28,1.0,5.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.68293,203.798,23899.8,115870.9,163670.4,1984.1,1649.7,1984.1,Myz_max/UW,1,0.32,
1.00_5.00_4500_31_140_325,38,1.0,5.0,4500.0,31.0,140.0,325.0,2.321,92,4083.9999999999995,4906.0,423.2345,409.58125000000007,345.41325,64.11,59.46,2.124,6.67859,200.446,15820.0,121394.8,153034.8,2144.0,1787.6,2144.0,Myz_max/UW,0,0.34,
1.00_5.00_4500_31_110_250,47,1.0,5.0,4500.0,31.0,110.0,250.0,2.273,118,4178.0,4815.0,325.565,315.0625,265.7025,49.31,45.74,2.079,6.67447,197.764,9439.6,127047.3,145926.4,2364.2,1975.1,2364.2,Myz_max/UW,0,0.39,
1.00_5.00_4500_27_200_475,62,1.0,5.0,4500.0,27.0,200.0,475.0,2.375,65,3919.0,5068.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.27569,194.292,32329.2,111783.8,176442.2,1874.3,1567.5,1874.3,Myz_max/UW,1,0.27,
1.00_5.00_4500_27_230_550,66,1.0,5.0,4500.0,27.0,230.0,550.0,2.391,56,3828.0,5156.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.28021,193.82,43190.3,106652.8,193033.4,1789.7,1490.2,1789.7,Myz_max/UW,1,0.26,
1.00_4.50_4500_31_200_475,75,1.0,4.5,4500.0,31.0,200.0,475.0,2.375,65,3897.0,5090.0,618.5735,598.61875,504.83475,93.7,86.91,2.173,6.18749,191.545,33637.1,100483.9,167758.2,1902.3,1598.2,1902.3,Myz_max/UW,1,0.27,
1.00_5.00_4500_27_170_400,79,1.0,5.0,4500.0,27.0,170.0,400.0,2.353,76,4009.0000000000005,4979.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.27135,191.303,22951.7,116977.0,162880.5,1994.2,1675.4,1994.2,Myz_max/UW,1,0.3,
1.00_4.50_4500_31_230_550,83,1.0,4.5,4500.0,31.0,230.0,550.0,2.391,56,3803.0,5182.0,716.243,693.1375,584.5455000000001,108.49,100.63,2.188,6.19226,191.079,44954.4,95694.8,185603.7,1815.0,1518.9,1815.0,Myz_max/UW,1,0.24,
1.00_4.50_4500_31_170_400,93,1.0,4.5,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,504.1000000000001,425.1240000000001,78.9,73.19,2.153,6.18293,188.598,23899.8,105337.2,153136.7,2026.0,1709.0,2026.0,Myz_max/UW,1,0.33,
