rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,key,L_w_mm,mass_brg_kg,mass_shaft_kg,mass_total_kg,feasible,warn,t_s,taper_2beta_deg,cone_angle_deg
1,17.0676,107.6448,1.0,6.0,4491.0,15.0,180.0,365.5,5306,2.0306,72,2098.2,4078.0,4893.0,476.0,461.0,388.0,6.17874,1.00_6.00_4491.0_15_180.00_365.50,365.5,17067.6,73509.5,107644.8,1,,0.32,1.1443,13.8557
2,19.4714,107.3702,1.0,5.5,4496.0,17.0,196.8,381.8,4398,1.94,66,2095.8,4046.0,4936.0,497.0,481.0,406.0,5.85161,1.00_5.50_4496.0_17_196.80_381.80,381.8,19471.4,68427.4,107370.2,1,,0.28,1.4074,15.5926
3,19.4714,107.3702,1.0,5.5,4496.0,17.0,196.8,381.8,4398,1.94,66,2095.8,4046.0,4936.0,497.0,481.0,406.0,5.85161,1.00_5.50_4496.0_17_196.80_381.80,381.8,19471.4,68427.4,107370.2,1,,0.28,1.4074,15.5926
4,19.4714,107.3702,1.0,5.5,4496.0,17.0,196.8,381.8,4398,1.94,66,2095.8,4046.0,4936.0,497.0,481.0,406.0,5.85161,1.00_5.50_4496.0_17_196.80_381.80,381.8,19471.4,68427.4,107370.2,1,,0.28,1.4074,15.5926
5,19.5461,107.2877,1.0,5.5,4498.0,18.0,166.2,390.6,8501,2.3502,78,2095.8,4065.0,4920.0,509.0,492.0,415.0,5.93893,1.00_5.50_4498.0_18_166.20_390.60,390.6,19546.1,68195.5,107287.7,1,,0.3,1.2639,16.7361
6,21.6192,107.0737,1.0,5.0,4493.0,28.0,202.8,376.5,3567,1.8565,64,2098.9,3989.0,4987.0,490.0,474.0,400.0,6.36817,1.00_5.00_4493.0_28_202.80_376.50,376.5,21619.2,63835.4,107073.7,1,,0.3,2.3344,25.6656
7,21.6404,106.8734,1.0,5.0,4500.0,26.0,196.8,381.8,4402,1.94,66,2096.2,4005.0,4984.0,497.0,481.0,406.0,6.17335,1.00_5.00_4500.0_26_196.80_381.80,381.8,21640.4,63592.6,106873.4,1,,0.29,2.1132,23.8868
8,21.7411,106.7951,1.0,5.0,4497.0,22.0,188.0,395.5,6038,2.1037,69,2096.8,4019.0,4964.0,515.0,498.0,420.0,5.79548,1.00_5.00_4497.0_22_188.00_395.50,395.5,21741.1,63312.8,106795.1,1,,0.31,1.7273,20.2727
9,24.3262,106.7934,1.0,4.5,4496.0,28.0,185.3,406.8,6952,2.1954,70,2092.2,3981.0,4999.0,530.0,513.0,432.0,5.87,1.00_4.50_4496.0_28_185.30_406.80,406.8,24326.2,58140.9,106793.4,1,,0.32,2.1388,25.8612
