gen,n_front,hv,f_lo,f_med,f_hi,a_lo,a_hi,a_med,n_fe,mb,mt
5,2,2857.6873,4432.0,4448.0,4464.0,3.571428571428571,0.0,4452.0,28,19.3766,111.1815
10,2,3154.8527,4467.0,4469.5,4472.0,12.931034482758621,0.0,4440.0,464,17.788,107.5022
15,3,3222.3019,4472.0,4496.0,4498.0,13.066385669125394,0.0,4441.0,949,17.3712,107.5022
20,4,3233.4349,4470.0,4496.0,4498.0,12.642045454545455,0.0,4441.0,1408,17.3712,106.79339999999999
25,4,3235.1111,4489.0,4497.0,4498.0,11.510791366906476,0.0,4445.0,1807,17.3712,106.79339999999999
30,7,3243.677,4472.0,4496.0,4498.0,10.275229357798166,0.0,4449.0,2180,17.3201,106.79339999999999
35,9,3245.0127,4472.0,4496.0,4500.0,9.087301587301587,0.0,4452.5,2520,17.315099999999997,106.79339999999999
40,9,3280.9382,4491.0,4496.0,4500.0,8.033240997229916,0.0,4458.0,2888,17.0676,106.79339999999999
