mode,z_end_L,z_end_R,asym_pct,UW_sigma,UW_end_L,UW_end_R,UW_mL,UW_mR,UW_y,DW_sigma,DW_end_L,DW_end_R,DW_mL,DW_mR,DW_y,sec_5dlc
ACTUAL_DATA,1458.955,251.544,82.8,2092.9,873.8,1057.2,3.295,1.089,15.71,1793.9,847.3,235.7,0.0,6.123,20.53,266.6
SMOOTHED,1458.955,251.544,82.8,2092.9,873.8,1055.4,3.293,1.086,15.71,1793.8,855.1,235.9,0.0,6.123,20.53,31.0
