rank,case,DLC,D30_UW,D30_DW,k
103,adin,DLC1.2-a-s2,0.01348346058091611,0.00048304590782822187,0.16
103,adin,DLC1.2-a-s3,0.013551773143394128,0.0004952057757899575,0.16
103,adin,DLC1.2-a-s4,0.013726190970329762,0.0005066921816298249,0.16
103,adin,DLC1.2-a-s5,0.013886081057622056,0.0005397624286126281,0.18
103,adin,DLC1.2-a-s6,0.013584179146417163,0.0004913785272344418,0.17
103,adin,DLC1.2-b-s1,0.012333125328374576,0.00043045508228559733,0.18
103,adin,DLC1.2-b-s2,0.012180310912645712,0.00041423997129028854,0.18
103,adin,DLC1.2-b-s3,0.012047974802872606,0.00041766349412646915,0.18
103,adin,DLC1.2-b-s4,0.012064267777392624,0.00040907069424380154,0.18
103,adin,DLC1.2-b-s5,0.012455354173628754,0.00047308998135584803,0.18
103,adin,DLC1.2-b-s6,0.011958017125345928,0.0004092451829260591,0.18
103,adin,DLC1.2-c-s1,0.008593968856426893,0.0005552696224106443,0.17
103,adin,DLC1.2-c-s2,0.008773543387124244,0.0005449209121711044,0.19
103,adin,DLC1.2-c-s3,0.008643120777089819,0.00047678408157474653,0.18
103,adin,DLC1.2-c-s4,0.0082984091831791,0.0005432377076263446,0.19
103,adin,DLC1.2-c-s5,0.008497794253573304,0.0005626465856245088,0.17
103,adin,DLC1.2-c-s6,0.008874085636276601,0.0006376050318402362,0.18
103,adin,DLC1.2-d-s1,0.010227128777492602,0.0007694813052042073,0.18
103,adin,DLC1.2-d-s2,0.009902175831298274,0.0006224357181736861,0.18
103,adin,DLC1.2-d-s3,0.009677517242719421,0.0006475616650659657,0.17
103,adin,DLC1.2-d-s4,0.009615491230376501,0.0006387376672776273,0.18
103,adin,DLC1.2-d-s5,0.010155338752718993,0.00079066715453923,0.19
103,adin,DLC1.2-d-s6,0.009546109848635393,0.000662348092423737,0.18
103,adin,DLC1.2-e-s1,0.0071057923477489725,0.0005154676742431866,0.21
103,adin,DLC1.2-e-s2,0.0070204690829098,0.0005183921888323191,0.21
103,adin,DLC1.2-e-s3,0.005946092359069475,0.0003648791933304748,0.19
103,adin,DLC1.2-e-s4,0.006690805833902026,0.0004462537033403405,0.21
103,adin,DLC1.2-e-s5,0.006652998456179412,0.0005329649608670545,0.2
103,adin,DLC1.2-e-s6,0.006564305960999358,0.00043561073390018564,0.2
103,adin,DLC1.2-f-s1,0.0029412363332343987,0.0001958361795910739,0.25
103,adin,DLC1.2-f-s2,0.0027969139377160084,0.00015516624894608752,0.25
103,adin,DLC1.2-f-s3,0.0031410097522425523,0.0002720232976194113,0.25
103,adin,DLC1.2-f-s4,0.0030033520838937677,0.00021782379026616654,0.25
103,adin,DLC1.2-f-s5,0.0030639345135515654,0.00023231070999326527,0.24
103,adin,DLC1.2-f-s6,0.0030266735618293262,0.00021094008665301819,0.27
103,adin,DLC1.2-g-s1,0.0012974763692449262,9.661201957229752e-05,0.29
103,adin,DLC1.2-g-s2,0.001356301574194287,0.00011533325517640873,0.28
103,adin,DLC1.2-g-s3,0.0012579475727151185,8.00263763062357e-05,0.29
103,adin,DLC1.2-g-s4,0.0014047784119120895,0.00010386429398217956,0.29
103,adin,DLC1.2-g-s5,0.0013449167124928575,9.138309931440023e-05,0.32
103,adin,DLC1.2-g-s6,0.001382872636074658,0.0001122700382489148,0.31
103,adin,DLC1.2-h-s1,0.0006585297329387604,7.576733243338397e-05,0.37
103,adin,DLC1.2-h-s2,0.0006164751261207211,4.77932415498361e-05,0.4
103,adin,DLC1.2-h-s3,0.0005986560196911069,5.045618514250584e-05,0.36
103,adin,DLC1.2-h-s4,0.0005959164778040555,5.181504425531652e-05,0.36
103,adin,DLC1.2-h-s5,0.0006179180903629406,5.1047240509598315e-05,0.38
103,adin,DLC1.2-h-s6,0.0005751229175300708,4.1047749471620245e-05,0.39
103,adin,DLC1.2-i-s1,0.00024127690775049645,2.06052021277747e-05,0.48
103,adin,DLC1.2-i-s2,0.00024319861237946707,2.7165989991513915e-05,0.4
103,adin,DLC1.2-i-s3,0.0002507083242480161,2.6793138266669584e-05,0.41
103,adin,DLC1.2-i-s4,0.00022222725242816428,2.12154620836203e-05,0.45
103,adin,DLC1.2-i-s5,0.0002497201098293429,3.4057567195083364e-05,0.45
103,adin,DLC1.2-i-s6,0.00022278678317197672,2.3925419952950167e-05,0.45
103,adin,DLC1.2-j-s1,8.505503648983732e-05,1.374013147021248e-05,0.47
103,adin,DLC1.2-j-s2,9.203522981941593e-05,1.4482000664682764e-05,0.52
103,adin,DLC1.2-j-s3,9.009461672736753e-05,1.2505868978959988e-05,0.5
103,adin,DLC1.2-j-s4,8.724931437506039e-05,1.1826545678879793e-05,0.48
103,adin,DLC1.2-j-s5,8.73568925075169e-05,1.610764887825086e-05,0.52
