gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,1,2120.5412,19.3061,147.5282,224,0,225,0,0,0.0
2,2,2204.6137,19.3061,139.3276,448,0,449,0,0,0.1
3,5,2478.1656,16.3509,135.9051,672,0,673,0,0,0.1
4,10,2533.9615,16.3509,135.9051,896,0,897,0,0,0.1
5,10,2564.64,16.3509,135.9051,1120,0,1121,0,0,0.1
6,14,2568.7318,16.3509,135.9051,1344,223,1122,0,0,86.5
7,15,2574.7176,16.3509,135.9051,1568,445,1124,0,0,149.3
8,15,2601.8914,16.3509,134.1268,1792,669,1124,0,1,213.2
9,16,2601.9735,16.3509,134.1268,2016,892,1125,0,1,276.6
10,17,2678.0875,15.5718,134.1268,2240,1115,1126,0,1,341.1
11,17,2678.0875,15.5718,134.1268,2464,1338,1127,0,1,405.9
12,17,2682.0743,15.5718,134.1268,2688,1560,1129,0,1,470.3
13,17,2682.0743,15.5718,134.1268,2912,1784,1129,0,1,535.4
14,18,2685.3168,15.5718,134.1268,3136,2007,1130,0,1,600.4
15,20,2686.1205,15.5718,134.1268,3360,2229,1132,0,1,665.8
16,24,2686.8194,15.5718,134.1268,3584,2451,1134,0,1,731.2
17,23,2699.9836,15.4741,134.1268,3808,2674,1135,0,1,797.0
18,21,2702.879,15.4741,134.1268,4032,2897,1136,0,1,862.5
19,23,2828.2763,14.0,134.1268,4256,3121,1136,0,1,928.3
20,24,2838.1859,13.9041,134.1268,4480,3344,1137,0,1,994.1
21,23,2838.2537,13.9041,134.1268,4704,3566,1139,0,1,1059.5
22,26,2842.4113,13.9041,134.1268,4928,3790,1139,0,1,1125.9
23,27,2846.4726,13.9041,134.1268,5152,4014,1139,0,1,1191.7
24,27,2846.5468,13.9041,134.1268,5376,4238,1139,0,1,1258.9
25,25,2849.6008,13.9041,134.1268,5600,4456,1145,0,1,1323.3
26,29,2850.7409,13.9041,134.1268,5824,4678,1147,0,1,1388.6
27,29,2850.7409,13.9041,134.1268,6048,4900,1149,0,1,1453.8
28,31,2857.0804,13.9041,133.5235,6272,5121,1152,0,1,1520.2
29,32,2857.3741,13.9041,133.5235,6496,5342,1155,0,1,1585.2
30,33,2858.2778,13.9041,133.5235,6720,5563,1158,0,1,1650.9
31,33,2858.2778,13.9041,133.5235,6944,5784,1161,0,1,1715.7
32,33,2859.1819,13.9041,133.5235,7168,6007,1162,0,2,1781.6
33,35,2859.3475,13.9041,133.5235,7392,6229,1164,0,2,1847.2
34,36,2860.0581,13.9041,133.5235,7616,6451,1166,0,3,1912.5
35,35,2860.8631,13.9041,133.5235,7840,6673,1168,0,3,1978.2
36,36,2861.3553,13.9041,133.5235,8064,6895,1170,0,3,2043.9
37,36,2861.3553,13.9041,133.5235,8288,7119,1170,0,3,2110.2
38,39,2862.8906,13.9041,133.5235,8512,7342,1171,0,3,2176.2
39,34,2865.4553,13.9041,133.5235,8736,7565,1172,0,3,2241.8
40,36,2866.844,13.9041,133.5235,8960,7788,1173,0,3,2308.0
41,36,2867.3001,13.9041,133.5235,9184,8009,1176,0,3,2373.2
42,36,2885.6457,13.6942,133.5235,9408,8229,1180,0,3,2438.9
43,37,2885.7438,13.6942,133.5235,9632,8451,1182,0,3,2504.8
44,41,2886.9281,13.6942,133.5235,9856,8672,1185,0,3,2570.5
45,40,2887.6462,13.6942,133.5235,10080,8895,1186,0,3,2637.0
46,42,2888.2466,13.6942,133.5235,10304,9116,1189,0,3,2702.7
47,44,2888.7083,13.6942,133.5235,10528,9339,1190,0,3,2769.2
48,42,2889.8773,13.6942,133.5235,10752,9563,1190,0,3,2835.7
49,42,2889.8773,13.6942,133.5235,10976,9787,1190,0,3,2901.9
50,44,2889.9526,13.6942,133.5235,11200,10006,1195,0,3,2966.7
51,46,2889.9681,13.6942,133.5235,11424,10226,1199,0,3,3032.0
52,47,2891.7364,13.6942,133.5235,11648,10449,1200,0,3,3098.5
53,50,2891.7767,13.6942,133.5235,11872,10672,1201,0,3,3164.6
54,48,2892.3534,13.6942,133.5235,12096,10895,1202,0,3,3231.3
55,49,2892.819,13.6942,133.5235,12320,11116,1205,0,3,3296.7
56,49,2892.819,13.6942,133.5235,12544,11337,1208,0,3,3362.2
57,49,2893.4632,13.6942,133.5235,12768,11561,1208,0,3,3428.8
58,50,2893.7564,13.6942,133.5235,12992,11782,1211,0,3,3494.5
59,51,2893.7564,13.6942,133.5235,13216,12002,1214,1,3,3559.9
60,51,2894.1571,13.6942,133.5235,13440,12226,1214,1,3,3626.5
61,49,2894.4706,13.6942,133.5235,13664,12445,1219,1,3,3691.6
62,48,2895.3817,13.6942,133.5235,13888,12668,1220,1,3,3758.1
63,51,2895.9905,13.6942,133.5235,14112,12889,1223,1,3,3823.9
64,55,2896.1664,13.6942,133.5235,14336,13110,1226,1,3,3889.6
65,56,2896.192,13.6942,133.5235,14560,13331,1229,1,3,3955.2
66,58,2896.2357,13.6942,133.5235,14784,13550,1234,1,3,4020.1
67,57,2896.3947,13.6942,133.5235,15008,13770,1238,1,3,4085.6
68,57,2896.6665,13.6942,133.5235,15232,13993,1239,1,3,4152.7
69,54,2897.0436,13.6942,133.5235,15456,14216,1240,1,3,4219.6
70,55,2897.4424,13.6942,133.5235,15680,14438,1242,1,3,4286.2
71,56,2898.0275,13.6942,133.5235,15904,14658,1246,1,4,4351.8
72,56,2898.8127,13.6942,133.5235,16128,14878,1250,1,4,4417.7
73,57,2899.0696,13.6942,133.5235,16352,15100,1252,1,4,4483.7
74,58,2899.0696,13.6942,133.5235,16576,15321,1255,1,4,4549.7
75,58,2899.6278,13.6942,133.5235,16800,15543,1257,1,4,4615.5
76,58,2899.6278,13.6942,133.5235,17024,15765,1259,1,4,4681.9
77,57,2901.5309,13.6777,133.5235,17248,15988,1260,1,4,4748.2
78,57,2901.5309,13.6777,133.5235,17472,16211,1261,1,4,4814.7
79,53,2901.6192,13.6777,133.5235,17696,16433,1263,1,5,4882.1
80,55,2902.2311,13.6777,133.5235,17920,16655,1265,1,5,4949.1
81,56,2902.2311,13.6777,133.5235,18144,16873,1271,1,5,5015.8
82,58,2902.5551,13.6777,133.5235,18368,17095,1273,1,5,5082.3
