subset,rank_pareto,key,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa,feasible,warn,t_s
z1>=1.0,26,1.00_6.00_4123.0_16_158.20_382.70,1.0,6.0,4123.0,16.0,158.2,382.7,2.4191,75,3715.0,4521.0,498.0,482.0,407.0,6.15845,16512.8,118810.2,151835.8,2098.2,1,,0.28
z1>=1.0,27,1.00_6.00_4109.0_18_158.20_382.70,1.0,6.0,4109.0,18.0,158.2,382.7,2.4191,75,3689.0,4518.0,498.0,482.0,407.0,6.31152,17006.6,117148.1,151161.3,2093.3,1,,0.29
z1>=1.0,28,1.00_6.00_4101.0_18_179.40_376.70,1.0,6.0,4101.0,18.0,179.4,376.7,2.0998,66,3665.0,4526.0,491.0,475.0,400.0,6.30946,17121.2,115564.7,149807.1,2098.7,1,,0.29
z1>=1.0,29,1.00_6.00_4101.0_21_176.70_371.10,1.0,6.0,4101.0,21.0,176.7,371.1,2.1002,67,3657.0,4535.0,483.0,468.0,394.0,6.55055,17266.0,115039.3,149571.2,2099.7,1,,0.3
z1>=1.0,30,1.00_6.00_4067.0_18_158.50_390.20,1.0,6.0,4067.0,18.0,158.5,390.2,2.4618,74,3642.0,4481.0,508.0,492.0,415.0,6.2979,17397.4,114282.0,149076.9,2096.9,1,,0.29
z1>=1.0,31,1.00_6.00_4067.0_19_158.50_388.20,1.0,6.0,4067.0,19.0,158.5,388.2,2.4492,74,3638.0,4485.0,506.0,489.0,413.0,6.37795,17502.3,113892.4,148896.9,2097.1,1,,0.27
z1>=1.0,32,1.00_6.00_4041.0_15_190.60_396.20,1.0,6.0,4041.0,15.0,190.6,396.2,2.0787,61,3598.0,4473.0,516.0,499.0,421.0,6.0606,17881.5,111550.0,147313.1,2099.8,1,,0.25
z1>=1.0,33,1.00_6.00_4011.0_17_189.50_399.80,1.0,6.0,4011.0,17.0,189.5,399.8,2.1098,61,3555.0,4455.0,521.0,504.0,425.0,6.20442,18535.5,108883.6,145954.6,2096.7,1,,0.26
z1>=1.0,34,1.00_6.00_3996.0_15_194.60_407.30,1.0,6.0,3996.0,15.0,194.6,407.3,2.093,59,3542.0,4438.0,530.0,513.0,433.0,6.04867,18610.1,107961.8,145182.0,2099.2,1,,0.27
z1>=1.0,35,1.00_6.00_3987.0_15_194.80_407.40,1.0,6.0,3987.0,15.0,194.8,407.4,2.0914,59,3533.0,4430.0,531.0,513.0,433.0,6.04727,18616.6,107421.8,144655.0,2099.8,1,,0.28
z1>=1.0,36,1.00_6.00_3987.0_17_194.80_403.80,1.0,6.0,3987.0,17.0,194.8,403.8,2.0729,59,3523.0,4439.0,526.0,509.0,429.0,6.19724,18901.1,106850.9,144653.2,2097.8,1,,0.28
z1>=1.0,37,1.00_6.00_3966.0_15_197.60_412.20,1.0,6.0,3966.0,15.0,197.6,412.2,2.086,58,3506.0,4414.0,537.0,519.0,438.0,6.04172,18965.4,105809.7,143740.5,2098.8,1,,0.26
z1>=1.0,38,1.00_6.00_3929.0_15_195.70_423.80,1.0,6.0,3929.0,15.0,195.7,423.8,2.1656,58,3463.0,4383.0,552.0,534.0,450.0,6.03178,19639.2,103213.1,142491.6,2098.4,1,,0.27
z1>=1.0,39,1.00_6.00_3917.0_16_197.60_425.70,1.0,6.0,3917.0,16.0,197.6,425.7,2.1544,57,3442.0,4380.0,554.0,536.0,452.0,6.10242,20050.4,102064.0,142164.8,2099.2,1,,0.29
