gen,n_front,hv,f1_min,f2_min,f3_min,budget,masta,cache_hit,geom_out,edge,t_s
1,10,6727.302,4.093,8.4364,87.9321,182,167,0,15,0,0.0
2,11,6907.7349,4.093,8.4341,86.0531,364,327,3,34,0,0.1
3,11,7160.7179,4.093,8.4341,86.0531,546,497,9,40,0,0.1
4,16,7219.6188,4.093,8.3056,86.0531,728,662,13,53,0,0.1
