DLC,valid,k,ksel,eps_UW,eps_Sys,nbin,D30_UW_scr,D30_DW_scr,life_Sys_scr_yr,kappa_min,kappa_max,n_kappa_clip
DLC1.2-a-s1,1,0.21,center,1.9636440747641681,1.4986152509140038,30,0.04483473344092883,0.008728835301847595,587.0184662888074,1.0583602676633934,1.076008468390521,0
DLC1.2-a-s2,1,0.19,center,1.8097823273530318,1.503523514491684,30,0.04508851748343254,0.008776911403297137,583.7265274390383,1.0572531983201063,1.0781309553764609,0
DLC1.2-a-s3,1,0.18,center,1.7892853651474832,1.4825573498435467,30,0.04598125184922153,0.009210946692371807,570.1200121397237,1.0569306816396182,1.0786519595386979,0
DLC1.2-a-s4,1,0.19,center,1.7737115377391939,1.5055203831685275,30,0.04680026768793198,0.00931992650182734,560.6063576505874,1.0516125950732838,1.0782877678779967,0
DLC1.2-a-s5,1,0.21,center,1.8249205613471091,1.5050315779587244,30,0.04924136111926778,0.010475723433404504,527.7516982247123,1.0564786164582602,1.0821282174844171,0
DLC1.2-a-s6,1,0.2,center,1.8834140335398768,1.5169470389610709,30,0.045915850985598576,0.009089989015558308,571.8755453064688,1.0563236861295504,1.0771899822283004,0
DLC1.2-b-s1,1,0.24,center,2.226117762143774,1.517606148780412,30,0.04499704535299329,0.008546951134472947,586.8568818256023,1.0496801547009564,1.236177899770615,0
DLC1.2-b-s2,1,0.23,center,2.0477124115408056,1.488624343537772,30,0.04316758216893149,0.007851991826395304,615.2055695724492,1.0547207729060402,1.3510390143963618,0
DLC1.2-b-s3,1,0.23,center,2.224298462750487,1.48502517143571,30,0.04325573688447432,0.007950286130794883,613.1298153536713,1.0534223269226084,1.2647527128765204,0
DLC1.2-b-s4,1,0.24,center,2.226447984378402,1.5009719601695553,30,0.0431745100762951,0.007972489208172819,613.9113123246283,1.0567757648869782,1.2299130390266604,0
DLC1.2-b-s5,1,0.23,center,2.14813010450715,1.5206256817562862,30,0.04714937609314876,0.00928487483576019,557.3238132804553,1.0566487804732594,1.2888935069163514,0
DLC1.2-b-s6,1,0.23,center,2.1667545613136125,1.490329190811693,30,0.04302556419616579,0.007806289922852616,617.4370956086154,1.0520498358836448,1.242878480528082,0
DLC1.2-c-s1,1,0.25,center,2.3278755692915545,1.5078173855296582,30,0.051359500920152394,0.011095710006369509,504.8182295196303,1.1811683519824363,1.5980253774727486,0
DLC1.2-c-s2,1,0.27,center,2.6512651269906815,1.5200882059046457,30,0.05190875084000841,0.011433557283152266,498.00174440009323,1.1017749045585266,1.5836991121283452,0
DLC1.2-c-s3,1,0.26,center,2.5571150977536887,1.5289105238273566,30,0.045971427331202665,0.009268263502697209,569.7253279844924,1.1662818222782791,1.5808325495612054,0
DLC1.2-c-s4,1,0.28,center,2.5469698744802147,1.5068656660587938,30,0.04918252315078842,0.010745668495402297,526.260824789869,1.2325073740874928,1.506562292785886,0
DLC1.2-c-s5,1,0.26,center,2.55106463264128,1.4717939763509877,30,0.05177814503683985,0.011657890927099436,497.55328379770884,1.2023815720053397,1.610864873949369,0
DLC1.2-c-s6,1,0.27,center,2.530514617563785,1.476253163506295,30,0.05728876849743778,0.013707001371562149,445.2854376806445,1.1301696364185043,1.5963264766114886,0
DLC1.2-d-s1,1,0.27,center,2.964194766126453,1.4153731769074727,30,0.07977661370141487,0.021285916096792288,313.7070562272251,1.3935311060739044,1.7606320553816006,0
DLC1.2-d-s2,1,0.26,center,2.8950842428444368,1.5075332507162726,30,0.07099959416772764,0.015792765385055342,363.542662719852,1.3277602561265502,1.7754403295426375,0
DLC1.2-d-s3,1,0.25,center,2.7171555964533356,1.4748479386142987,30,0.06944053314269948,0.016391137085418974,368.1871331306004,1.352598944357717,1.7743875151070845,0
DLC1.2-d-s4,1,0.27,center,2.967210976066002,1.3736857665872189,30,0.0689215124993987,0.016570296719081966,369.829736279145,1.2995405163937352,1.81656051343564,0
DLC1.2-d-s5,1,0.28,center,2.957997644262133,1.4987012824817945,30,0.0785706214220371,0.021105761812712807,318.1255951859559,1.3962830842609786,1.7580284352789706,0
DLC1.2-d-s6,1,0.28,center,2.904447322848138,1.4915517106118847,30,0.06947913599381414,0.016872251332556674,366.2447206939832,1.3990003822310346,1.7475350161009626,0
DLC1.2-e-s1,1,0.3,center,2.9037020228373027,0.708096087827646,30,0.05841043088160676,0.015730168973459593,427.7239607878981,1.5561818426061604,1.8670814879773787,0
DLC1.2-e-s2,1,0.32,center,2.918632993874672,0.7557394615152879,30,0.058368352083187205,0.01573975322587021,427.92636874265514,1.5515398051505287,1.8646808344850885,0
DLC1.2-e-s3,1,0.3,center,2.917716780614943,1.0993482136152588,30,0.04274905946162733,0.010033374668529833,598.6342287552156,1.4782516834099884,1.8410722340728538,0
DLC1.2-e-s4,1,0.32,center,2.912299146345889,0.3637996659012499,30,0.05200546833219977,0.01345064012069822,483.9606966788397,1.5428888225582482,1.8305871178370823,0
DLC1.2-e-s5,1,0.28,center,2.8618168349644297,1.4590991692942241,30,0.05377997928167245,0.014916991118845141,461.972613914515,1.539938690384497,1.853562200815282,0
DLC1.2-e-s6,1,0.31,center,2.9384352283753676,1.062985811225238,30,0.05201813671927801,0.01321302870097665,485.3993356216979,1.5520750281908027,1.88665424700109,0
DLC1.2-f-s1,1,0.37,center,2.992715384361869,0.328782270452852,30,0.023251392659286187,0.006151715659772524,1078.0160149046917,1.568308645003611,1.8872992636821844,0
DLC1.2-f-s2,1,0.36,center,2.9674927094582593,0.6764602574998435,30,0.01979578047476404,0.004713528154792382,1289.687851813883,1.5796678506300779,1.8614405307704103,0
DLC1.2-f-s3,1,0.39,center,2.968792325467193,0.9158966595308882,30,0.028541038966121212,0.008877949650439363,850.6342373704722,1.5854568693848892,1.8463747682955838,0
DLC1.2-f-s4,1,0.37,center,2.962988332633233,0.869016520665141,30,0.024850903258500093,0.007020089444411056,996.241156513855,1.5703462526596568,1.904324047089632,0
DLC1.2-f-s5,1,0.36,center,2.994029807476735,1.0659400805526043,30,0.025655743521359693,0.007296442820015962,963.7218153646305,1.5573313527076664,1.9110725886629865,0
DLC1.2-f-s6,1,0.4,cons,3.255202584177113,0.0901047410062267,30,0.024630979944272192,0.0070088813356615,1003.708456454975,1.5135969174125552,1.8471880006332402,0
DLC1.2-g-s1,1,0.42,cons,3.0857975645988627,0.06337317013782373,30,0.010725350836830218,0.003143530077127406,2291.566297230168,1.5937657572557782,1.8548183957329738,0
DLC1.2-g-s2,1,0.41,center,2.9074078980713445,0.6427618120205316,30,0.01236733287760779,0.0038286748228904804,1965.0531975624338,1.578025747306647,1.859167332566972,0
DLC1.2-g-s3,1,0.45,cons,3.5456593994388053,0.08883790335241226,30,0.010314079044304043,0.0030885672682619473,2372.590731543012,1.5370344417870083,1.891585448489334,0
DLC1.2-g-s4,1,0.43,cons,3.2415189933809194,0.00027153368053234317,30,0.01240622026690876,0.003597818407888683,1985.2969144805766,1.5974000009701894,1.8678047247589447,0
DLC1.2-g-s5,1,0.44,cons,3.434751831970815,0.09619548578494452,30,0.011362774944892786,0.003252258791510888,2173.241222637338,1.5629637879216136,1.8454481829887792,0
DLC1.2-g-s6,1,0.43,cons,3.1295378389911654,0.10732428078508427,30,0.012971768358252391,0.004001589496021638,1874.8881437018722,1.5896906783388645,1.8609316552200565,0
DLC1.2-h-s1,1,0.48,cons,3.6120244940591157,0.01854834696369334,30,0.006909550505199325,0.0026253041784483505,3354.685548605794,1.5693696738488472,1.8329787047646964,0
DLC1.2-h-s2,1,0.52,cons,3.9981335750489304,0.07215012070927784,30,0.005311809454018264,0.0016243368171954104,4586.992842045061,1.5317757141465296,1.869300738829994,0
DLC1.2-h-s3,1,0.48,cons,3.8492402183261567,0.05156543256245438,30,0.005281980615407635,0.0016865875951810392,4570.661209114324,1.5829673746556507,1.8460440177256423,0
DLC1.2-h-s4,1,0.49,cons,3.943448812916553,0.09448281693557714,30,0.005641148388713921,0.0019026633399631706,4227.91235597761,1.5598057287648224,1.8413419682937475,0
DLC1.2-h-s5,1,0.49,cons,4.101748920489315,0.0847519340406695,30,0.005469771628035444,0.001738050952799862,4418.400204340543,1.5631349000260861,1.8625599567053577,0
DLC1.2-h-s6,1,0.51,cons,4.167296119127015,0.08003374248471751,30,0.004715713398157948,0.0014126731535408275,5188.854999080216,1.5879993013627192,1.8434225032511935,0
DLC1.2-i-s1,1,0.61,cons,5.587514701742054,0.14250285888833414,30,0.0020828542115187334,0.000719378525174914,11388.49977562536,1.5229581626376396,1.8652641022754282,0
DLC1.2-i-s2,1,0.5,cons,3.7000297867124052,0.11695354916857781,30,0.0023021184547058274,0.0008901297641112618,10024.1295599009,1.5504058524534363,1.8716346638423655,0
DLC1.2-i-s3,1,0.5,cons,3.8801145909467705,0.07483007699184974,30,0.0023391597455520094,0.0008552377503907343,10004.169839274766,1.5506946391327634,1.8927169758023645,0
DLC1.2-i-s4,1,0.58,cons,4.987394239912593,0.11699308719868817,30,0.0017752720386718986,0.0006835451673905346,13012.916542444196,1.5538752599143846,1.881551158257672,0
DLC1.2-i-s5,1,0.57,cons,4.420123817252124,0.020826230544839675,30,0.002371441012702016,0.0011342496807131867,9170.00759000976,1.50569784525078,1.8890153294925323,0
DLC1.2-i-s6,1,0.58,cons,4.033132224842792,0.011430746471172704,30,0.0020009793039727887,0.0007896837321983178,11472.056439476242,1.5693649897177515,1.8481506460852415,0
DLC1.2-j-s1,1,0.6,cons,6.351103874807762,0.17504249055578924,30,0.0007682875141863016,0.0004004214664444395,27551.493737254255,1.5419604195944714,1.8968406940598592,0
DLC1.2-j-s2,1,0.62,cons,3.608601959443205,0.0268139069822384,30,0.000795974606624499,0.00038010676990534104,27333.309480963988,1.522442069139197,1.9422363781204532,0
DLC1.2-j-s3,1,0.61,cons,5.030252767527778,0.04288775658181532,30,0.0008006315599570268,0.0003614561153464925,27630.805000936445,1.5244520396502141,1.899784761333691,0
DLC1.2-j-s4,1,0.59,cons,5.000877106198179,0.038579912445060316,30,0.0007412891096371999,0.0003253579633696293,30085.1934579084,1.570058209976673,1.8946709009768103,0
DLC1.2-j-s5,1,0.61,cons,3.3254872823169537,0.04984965897808191,30,0.0008443599565900843,0.0004448620457585462,24980.9206806615,1.5274059233942108,1.8619199785519995,0
DLC1.2-j-s6,1,0.64,cons,4.981248250758497,0.10538564659302452,30,0.000757028391446664,0.0002811308868220572,30794.090931328028,1.5208959307245784,1.8753862215695816,0
DLC1.2-k-s1,1,0.65,center,2.844330311110797,1.0114825162733485,30,0.0003363538070582048,0.000210833214291136,59019.71743568471,1.5597682086889177,1.8906656986588966,0
DLC1.2-k-s2,1,0.67,center,1.8828394179817605,1.6067384179053672,30,0.00021974419059575507,0.00013350257369360843,91382.47763974585,1.5540841248464383,1.9054315124260415,0
DLC1.2-k-s3,1,0.66,center,2.9852936544589292,1.543972945351482,30,0.0003512316591490727,0.00022765831897060394,55812.34890475937,1.5110081061383671,1.9733383060801846,0
DLC1.2-k-s4,1,0.62,center,2.894024042111254,1.2916990013997212,30,0.0005597293031266212,0.0003609622275453005,35090.02475201582,1.532735972209523,1.8945492152710148,0
DLC1.2-k-s5,1,0.51,center,0.25238228270704277,1.4702885068976908,30,0.00038438468482177615,0.00031862498630943727,46064.88824342682,1.5451823101279725,1.8876082242095227,0
DLC1.2-k-s6,1,0.61,center,2.814539650415048,0.3467532688294801,30,0.00031369661523408734,0.00021837082856654923,60775.4521472055,1.53985404800837,1.9031781768271143,0
DLC2.4.1-a-s1,1,0.43,center,2.4182445166523543,1.4950944332369756,3,1.6480115907757748e-05,7.803870135537172e-06,1323538.7668863903,0.008993246019528209,2.1315757894318508,20
DLC2.4.1-a-s2,1,0.5,center,2.888262510191386,1.0817540570180917,3,2.0862528391876675e-05,9.910864761062085e-06,1044501.7011574075,0.002701651299073268,2.050173302664833,33
DLC2.4.1-a-s3,1,0.43,center,2.9347454407790594,0.8694905400251907,3,2.2903879521775994e-05,1.0918811131508121e-05,950400.6399543544,0.018862436167238122,2.1466679897585963,13
DLC2.4.1-a-s4,1,0.52,center,2.956820554792441,0.6097505857899677,3,2.2310096058156456e-05,1.0692660874761088e-05,974115.9877563758,0.020434295120879787,2.0550790092554716,31
DLC2.4.1-a-s5,1,0.53,center,2.915136440226886,1.148027344280674,3,2.11973614793472e-05,1.0150200665812172e-05,1025532.3483105758,0.015037634410170272,2.1652692335029142,17
DLC2.4.1-a-s6,1,0.38,center,2.5808995318626895,1.543820662171905,3,1.617976822564825e-05,7.303595799634303e-06,1367322.3156042437,0.007990004356494038,2.178848335086129,21
DLC2.4.1-b-s1,1,0.78,cons,4.211882703014945,0.12227844906314056,3,2.0443145737252067e-05,1.0053159189791569e-05,1054707.6231038866,0.004453255127001784,1.8821604291172327,43
DLC2.4.1-b-s2,1,0.84,cons,3.4339069629544126,0.10882810320455505,3,1.4496724443503338e-05,7.387690869278759e-06,1470745.9476124232,0.0015803952747721302,1.9553498070900612,53
DLC2.4.1-b-s3,1,0.61,cons,4.11646427138772,0.041776337584727985,3,2.104234434176657e-05,9.993027641725915e-06,1035678.004488653,0.0051323965924275575,1.8378620018429876,56
DLC2.4.1-b-s4,1,0.72,cons,3.8379823788650236,0.047854416832993074,3,1.722494205115073e-05,8.138931351404028e-06,1267133.0373719549,0.004926564096356075,1.8426610560888883,59
DLC2.4.1-b-s5,1,0.7,cons,5.350229780435823,0.1485490779703517,3,3.2800896626692866e-05,1.9622710269178463e-05,615624.073809128,0.003994382755329296,1.7833129766121,38
DLC2.4.1-b-s6,1,0.6,cons,3.5558882233364204,0.06264915651859493,3,2.1185282815119984e-05,1.083945255673247e-05,1005122.9861955909,0.006456003080781704,1.8394921996042903,29
DLC2.4.2-a-s1,1,0.32,cons,3.2388779678277912,0.013952385252371524,15,3.130559506705247e-05,9.22573737835019e-06,784231.093059263,0.00016835117427359606,2.126436026056933,894
DLC2.4.2-a-s2,1,0.24,center,2.431284369788413,1.474518320392693,15,1.8193444577928098e-05,5.228432558031789e-06,1356224.1736199004,0.02321625954399516,2.0240146543125523,1251
DLC2.4.2-a-s3,1,0.3,center,2.993347096593027,1.031316853981215,15,1.921065994340055e-05,5.797613331691543e-06,1271792.5366935383,0.000628246135257247,2.0192181550461585,1090
DLC2.4.2-a-s4,1,0.25,center,2.3845984295099143,1.5070587524496069,15,1.3779658162506435e-05,3.998957259773117e-06,1787166.8047896463,0.041173135476505376,2.0226317582549482,1100
DLC2.4.2-a-s5,1,0.29,center,2.911265693654852,0.9030982084683301,15,1.9495468112339143e-05,5.686606742913512e-06,1261910.5141484227,9.294694239666795e-05,2.1580814969713273,933
DLC2.4.2-a-s6,1,0.27,center,2.939814308309426,1.3845862026577163,15,1.645522799628077e-05,4.4775401416700595e-06,1515340.6771770655,0.0002344052137809306,2.037662057509396,887
DLC2.4.2-b-s1,1,0.44,center,2.873496576771653,0.2749134849301642,15,9.843565474635902e-06,5.121731004899427e-06,2151557.664512952,0.00139140837970151,2.012009009594165,824
DLC2.4.2-b-s2,1,0.57,cons,3.346975291663183,0.09273389639363572,15,1.5205311785444406e-05,8.21813038972285e-06,1375562.5767544198,0.0031869536353452397,2.00702181510154,794
DLC2.4.2-b-s3,1,0.5,cons,3.217735711687118,0.010607673413221441,15,1.3559598332098987e-05,5.75298721109272e-06,1660406.0544396823,0.025017711531851283,1.9907088504404202,597
DLC2.4.2-b-s4,1,0.5,cons,3.31914687804675,0.0568240790333121,15,1.1756412491147397e-05,5.219212732953125e-06,1890833.2616558583,0.042552413061466864,1.9927229801386772,821
DLC2.4.2-b-s5,1,0.55,center,2.871497339273716,1.1298952205628492,15,1.527243250826419e-05,7.848039601603982e-06,1392331.7903266328,0.02843420388800627,1.9888281731842394,386
DLC2.4.2-b-s6,1,0.44,cons,4.190495613978983,0.09009784877193727,15,1.0377918201758339e-05,5.367204091338184e-06,2044769.9955394703,0.00030135534111247773,2.0513772298333617,673
DLC4.1-a-y1,1,0.11,center,1.6799324747613609,1.5012274837132953,10,0.003959865121198885,0.001423895455923073,5933.495620737982,0.010664930836359733,1.0748342813488225,1012
