rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,key,L_w_mm,mass_brg_kg,mass_shaft_kg,mass_total_kg,feasible,warn,t_s,taper_2beta_deg,cone_angle_deg
1,19.9264,116.0677,1.0,6.0,4396.0,19.0,165.3,397.9,9074,2.4071,76,2067.4,3953.0,4827.0,518.0,501.0,423.0,6.49125,1.00_6.00_4396.0_19_165.30_397.90,397.9,19926.4,76214.9,116067.7,1,,0.29,1.3545,17.6455
2,20.1213,114.7124,1.0,6.0,4494.0,18.0,200.7,385.5,4206,1.9208,64,2044.8,4032.0,4945.0,502.0,486.0,410.0,6.4375,1.00_6.00_4494.0_18_200.70_385.50,385.5,20121.3,74469.8,114712.4,1,,0.28,1.5168,16.4832
3,20.371,109.6739,1.0,5.5,4494.0,19.0,200.7,385.5,4206,1.9208,64,2084.7,4027.0,4950.0,502.0,486.0,410.0,6.02489,1.00_5.50_4494.0_19_200.70_385.50,385.5,20371.0,68931.9,109673.9,1,,0.29,1.5984,17.4016
