Z1_m,L_m,n_eval,n_fail,n_dt_switch,mean_eps_UW,mean_eps_Sys,min_eps_UW,max_eps_UW,mean_dk,max_abs_dk
0.3,2.0,111,51,11,1.5331987568147991,0.1830152411357961,-0.2847784113968732,4.030612470394566,0.0111,0.030000000000000027
0.3,2.25,111,34,8,1.9402548425318284,0.5800397316243986,0.20216128512674292,4.146318165236067,0.006601941747572817,0.020000000000000018
0.3,2.375,111,21,7,2.1289204130565387,0.773479097957338,0.4993800097476033,4.182804741684607,0.005192307692307691,0.010000000000000009
0.3,2.5,111,20,3,2.309762683485137,0.9699852854846156,0.5344904699384534,4.215149412983246,0.0029629629629629615,0.010000000000000009
0.3,2.625,111,31,3,2.485955506017143,1.166560061108351,0.5246099852818098,4.244436474201461,0.0009259259259259247,0.010000000000000009
0.3,2.75,111,43,2,2.655777880417708,1.3588018202645027,0.5150147622302592,4.269735450071388,-0.001376146788990826,0.010000000000000009
0.3,3.0,111,64,5,2.976405398831635,1.7332691709176253,0.49663207075894,5.060528818849614,-0.004811320754716982,0.020000000000000018
0.3,3.5,111,80,16,3.5628730667970734,2.431214998902838,0.4627972314714679,7.129662688744952,-0.012736842105263156,0.030000000000000027
0.4,2.0,111,44,10,1.6602985601032407,0.32755235576827385,-0.40210870370051666,3.5110901293025725,0.009801980198019802,0.030000000000000027
0.4,2.25,111,20,5,2.060288753092619,0.7169217959126695,0.13394480560588562,3.6487743158355705,0.005566037735849057,0.020000000000000018
0.4,2.375,111,14,6,2.2461652477495297,0.906893073954836,0.44973836711473614,3.6969924605114564,0.003333333333333333,0.010000000000000009
0.4,2.5,111,20,2,2.4245201623704222,1.1002000940573213,0.5265633365863831,3.7409501669962957,0.0011009174311926598,0.010000000000000009
0.4,2.625,111,39,1,2.5962302052340736,1.2922473415676354,0.5169120369413305,3.782764647426509,-0.0002727272727272735,0.010000000000000009
0.4,2.75,111,49,1,2.7629884852144273,1.480958962825459,0.5075362015236395,4.0341033380431774,-0.0026363636363636355,0.010000000000000009
0.4,3.0,111,71,12,3.0766872700440517,1.8475106455542505,0.489565057399699,4.944988086368658,-0.006363636363636363,0.020000000000000018
0.4,3.5,111,80,18,3.649190725965138,2.5303312505913835,0.45645758179335694,7.021530173893126,-0.01440860215053763,0.030000000000000027
0.45,2.0,111,39,11,1.7230329506888704,0.39935030406985994,-0.45750120596831567,3.2859404054756323,0.008700000000000001,0.030000000000000027
0.45,2.25,111,13,6,2.1191215452256915,0.7844533893555169,0.10203701341486404,3.406657076821795,0.004571428571428571,0.010000000000000009
0.45,2.375,111,16,6,2.3039053540281484,0.9729245133721264,0.4265631386771984,3.460818212036026,0.0023809523809523803,0.010000000000000009
0.45,2.5,111,27,1,2.4808888129052864,1.164536777769821,0.5226692271586675,3.510438449267519,0.00045454545454545395,0.010000000000000009
0.45,2.625,111,40,1,2.6504253158977247,1.3544106205486395,0.513129541130386,3.7439067335877647,-0.0010909090909090914,0.010000000000000009
0.45,2.75,111,55,3,2.815477912234152,1.5412154140531233,0.5038605885802516,4.088747260272433,-0.0031481481481481477,0.010000000000000009
0.45,3.0,111,74,11,3.125940782275825,1.904008681676039,0.4860900543296687,4.888949114731939,-0.007399999999999998,0.020000000000000018
0.45,3.5,111,80,22,3.6915380400139575,2.5793510745077173,0.45333749423546177,6.968562667816926,-0.01528089887640449,0.040000000000000036
0.5,2.0,111,37,12,1.785189011771841,0.4707862254175098,-0.5106869865854069,3.3646130807384544,0.008080808080808084,0.030000000000000027
0.5,2.25,111,11,7,2.177136778302202,0.8513302559062202,0.07083486336141309,3.344720573696278,0.0038461538461538455,0.010000000000000009
0.5,2.375,111,18,4,2.3607614547706954,1.0383084764118833,0.40432840330022923,3.3415700076070154,0.0014018691588785044,0.010000000000000009
0.5,2.5,111,30,0,2.5364071669396644,1.2283289444245826,0.518820346935378,3.466061330822538,0.0,0.0
0.5,2.625,111,46,1,2.70431811613799,1.416381633619311,0.5093903494616914,3.814251196552876,-0.002181818181818182,0.010000000000000009
0.5,2.75,111,61,2,2.867215299491697,1.600919304803798,0.5002264624319519,4.165132567727392,-0.003944954128440367,0.010000000000000009
0.5,3.0,111,73,13,3.1744536889614556,1.9599778111618762,0.4826531973930903,4.841924345593962,-0.007857142857142854,0.020000000000000018
0.5,3.5,111,80,20,3.7332266660128752,2.6278985551438323,0.4502498747733563,6.9166410416309745,-0.015824175824175824,0.040000000000000036
0.55,2.0,111,34,10,1.846439523676564,0.5415655383238028,-0.5617244086458761,3.442468761129489,0.007425742574257428,0.020000000000000018
0.55,2.25,111,14,7,2.234383921220973,0.9175875732390932,0.040696278913170625,3.4214373299686107,0.002884615384615384,0.010000000000000009
0.55,2.375,111,23,4,2.4166878138392653,1.1029797189607973,0.38272491571660794,3.4176633119617916,0.0007476635514018687,0.010000000000000009
0.55,2.5,111,38,3,2.591034877935789,1.291427815679387,0.5150159124848175,3.635643262479582,-0.0005555555555555552,0.010000000000000009
0.55,2.625,111,48,3,2.7574942095658717,1.477814149216986,0.5056937225207836,3.9898834979426034,-0.0032407407407407406,0.010000000000000009
0.55,2.75,111,65,5,2.918311284725652,1.6601658251587736,0.4966331246331501,4.3360333116226,-0.004622641509433962,0.010000000000000009
0.55,3.0,111,73,13,3.2223249378295153,2.015516077994174,0.4792538619129427,5.003643736673813,-0.008775510204081632,0.020000000000000018
0.55,3.5,111,80,20,3.7740911706694,2.6758184927024438,0.4471942192329825,6.86501414199275,-0.016593406593406593,0.040000000000000036
0.6,2.0,111,28,13,1.9069771945027127,0.6118113915530344,-0.6106979504098398,3.5195274594851065,0.006632653061224491,0.020000000000000018
0.6,2.25,111,15,7,2.291338471123582,0.983580280415119,0.011744029371745235,3.49735710476456,0.0024999999999999996,0.010000000000000009
0.6,2.375,111,25,8,2.471780455509574,1.1669887006875095,0.36127538418445404,3.503245624755369,0.0001941747572815537,0.010000000000000009
0.6,2.5,111,46,3,2.644792290072013,1.3538206768735639,0.511255158364432,3.813769526169275,-0.0015740740740740745,0.010000000000000009
0.6,2.625,111,56,4,2.809781169887428,1.538574102101395,0.5020389376316992,4.163243307302111,-0.003738317757009345,0.010000000000000009
