t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,6.19353,43187.5,907.868,4370.52,1954.58,-22.6931,-4811.04
0.1,6.23283,43210.5,907.649,1043.79,1951.84,-72.6021,-4756.71
0.2,6.2621,43066.2,-1976.75,649.032,1997.78,-186.224,-4835.34
0.3,6.26044,42828.4,-3430.04,1930.27,2041.45,-330.534,-4926.25
0.4,6.2553,42786.5,-2029.4,2053.66,2066.55,-389.371,-4907.84
0.5,6.26898,42857.8,516.88,-410.916,2009.25,-262.632,-4843.34
0.6,6.30356,42953.1,1668.48,-3435.73,1968.48,23.0737,-4878.45
0.7,6.35003,42902.7,569.306,-3890.42,1945.32,203.725,-4933.63
0.8,6.37802,42647.5,1554.17,524.813,1917.16,134.417,-4975.52
0.9,6.36873,42323.1,3776.84,7921.59,1916.86,-150.381,-4921.85
1.0,6.33655,42145.4,5309.53,13607.4,1926.07,-440.132,-4893.93
1.1,6.31978,42219.1,4286.35,15290.6,1965.3,-491.397,-4957.84
1.2,6.32612,42326.9,3017.55,13679.6,1975.32,-377.576,-5032.33
1.3,6.34758,42361.1,4399.36,12099.7,1968.15,-280.4,-4991.64
1.4,6.36927,42255.9,6003.74,13124.6,1946.39,-278.167,-4830.96
1.5,6.37911,42074.6,4477.58,16600.1,1962.69,-283.084,-4798.85
1.6,6.36926,41884.2,1706.13,18233.6,1955.74,-326.59,-4967.77
1.7,6.35039,41842.4,-1289.53,15477.2,1970.52,-296.296,-4999.97
1.8,6.34588,41919.9,-1843.51,9981.47,1977.93,-136.207,-4896.16
1.9,6.34899,41988.8,-4012.43,5300.66,1997.75,-37.5949,-4835.24
2.0,6.3668,42056.9,-7538.23,4637.76,2034.13,-134.329,-5022.19
2.1,6.39235,42020.7,-9173.24,8165.53,2049.35,-374.197,-5225.2
2.2,6.40941,41919.2,-7096.44,12714.5,2018.99,-525.736,-5111.86
2.3,6.43854,41885.1,-3531.27,15062.2,2022.85,-493.172,-4853.38
2.4,6.47933,41835.7,-1958.68,15946.4,2036.42,-298.395,-4814.95
2.5,6.50684,41666.6,-2060.9,17469.8,2014.19,-144.919,-4909.89
2.6,6.50487,41426.5,-1044.54,19669.9,1978.35,-219.595,-4889.45
2.7,6.49156,41315.0,2280.52,22539.3,1994.06,-298.13,-4843.05
2.8,6.47046,41221.2,4248.74,22277.1,2011.45,-365.894,-4940.58
2.9,6.4557,41262.7,4383.24,18556.7,1995.9,-285.966,-5160.91
