=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.42065045685519e-06,45040.0,0.24414609657675776,4.095908204232162,122.87724612696488,150점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.740975445933944e-06,45040.0,0.21353353408486483,4.683105181983121,140.49315545949364,150점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.7203536852237446e-06,45040.0,0.16756472998247746,5.967842994791158,179.03528984373474,150점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.845677237734466e-06,45040.0,0.17320930278756036,5.773361960970947,173.2008588291284,150점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.031854321104188e-07,45040.0,0.040679471862253264,24.5824233752628,737.4727012578841,150점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.2196539370405434e-07,45040.0,0.019005321332430606,52.61684254154672,1578.5052762464015,150점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.512163253384785e-07,45040.0,0.038338783293245075,26.08324819155621,782.4974457466863,150점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.161572770810191e-07,45040.0,0.027751723759729098,36.03379770777027,1081.013931233108,150점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
