k,dt_s,eps_UW_pct,eps_DW_pct
0.0,60,-17.44711751915762,-31.331877832883503
0.05,60,-14.206230832691713,-27.157273797467706
0.1,60,-10.858216454503877,-22.772524797613116
0.15,60,-7.396269824531421,-18.17017941567547
0.2,60,-3.8183249959017007,-13.342652768114604
0.25,60,-0.12519681057406862,-8.282227133174192
0.3,60,3.685705339079348,-2.981052582378929
0.35,60,7.617000634450788,2.568852384987541
0.4,60,11.671336702714141,8.375600205198541
0.45,60,15.851389489452504,14.447433611905346
0.5,60,20.159863131923572,20.792724997121304
0.55,60,24.599489832989185,27.419975771970662
0.6,60,29.17302973573326,34.33781572775592
0.65,60,33.883270798789766,41.55500239784939
0.7,60,38.733028672401446,49.080420420872414
0.75,60,43.725146575227214,56.923080905584115
0.8,60,48.86249517191581,65.09212079786322
0.85,60,54.14797245145997,73.59680225013324
0.9,60,59.58450360634655,82.446511993546
0.95,60,65.17504091251223,91.65076071321046
1.0,60,70.92256361011928,101.21918242672412
1.05,60,76.83007778515743,111.16153386623905
1.1,60,82.90061625188426,121.48769386427026
1.15,60,89.13723843610681,132.20766274343072
1.2,60,95.5430302593167,143.33156171026133
1.25,60,102.12110402367745,154.86963225329623
1.3,60,108.87459829787485,166.8322355454971
1.35,60,115.80667780382767,179.22985185116653
1.4,60,122.92053330426742,192.0730799374367
1.45,60,130.21938149118392,205.37263649042058
1.5,60,137.7368890049917,219.13935553609355
0.0,20,-11.119713377961094,-20.64771368638607
0.05,20,-8.41999928431284,-17.016222475182484
0.1,20,-5.649247723636941,-13.241954580402993
0.15,20,-2.8061079259814825,-9.320799746286024
0.2,20,0.11078412050777864,-5.248585590807764
0.25,20,3.1028056175184116,-1.0210778592008807
0.3,20,6.171346904692365,3.3660193211567435
0.35,20,9.317811407949561,7.917063184769058
0.4,20,12.543615588025393,12.636472071225825
0.45,20,15.855079749358447,17.528725167825286
0.5,20,19.250326675575955,22.598362251835912
0.55,20,22.729508850332046,27.849983432602965
0.6,20,26.294102371836246,33.288248893684425
0.65,20,29.945596217572245,38.91787863519009
0.7,20,33.68549219441357,44.743652216480044
0.75,20,37.515304888996106,50.77040849936727
0.8,20,41.43656161835252,57.00304539195591
0.85,20,45.4508023808158,63.44651959323644
0.9,20,49.5595798071955,70.10584633854758
0.95,20,53.76445911223402,76.98609914600476
1.0,20,58.06701804634429,84.09240956398804
1.05,20,62.46884684763596,91.42996691977112
1.1,20,66.97154819423086,99.0040180693674
1.15,20,71.57673715687274,106.81986714866154
1.2,20,76.28604115183349,114.88287532588774
1.25,20,81.10109989411724,123.19846055550934
1.3,20,86.02356535096678,131.77209733355238
1.35,20,91.05510169567117,140.60931645443335
1.4,20,96.19738526167829,149.71570476932493
1.45,20,101.45210449701297,159.0969049460908
1.5,20,106.82095991899993,168.75861523082588
0.0,10,-9.6942257980975,-18.20122079716452
0.05,10,-7.168393315468268,-14.763572535329782
0.1,10,-4.580842839513977,-11.200961505203754
0.15,10,-1.9304789193793526,-7.510038316008694
0.2,10,0.7838039833067967,-3.6874057542231164
0.25,10,3.5631214568445424,0.270381031643141
0.3,10,6.4085991020069955,4.366814345207937
0.35,10,9.32347048507134,8.605433755517232
0.4,10,12.307583490176043,12.989825909677633
0.45,10,15.361425865792121,17.52362434499637
0.5,10,18.4861661626218,22.210509300788893
0.55,10,21.68298279142562,27.054207530003048
0.6,10,24.953063986414836,32.058492110794454
0.65,10,28.2976077688188,37.22718225817863
0.7,10,31.717821910634324,42.56414313587267
0.75,10,35.214923898560116,48.07328566843232
0.8,10,38.79014089812078,53.75856635377958
0.85,10,42.44470971798435,59.623987076207975
0.9,10,46.179876774476504,65.67359491994648
0.95,10,49.99689805629457,71.91148198335398
1.0,10,53.89703908942452,78.34178519381145
1.05,10,57.882851926216695,84.96868612337256
1.1,10,61.955781161895665,91.79641080522688
1.15,10,66.11772340856324,98.82922955102656
1.2,10,70.36906006434951,106.07145676912104
1.25,10,74.71022816462944,113.52745078374085
1.3,10,79.14255629715304,121.20161365516768
1.35,10,83.66738242089684,129.0983910009222
1.4,10,88.28605383265196,137.22227181800167
1.45,10,92.9999271338202,145.57778830619137
1.5,10,97.81036819742035,154.16951569247522
0.0,6,-9.023322781140541,-16.886788487089355
0.05,6,-6.608171039039812,-13.595013468727558
0.1,6,-4.134000199869281,-10.188736620180771
0.15,6,-1.6020008982608247,-6.664968489198763
0.2,6,0.9888225257745908,-3.020677426995899
0.25,6,3.639474674592913,0.7472102491852706
0.3,6,6.35096905952337,4.64181009251281
0.35,6,9.124328067598132,8.666279362199102
0.4,6,11.960582928413821,12.823816858505289
0.45,6,14.86077368113179,17.117662757278083
0.5,6,17.82594914162243,21.551098444167426
0.55,6,20.857166869759823,26.1274463486582
0.6,6,23.95549313687153,30.85006977804323
0.65,6,27.12239130409435,35.722372751447054
0.7,6,30.361962533171205,40.7477998340074
0.75,6,33.67390512563859,45.92983597130673
0.8,6,37.057505418524016,51.27200632414155
0.85,6,40.51387743611794,56.7778761037081
0.9,6,44.044143768638364,62.45105040727674
0.95,6,47.64943554092156,68.29517405441979
1.0,6,51.33089238129125,74.31393142385363
1.05,6,55.089662390607415,80.51104629094903
1.1,6,58.92781654780666,86.890281665958
1.15,6,62.847620732312336,93.45543963300358
1.2,6,66.84995680205212,100.21036118987152
1.25,6,70.93768247119898,107.15892608864044
1.3,6,75.11002024918565,114.30505267718476
1.35,6,79.36999914204559,121.65269774157696
1.4,6,83.71608796968502,129.20585634941926
1.45,6,88.14951285752099,136.96856169412445
1.5,6,92.6715082325646,144.94488494016937
0.0,4,-8.877479524900933,-16.62638506630675
0.05,4,-6.5007140076917995,-13.388501991274392
0.1,4,-4.067480664738577,-10.03823207628357
0.15,4,-1.5763538114151987,-6.5726208287779535
0.2,4,0.9725877624720436,-2.9886714087735355
0.25,4,3.580337736870276,0.7166552038440077
0.3,4,6.247898694711651,4.546440041047961
0.35,4,8.97707466693447,8.503805977630897
0.4,4,11.768230339976625,12.591917561583887
0.45,4,14.62231143619408,16.8139808440656
0.5,4,17.54060557299941,21.173243209115622
0.55,4,20.526201728273307,25.67299320325349
0.6,4,23.579033097644885,30.316560365090762
0.65,4,26.699132760179587,35.10731505507345
0.7,4,29.887577469492665,40.04866828545994
0.75,4,33.145452618189395,45.14407155063085
0.8,4,36.47385220509201,50.397016657818064
0.85,4,39.873878802664265,55.81103555833242
0.9,4,43.34664352463691,61.38970017936154
0.95,4,46.89326599383514,67.13662225640311
1.0,4,50.515762270500296,73.05545316639281
1.05,4,54.214551166395154,79.14988376157956
1.1,4,57.99064655372022,85.42364420419698
1.15,4,61.845202660277884,91.88050380197362
1.2,4,65.78023024884192,98.52427084452158
1.25,4,69.79676814689195,105.35879244063776
1.3,4,73.89536077736688,112.38795435655015
1.35,4,78.07719793424788,119.61568085513528
1.4,4,82.34381062776792,127.04593453613326
1.45,4,86.69851980461401,134.6827161773819
1.5,4,91.14150930202827,142.5300645770878
0.0,2,-5.961041188213612,-11.348217321861863
0.05,2,-4.064595744221277,-8.71668309733935
0.1,2,-2.132011268089562,-6.011705319056871
0.15,2,-0.16276102236773005,-3.2316650498417476
0.2,2,1.844058712493024,-0.3749223285908987
0.25,2,3.8891063186356822,2.5601837681397566
0.3,2,5.972753392937635,5.575335063429843
0.35,2,8.095252807718678,8.67223421628509
0.4,2,10.257153747840642,11.852604657027555
0.45,2,12.459009722481106,15.118190521882259
0.5,2,14.70137855146132,18.47075658685089
0.55,2,16.98482235159622,21.912088200956713
0.6,2,19.31024789773921,25.4439912189387
0.65,2,21.67924420166889,29.068291933468426
0.7,2,24.091610670338337,32.78683700695741
0.75,2,26.547434060689824,36.60149340301801
0.8,2,29.047299724129427,40.51414831763716
0.85,2,31.59184712500782,44.526709110117224
0.9,2,34.183999104726624,48.64110323383501
0.95,2,36.82223460558347,52.85927816686646
1.0,2,39.50700711240167,57.18320134252019
1.05,2,42.239123589350356,61.61486007982193
1.1,2,45.02072818472649,66.15626151398615
1.15,2,47.85191078812894,70.80943252691145
1.2,2,50.732864453028824,75.57641967773117
1.25,2,53.665221995710844,80.45928913345013
1.3,2,56.648532145394384,85.4601265996949
1.35,2,59.68355208493694,90.58103725160389
1.4,2,62.77035573451997,95.82414566488069
1.45,2,65.90963691606666,101.1915957470336
1.5,2,69.10223331644352,106.68555066882028
0.0,1,-3.046650165553122,-5.58141995728646
0.05,1,-1.7240315594489575,-3.7491713558979733
0.1,1,-0.3835756858101891,-1.8815947095236485
0.15,1,0.9750509078601866,0.02186586351675679
0.2,1,2.3519068699973555,1.9617714765078453
0.25,1,3.7472154318360706,3.93868846203691
0.3,1,5.161381718795499,5.953188359610695
0.35,1,6.594680529261376,8.005847903197228
0.4,1,8.047240644729392,10.097249008699194
0.45,1,9.5192385422753,12.227978761365122
0.5,1,11.011001587306946,14.398629403143804
0.55,1,12.522514558065811,16.60979831998808
0.6,1,14.053830455675831,18.86208802911331
0.65,1,15.605198499898876,21.156106166215128
0.7,1,17.177192240448047,23.492465472652068
0.75,1,18.77006602809901,25.871783782597667
0.8,1,20.383726231844832,28.294684010165994
0.85,1,22.018726849394277,30.761794136515697
0.9,1,23.675434163098497,33.273747196936256
0.95,1,25.354149481271705,35.83118126792009
1.0,1,27.05481033843986,38.43473945422531
1.05,1,28.777458939288426,41.08506987593128
1.1,1,30.522390673286083,43.78282565549176
1.15,1,32.28951136746352,46.52866490478791
1.2,1,34.07903435177453,49.32325071218491
1.25,1,35.892191600403514,52.16725112959486
1.3,1,37.72850085366222,55.06133915954885
1.35,1,39.58828873432756,58.0061927422808
1.4,1,41.47206391810534,61.002494742825995
1.45,1,43.37969382664606,64.05093293813641
1.5,1,45.31119846076561,67.15220000421516
0.0,0.6,-1.5031772353705453,-2.7100397499512874
0.05,0.6,-0.5941861033801343,-1.4473715025913547
0.1,0.6,0.323375961450556,-0.1678351564054048
0.15,0.6,1.2496277443016623,1.1287578874119353
0.2,0.6,2.184762132259066,2.4425975849747816
0.25,0.6,3.1289461668648766,3.773875247840164
0.3,0.6,4.0820040286565495,5.122783541115505
0.35,0.6,5.044258189458728,6.489516481538726
0.4,0.6,6.01569987230568,7.874269435533265
0.45,0.6,6.996340023964565,9.277239117238478
0.5,0.6,7.98616250733486,10.698623586516586
0.55,0.6,8.985232413822008,12.138622246937247
0.6,0.6,9.99355584613053,13.597435843740357
0.65,0.6,11.01132242372762,15.075266461778437
0.7,0.6,12.038730352772188,16.572317523439416
0.75,0.6,13.075665740586828,18.088793786550372
0.8,0.6,14.122203521691157,19.624901342263577
0.85,0.6,15.178512034261615,21.180847612925426
0.9,0.6,16.24476465424467,22.756841349929037
0.95,0.6,17.321089810605095,24.353092631551544
1.0,0.6,18.40726984682044,25.969812860776464
1.05,0.6,19.503589063324544,27.60721476310262
1.1,0.6,20.610285247615103,29.26551238433923
1.15,0.6,21.727331046188624,30.944921088389286
1.2,0.6,22.85466551954758,32.645657555020605
1.25,0.6,23.99232209165758,34.36793977762606
1.3,0.6,25.140259166125013,36.11198706097325
1.35,0.6,26.298567657123705,37.87802001894471
1.4,0.6,27.46742744107713,39.66626057226848
1.45,0.6,28.647306080372246,41.47693194624043
1.5,0.6,29.838023331560336,43.31025866843869
0.0,0.4,-0.7882282979892796,-1.4019611437556367
0.05,0.4,-0.1470469796565288,-0.513572326425149
0.1,0.4,0.4986155765451361,0.38339117963437364
0.15,0.4,1.1487487732676938,1.2889995203459792
0.2,0.4,1.8033278670731123,2.2033232176999817
0.25,0.4,2.4624180079493962,3.1264331693665603
0.3,0.4,3.126043341820628,4.058400648305538
0.35,0.4,3.794188521160269,4.999297302372585
0.4,0.4,4.467031877455496,5.949195153922537
0.45,0.4,5.144745754528368,6.908166599409404
0.5,0.4,5.82709299719717,7.876284408983425
0.55,0.4,6.514124351173578,8.853621726085304
0.6,0.4,7.206051129629332,9.840252067037515
0.65,0.4,7.902934628994718,10.836249320632874
0.7,0.4,8.604549544206197,11.841687747720474
0.75,0.4,9.310933229547036,12.856641980788975
0.8,0.4,10.022146239810304,13.88118702354728
0.85,0.4,10.738180787294116,14.915398250502898
0.9,0.4,11.459140134214651,15.959351406537925
0.95,0.4,12.184963705935603,17.01312260648251
1.0,0.4,12.915781361610822,18.0767883346864
1.05,0.4,13.65151434838976,19.150425444588027
1.1,0.4,14.392158391907884,20.234111158281777
1.15,0.4,15.137839829294752,21.32792306608282
1.2,0.4,15.8885476342705,22.431939126090626
1.25,0.4,16.644423536187645,23.546237663749814
1.3,0.4,17.40534500262938,24.67089737140986
1.35,0.4,18.17145103942954,25.805997307882645
1.4,0.4,18.94267445933466,26.95161689799832
1.45,0.4,19.71900634821715,28.10783593215984
1.5,0.4,20.500518241370735,29.274734565895578
0.0,0.3,-0.47843116970675004,-0.8259515906012371
0.05,0.3,0.003652376225615761,-0.16188930861645856
0.1,0.3,0.4883796285012787,0.5071312384768101
0.15,0.3,0.9758518375201808,1.1811414904197237
0.2,0.3,1.465982570860258,1.8601730172765896
0.25,0.3,1.9587311638406435,2.544257519336335
0.3,0.3,2.4540927709917337,3.2334268270137745
0.35,0.3,2.952261695485725,3.9277129007493805
0.4,0.3,3.453195512446894,4.62714783090894
0.45,0.3,3.9567885888603938,5.331763837682191
0.5,0.3,4.46304705081253,6.041593270980883
0.55,0.3,4.9719948446411255,6.756668610335992
0.6,0.3,5.483713732190609,7.477022464794536
0.65,0.3,5.998195206628987,8.202687572815503
0.7,0.3,6.515466082584176,8.933696802165114
0.75,0.3,7.035520049525212,9.670083149811791
0.8,0.3,7.5584290924309405,10.41187974182014
0.85,0.3,8.084113238839441,11.159119833244358
0.9,0.3,8.612561977171529,11.911836808021437
0.95,0.3,9.143796923325787,12.670064178863406
1.0,0.3,9.677834417098108,13.433835587149057
1.05,0.3,10.214828045675128,14.203184802815304
1.1,0.3,10.754772318818429,14.978145724247916
1.15,0.3,11.297752712691045,15.758752378171682
1.2,0.3,11.843588833193696,16.54503891954009
1.25,0.3,12.392299551739594,17.337039631424588
1.3,0.3,12.94390935919525,18.13478892490319
1.35,0.3,13.498426691584942,18.938321338948903
1.4,0.3,14.055857049285848,19.747671540317246
1.45,0.3,14.616251599337993,20.56287432343382
1.5,0.3,15.179689813583686,21.383964610280938
0.0,0.2,-0.20500381402142054,-0.34710007732403625
0.05,0.2,0.09510871196050097,0.06604508539447274
0.1,0.2,0.3962859481591696,0.4811987634683712
0.15,0.2,0.6985443576297268,0.8983693148944427
0.2,0.2,1.0018954323296692,1.3175651206160932
0.25,0.2,1.3063224855970113,1.738794584511405
0.3,0.2,1.6118296544055388,2.162066133380658
0.35,0.2,1.9184460501945777,2.5873882169343165
