t,rpm,Mx,My,Mz,Fx,Fy,Fz
7.8,0.290064,40.3104,-26211.5,-8721.38,372.728,217.393,-4554.5
7.9,0.300821,14.7957,-26153.9,-8115.86,392.437,191.973,-4579.85
8.0,0.30465,7.45299,-26107.5,-7471.09,414.929,197.287,-4596.06
8.1,0.301358,-24.2279,-26125.1,-6555.79,437.676,210.794,-4588.06
8.2,0.289678,-38.8576,-26113.2,-4989.16,453.703,211.249,-4575.2
8.3,0.27898,-11.3977,-26088.8,-3057.31,460.377,196.445,-4579.16
8.4,0.274731,-11.5157,-26352.3,-1454.24,462.295,172.461,-4577.11
8.5,0.269247,-16.4825,-26229.1,-568.894,458.302,189.053,-4575.64
8.6,0.264846,-5.20703,-26134.0,-408.098,452.525,213.19,-4553.83
8.7,0.265329,10.3769,-26236.4,-533.885,453.721,179.499,-4532.98
8.8,0.271657,16.9273,-26230.4,-594.287,449.531,134.176,-4545.13
8.9,0.274337,0.495103,-26210.0,-949.565,458.427,97.8313,-4565.6
9.0,0.274398,-1.84179,-26172.7,-1797.36,466.404,120.962,-4581.9
9.1,0.26809,-27.3833,-26297.5,-2800.99,464.096,169.355,-4593.11
9.2,0.264934,11.1281,-26138.7,-3252.96,448.495,188.013,-4587.15
9.3,0.262043,-23.2964,-25864.7,-3262.21,435.453,155.754,-4568.57
9.4,0.257672,-2.22472,-25591.5,-3265.39,415.977,132.883,-4542.94
9.5,0.263641,32.0482,-25623.8,-3938.79,400.599,155.34,-4540.29
9.6,0.278901,55.2595,-25713.2,-5109.57,397.283,209.962,-4538.66
9.7,0.299744,50.2268,-25865.0,-6419.2,402.995,209.126,-4512.75
9.8,0.315485,39.6015,-25814.5,-7613.58,410.167,191.812,-4497.66
9.9,0.330182,33.5895,-25460.2,-9121.3,412.744,204.611,-4489.08
10.0,0.341169,23.3195,-25064.8,-11239.8,417.905,283.89,-4479.39
10.1,0.346165,1.34654,-24767.9,-13438.6,428.798,380.384,-4467.49
10.2,0.345997,-2.53155,-24273.2,-14776.7,423.84,445.961,-4475.41
10.3,0.343355,-12.5132,-23905.9,-15334.6,425.436,427.621,-4472.5
