DLC,D30_UW,k,nbin,fatigue_inf,static
DLC1.2-b-s5,0.0020431524590525103,0.2,30,10.471221907349328,30.95588313017449
DLC1.2-c-s6,0.0020375707738107714,0.24,30,8.202081613091208,25.05455464960211
DLC1.2-a-s5,0.0020341939052627243,0.18,30,11.589626998379648,31.122586664317907
DLC1.2-a-s4,0.0019912784114735457,0.17,30,12.531326873207723,33.97244492383956
DLC1.2-b-s1,0.0019900510577483426,0.2,30,10.988003577189563,32.04749533726761
DLC1.2-a-s6,0.001966255139030351,0.18,30,12.461250619130453,33.61647900190102
DLC1.2-a-s3,0.0019619311730512865,0.17,30,11.91033466863689,31.751631281572337
DLC1.2-c-s2,0.001954545589278299,0.24,30,8.503578948302124,25.95495451384407
DLC1.2-b-s3,0.0019461066906169275,0.2,30,12.083577807795436,35.479855715852636
DLC1.2-a-s2,0.0019448411661011204,0.17,30,12.400121398341469,32.89445492820599
DLC1.2-b-s6,0.001944833631510639,0.2,30,11.701429088845673,33.521739570680936
DLC1.2-c-s5,0.0019446259495587987,0.23,30,9.121357446421646,27.83379566294869
DLC1.2-b-s2,0.0019430804041920538,0.2,30,11.942203112913987,35.4070450927249
DLC1.2-a-s1,0.0019415781025381095,0.19,30,12.922899762466168,34.32524046833886
DLC1.2-b-s4,0.0019375429755063226,0.2,30,11.593571469495297,33.49510103564097
DLC1.2-c-s4,0.0019331146794869004,0.24,30,9.469273622239559,28.43456297325208
DLC1.2-c-s1,0.001918297274901769,0.21,30,9.269037234634585,28.400838139964645
DLC1.2-c-s3,0.001804524156167248,0.23,30,9.853253052045801,30.19967384044037
DLC1.2-d-s1,0.001694338350044459,0.27,30,7.414501092163035,22.49641886655996
DLC1.2-d-s5,0.0016861751587592825,0.28,30,7.585259652824673,22.573451587476672
DLC1.2-d-s6,0.0016157264070303446,0.27,30,7.708634765860855,22.573366378261873
DLC1.2-d-s2,0.0015755721059412837,0.26,30,7.6494044590881405,23.14073815577683
DLC1.2-d-s4,0.0015617314886895379,0.27,30,7.274934726346725,21.671023625092346
DLC1.2-d-s3,0.0015492139602195604,0.26,30,7.113414798634783,21.386788106403117
DLC1.2-e-s1,0.0012677164708094495,0.31,30,6.756361775252868,20.426197490924878
DLC1.2-e-s2,0.0012423522136734665,0.32,30,7.015653365950319,20.827320691177693
DLC1.2-e-s6,0.0011938660216726151,0.31,30,6.8702724919357525,20.731814733325496
DLC1.2-e-s5,0.0011637156124411762,0.28,30,6.800674932408927,20.36648544189791
DLC1.2-e-s3,0.0011115659168111148,0.29,30,7.152001122056511,21.085175605300808
DLC1.2-e-s4,0.0010953351147473783,0.34,30,7.235472511061423,21.38550990031771
DLC1.2-f-s3,0.0007667551763664809,0.36,30,6.66273468034076,19.842574535439518
DLC1.2-f-s5,0.0007167157895357187,0.34,30,6.517459167308547,19.467443728338214
DLC1.2-f-s4,0.000714240155094917,0.35,30,6.325916142801844,18.96121365870121
DLC1.2-f-s6,0.0006996234999830776,0.38,30,7.124153932111035,21.097452513814783
DLC1.2-f-s1,0.0006967758990571266,0.36,30,7.431443393174389,21.764874721231738
DLC1.2-f-s2,0.0006420174722699466,0.33,30,7.280281352391186,21.34767532447517
DLC1.2-g-s6,0.00041282069591805674,0.39,30,6.79024884554202,19.98256249023899
DLC1.2-g-s4,0.00040728845078247266,0.39,30,7.412576192400678,21.677154209271933
DLC1.2-g-s2,0.0003935161179512399,0.37,30,6.89356293053546,20.423271791491782
DLC1.2-g-s5,0.00038044783187941264,0.4,30,7.250102153624456,21.324094396764643
DLC6.4-a-s3,0.0003641914175169475,3.0,30,14.522216993157745,36.336346458490105
DLC1.2-g-s1,0.00035954485466134256,0.39,30,7.296437908651993,21.480675444320973
