DLC,ScaleFactor,rpm_mean,rpm_CV_pct,T3P_s,dt_rule_max_s,n_rpm_lt1,n_kappa_clip,valid,D30_UW_scr,D30_DW_scr,life_UW_scr_yr,life_DW_scr_yr,life_Sys_scr_yr,best_dt_s,best_k,eps_UW_at_best,eps_DW_at_best,eps_Sys_at_best,kappa_min,kappa_max
DLC1.2-a-s1,37800.0,3.495043337777037,0.30267520178845164,5.722389700815745,1.4165991421075594,0,0,1,0.6308283722698879,0.13857637384596466,47.55651666720703,216.48711946631443,40.995793744939185,20,0.21,1.928784964110193,-0.8822902599632929,1.4970688608075935,1.0583602676633934,1.076008468390521
DLC1.2-a-s2,37800.0,3.495036678886852,0.3416988825385606,5.7224006033521455,1.413239795702055,0,0,1,0.6342152959023264,0.13919652035226562,47.302548825028985,215.52262889962182,40.78243910769722,20,0.18,1.7770919908793448,-0.031053335957009542,1.4994968305200234,1.0572531983201063,1.0781309553764609
DLC1.2-a-s3,37800.0,3.4950762306282286,0.36433937929314886,5.722335846278542,1.4124174088920152,0,0,1,0.6448595149996262,0.14492186125574852,46.52176063497704,207.00810588581928,39.962031610505115,20,0.18,1.762450581883018,-0.011286459770831092,1.4839418732998202,1.0569306816396182,1.0786519595386979
DLC1.2-a-s4,37800.0,3.4950876287285446,0.35832720393648865,5.722317184726974,1.412992180501273,0,0,1,0.6565449059983807,0.1471031509402844,45.69375183009034,203.9385275450579,39.26937859207545,20,0.18,1.7276149199328033,0.1799293395624022,1.4852658897722506,1.0516125950732838,1.0782877678779967
DLC1.2-a-s5,37800.0,3.495037208798533,0.32161843220145253,5.722399735731361,1.4069525969531034,0,0,1,0.6850382715150248,0.1622046906812963,43.79317367721989,184.95149476869767,37.303005849308676,20,0.2,1.7888031578950407,0.0043385011255126435,1.4944432059761703,1.0564786164582602,1.0821282174844171
DLC1.2-a-s6,37800.0,3.495070154974171,0.38469281877807737,5.7223457936991835,1.4147273113107448,0,0,1,0.6446300551504297,0.14359631373483134,46.53832032854759,208.9190120534624,40.03155971090443,20,0.2,1.8323361636458686,-0.3745134673393862,1.4887807651307958,1.0563236861295504,1.0771899822283004
DLC1.2-b-s1,45700.0,3.6731644909181798,4.582228041637152,5.444896369179646,1.198500436254159,0,0,1,0.6443354133968328,0.1377581122097342,46.55960137569472,217.77301908961667,40.3019474105141,20,0.23,2.1446257137159974,-2.258565557181324,1.4862488446973576,1.0496801547009564,1.236177899770615
DLC1.2-b-s2,45700.0,3.7118669305115812,8.424504353420321,5.388124190444386,1.0768319603725838,0,0,1,0.6208954742971209,0.12802418160291593,48.317311434684285,234.33073052596424,42.047183609963284,20,0.22,2.0213372346260385,-1.5979285201557283,1.4984433757237292,1.0547207729060402,1.3510390143963618
DLC1.2-b-s3,45700.0,3.7012538260289953,6.82241728771943,5.403574285921811,1.1659523265412723,0,0,1,0.6225998701706968,0.12953441788797126,48.18504056509836,231.59867847590675,41.87733045952093,20,0.22,2.191856651357889,-2.4537280191791115,1.5152342964787213,1.0534223269226084,1.2647527128765204
DLC1.2-b-s4,45700.0,3.6817506698883515,5.399755215567371,5.432198373337023,1.2058595125433507,0,0,1,0.6209478642125037,0.1296603063733279,48.31323486078254,231.3738170078181,41.966465314785694,20,0.23,2.175820164267326,-2.458130135127948,1.4985286856814881,1.0567757648869782,1.2299130390266604
