design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
a61,DLC4.1-a-y3,0.31,center,10,10000.0,1.6271,0.8953,1.5146
a61,DLC4.1-b-y1,0.0,center,10,500.0,2.4616,3.1456,2.5617
a61,DLC4.1-b-y2,0.0,min_pos,10,500.0,3.4093,4.659,3.5922
a61,DLC4.1-b-y3,0.0,center,10,500.0,2.6162,3.1542,2.6958
a61,DLC4.1-c-y1,0.1,center,10,500.0,2.1535,-0.6633,1.6705
a61,DLC4.1-c-y2,0.25,center,10,500.0,2.9613,-4.493,1.6213
a61,DLC4.1-c-y3,0.51,min_pos,10,500.0,3.5514,-9.8697,0.676
a61,DLC6.4-a-s1,3.0,center,30,24340.0,0.1888,0.2939,0.2072
a61,DLC6.4-a-s2,3.0,center,30,24340.0,0.6088,0.6903,0.6231
a61,DLC6.4-a-s3,3.0,center,30,24340.0,0.5047,0.6899,0.5372
a61,DLC6.4-a-s4,3.0,center,30,24340.0,0.6134,0.7715,0.6411
a61,DLC6.4-a-s5,3.0,center,30,24340.0,0.2631,0.3538,0.279
a61,DLC6.4-a-s6,3.0,center,30,24340.0,0.5781,0.7022,0.5998
a61,DLC6.4-b-s1,0.26,center,30,292.4,2.4209,-4.9288,1.0663
a61,DLC6.4-b-s2,0.27,center,30,292.4,2.6515,-5.4561,1.1414
a61,DLC6.4-b-s3,0.19,center,30,292.4,2.5945,-3.2123,1.5545
a61,DLC6.4-b-s4,0.4,min_pos,30,292.4,3.0909,-8.6776,0.6948
a61,DLC6.4-b-s5,0.51,min_pos,30,292.4,3.8129,-12.4032,0.0957
a61,DLC6.4-b-s6,0.21,center,30,292.4,2.5335,-3.4284,1.4723
a62,DLC1.2-a-s1,0.19,center,30,37800.0,1.7723,-1.6069,1.6386
a62,DLC1.2-a-s2,0.17,center,30,37800.0,1.6381,-0.7711,1.543
a62,DLC1.2-a-s3,0.17,center,30,37800.0,1.6709,-0.6965,1.5748
a62,DLC1.2-a-s4,0.17,center,30,37800.0,1.6117,-0.5509,1.5239
a62,DLC1.2-a-s5,0.18,center,30,37800.0,1.5161,-0.9413,1.409
a62,DLC1.2-a-s6,0.18,center,30,37800.0,1.6291,-1.1109,1.5202
