rank,stage,k_L,k_R,delta_mm,f_L,f_R,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,s1,s2,s3,s4,score,feasible
210,U3,2.0,0.6,40,0.0,0.0,2074.9,1108.1,53.4,11.484,2.182,1115.2,53.75,6.139,1.166,24.44,0.5931,0.3887,0.9966,0.4625,1.58965,1
210,U3,2.4,0.7,40,0.0,0.0,2106.2,972.5,46.17,14.083,2.676,1095.6,52.02,6.518,1.238,18.04,,,,,,0
210,U3,2.4,0.5,40,0.0,0.0,2090.3,961.2,45.98,14.324,2.721,424.0,20.28,0.443,0.084,17.43,,,,,,0
210,U3,2.4,0.6,46.0,0.0,0.0,2094.1,951.8,45.45,14.381,2.732,1199.8,57.29,5.784,1.099,17.57,0.7075,0.3663,0.8816,0.4271,1.58903,1
210,U3,2.4,0.6,34.0,0.0,0.0,2104.0,984.0,46.77,14.013,2.663,1142.9,54.32,5.94,1.129,17.86,,,,,,0
210,U3,2.4,0.6,40,0.06,0.0,2104.0,997.5,47.41,13.868,2.635,1136.5,54.02,5.971,1.135,22.83,,,,,,0
210,U3,2.4,0.6,40,0.0,0.06,2095.1,963.9,46.01,14.251,2.708,1187.8,56.69,5.813,1.104,17.67,0.7058,0.368,0.8931,0.4331,1.59893,1
210,U3,2.6,0.6,40,0.0,0.0,2111.1,910.7,43.14,15.569,2.958,1196.4,56.67,5.75,1.092,16.82,,,,,,0
210,U3,2.2,0.6,40,0.0,0.0,2086.6,1033.2,49.51,12.824,2.436,1143.7,54.81,5.982,1.137,23.51,0.6086,0.379,0.947,0.4519,1.5556,1
210,U3,2.4,0.65,40,0.0,0.0,2102.7,970.1,46.14,14.141,2.687,1133.3,53.9,6.2,1.178,17.88,,,,,,0
210,U3,2.4,0.55,40,0.0,0.0,2095.3,964.6,46.04,14.261,2.71,189.5,9.04,0.736,0.14,17.58,,,,,,0
210,U3,2.4,0.6,43.0,0.0,0.0,2096.6,959.7,45.77,14.292,2.716,1185.1,56.52,5.814,1.105,17.64,0.7063,0.3683,0.8925,0.4348,1.59879,1
210,U3,2.4,0.6,37.0,0.0,0.0,2101.5,975.8,46.43,14.109,2.681,1156.3,55.02,5.886,1.118,17.78,,,,,,0
210,U3,2.4,0.6,40,0.03,0.0,2101.1,982.2,46.75,14.04,2.668,1153.2,54.89,5.901,1.121,17.83,,,,,,0
210,U3,2.4,0.6,40,0.0,0.03,2097.1,965.8,46.05,14.226,2.703,1179.0,56.22,5.829,1.108,17.69,0.7055,0.3693,0.8983,0.4378,1.6038,1
