rank,stage,k_L,k_R,delta_mm,f_over_a,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct,y_star_mm,score,feasible
103,T5,2.5,0.1,-10,0.0,2073.7,1042.3,50.26,13.995,2.659,1372.1,66.17,-0.0,-0.0,32.16,-68.79,0.85835,1
103,T5,2.5,0.2,-2.0,0.0,2084.4,1034.8,49.65,14.069,2.673,1106.4,53.08,-0.0,-0.0,32.11,-68.68,1.36369,1
103,T5,2.5,0.2,-18.0,0.0,2097.3,1084.3,51.7,13.585,2.581,1048.6,50.0,0.0,0.0,32.45,-69.42,,0
103,T5,2.5,0.2,-10,0.08,2100.8,1109.1,52.8,13.346,2.536,1033.7,49.2,-0.0,-0.0,37.53,-80.29,,0
103,T5,2.75,0.2,-10,0.0,2102.4,1001.8,47.65,15.291,2.905,1110.7,52.83,0.0,0.0,31.24,-66.82,,0
103,T5,2.25,0.2,-10,0.0,2079.0,1126.8,54.2,12.361,2.349,1040.7,50.06,0.0,0.0,33.32,-71.28,1.20065,1
103,T5,2.5,0.3,-10,0.0,2107.5,1075.0,51.01,13.674,2.598,670.7,31.82,0.0,0.0,32.39,-69.28,,0
103,T5,2.5,0.1,-10,0.0,2073.7,1042.3,50.26,13.995,2.659,1372.1,66.17,-0.0,-0.0,32.16,-68.79,0.85835,1
103,T5,2.5,0.2,-6.0,0.0,2087.7,1046.2,50.11,13.944,2.649,1092.1,52.31,0.0,0.0,32.2,-68.87,1.39815,1
103,T5,2.5,0.2,-14.0,0.0,2094.2,1072.2,51.2,13.706,2.604,1063.2,50.77,-0.0,-0.0,32.37,-69.23,,0
103,T5,2.5,0.2,-10,0.04,2095.0,1083.6,51.73,13.594,2.583,1055.6,50.39,0.0,0.0,32.45,-69.4,,0
210,T5,2.5,0.2,0.0,0.0,2090.1,1021.0,48.85,14.084,2.676,1249.5,59.78,0.0,0.0,27.21,-47.28,1.0547,1
210,T5,1.5,0.2,0.0,0.0,2042.8,1396.1,68.34,8.171,1.553,1084.9,53.11,0.0,0.0,41.35,-71.86,0.16477,1
210,T5,2.0,0.1,0.0,0.0,2049.4,1157.3,56.47,11.171,2.123,1447.1,70.61,0.0,0.0,34.17,-59.38,0.61898,1
210,T5,2.0,0.2,8.0,0.0,2058.2,1150.2,55.88,11.227,2.133,1206.1,58.6,0.0,0.0,34.13,-59.31,1.184,1
210,T5,2.0,0.2,-8.0,0.0,2073.1,1200.7,57.92,10.846,2.061,1147.9,55.37,0.0,0.0,34.4,-59.79,1.12941,1
210,T5,2.0,0.2,0.0,0.08,2074.6,1216.5,58.64,10.747,2.042,1144.2,55.15,0.0,0.0,39.45,-68.56,0.98118,1
210,T5,2.25,0.2,0.0,0.0,2077.8,1091.6,52.53,12.565,2.387,1215.3,58.49,0.0,0.0,33.18,-57.66,1.11427,1
210,T5,1.75,0.2,0.0,0.0,2053.7,1276.1,62.14,9.574,1.819,1134.0,55.22,0.0,0.0,40.31,-70.07,0.72577,1
210,T5,2.0,0.3,0.0,0.0,2081.3,1190.2,57.19,10.911,2.073,827.5,39.76,-0.0,-0.0,34.35,-59.7,0.40507,1
210,T5,2.0,0.1,0.0,0.0,2049.4,1157.3,56.47,11.171,2.123,1447.1,70.61,0.0,0.0,34.17,-59.38,0.61898,1
210,T5,2.0,0.2,4.0,0.0,2062.0,1161.7,56.34,11.131,2.115,1191.6,57.79,0.0,0.0,34.2,-59.43,1.23148,1
210,T5,2.0,0.2,-4.0,0.0,2069.5,1186.5,57.33,10.935,2.078,1162.5,56.17,0.0,0.0,34.34,-59.67,1.21488,1
210,T5,2.0,0.2,0.0,0.04,2069.6,1194.0,57.69,10.89,2.069,1160.5,56.07,-0.0,-0.0,34.37,-59.73,1.18337,1
