rank,stage,k_L,k_R,delta_mm,f_L,f_R,delta_over_a,geom_ok,s1,s2,s3,s4,score,feasible,sigma_MPa,end_L_MPa,end_L_pct,margin_L_pct,margin_L_lam,end_R_MPa,end_R_pct,margin_R_pct,margin_R_lam,y_star_pct
210,U4,2.8,0.7,40,0.0,0.0,23.01,1,,,,,,0,2130.3,865.0,40.61,16.785,3.189,1143.7,53.69,6.265,1.19,11.48
210,U4,2.0,0.5,50,0.0,0.0,28.77,1,,,,,,0,2058.0,1077.9,52.38,11.777,2.238,429.4,20.87,0.527,0.1,24.01
210,U4,2.0,0.6,50,0.0,0.0,28.77,1,0.5962,0.378,0.9641,0.4388,1.56032,1,2065.7,1085.1,52.53,11.687,2.221,1159.3,56.12,5.967,1.134,24.25
210,U4,2.0,0.7,50,0.0,0.0,28.77,1,0.5914,0.42,0.9999,0.4741,1.59131,1,2072.0,1089.5,52.58,11.598,2.204,1089.7,52.59,6.634,1.26,24.54
210,U4,2.4,0.5,50,0.0,0.0,28.77,1,,,,,,0,2081.8,935.6,44.94,14.61,2.776,525.0,25.22,0.369,0.07,17.22
210,U4,2.4,0.6,50,0.0,0.0,28.77,1,0.7088,0.364,0.867,0.4167,1.57582,1,2090.7,941.5,45.03,14.496,2.754,1219.5,58.33,5.745,1.092,17.49
210,U4,2.4,0.7,50,0.0,0.0,28.77,1,0.704,0.4017,0.9042,0.453,1.60812,1,2097.1,946.1,45.11,14.387,2.734,1147.1,54.7,6.344,1.205,17.78
210,U4,2.8,0.5,50,0.0,0.0,28.77,1,,,,,,0,2105.7,825.4,39.2,17.447,3.315,596.4,28.32,0.228,0.043,10.58
210,U4,2.8,0.6,50,0.0,0.0,28.77,1,,,,,,0,2115.1,831.3,39.3,17.312,3.289,271.8,12.85,0.768,0.146,10.88
210,U4,2.8,0.7,50,0.0,0.0,28.77,1,,,,,,0,2122.3,836.0,39.39,17.186,3.265,1196.6,56.38,6.078,1.155,11.16
210,U4,2.0,0.5,60,0.0,0.0,34.52,0,,,,,,0,2049.3,1053.8,51.42,11.963,2.273,529.8,25.85,0.458,0.087,18.93
210,U4,2.0,0.6,60,0.0,0.0,34.52,0,0.681,0.371,0.9287,0.413,1.60973,1,2057.3,1061.0,51.57,11.876,2.256,1207.6,58.7,5.856,1.113,19.16
210,U4,2.0,0.7,60,0.0,0.0,34.52,0,0.6763,0.4093,0.9642,0.4472,1.6405,1,2063.1,1066.5,51.7,11.794,2.241,1140.4,55.28,6.464,1.228,19.44
210,U4,2.4,0.5,60,0.0,0.0,34.52,0,,,,,,0,2073.9,910.4,43.9,14.878,2.827,619.3,29.86,0.301,0.057,12.17
210,U4,2.4,0.6,60,0.0,0.0,34.52,0,,,,,,0,2082.5,917.5,44.06,14.771,2.806,286.5,13.76,0.798,0.152,12.43
210,U4,2.4,0.7,60,0.0,0.0,34.52,0,0.7887,0.3903,0.867,0.4256,1.65568,1,2089.0,922.0,44.13,14.671,2.787,1199.9,57.44,6.161,1.171,12.69
210,U4,2.8,0.5,60,0.0,0.0,34.52,0,,,,,,0,2098.2,799.8,38.12,17.801,3.382,688.5,32.82,0.161,0.031,5.55
210,U4,2.8,0.6,60,0.0,0.0,34.52,0,,,,,,0,2107.1,804.8,38.19,17.675,3.358,449.4,21.33,0.68,0.129,5.84
210,U4,2.8,0.7,60,0.0,0.0,34.52,0,,,,,,0,2114.6,809.4,38.28,17.56,3.336,1250.5,59.14,5.882,1.118,6.09
210,U4,2.0,0.5,70,0.0,0.0,40.28,0,,,,,,0,2041.4,1033.5,50.63,12.16,2.31,624.0,30.57,0.394,0.075,18.78
210,U4,2.0,0.6,70,0.0,0.0,40.28,0,,,,,,0,2049.1,1039.5,50.73,12.072,2.294,259.4,12.66,0.846,0.161,19.0
210,U4,2.0,0.7,70,0.0,0.0,40.28,0,0.6795,0.398,0.927,0.4189,1.60648,1,2054.6,1043.9,50.81,11.988,2.278,1193.9,58.11,6.284,1.194,19.25
210,U4,2.4,0.5,70,0.0,0.0,40.28,0,,,,,,0,2066.3,887.8,42.96,15.155,2.879,710.2,34.37,0.239,0.045,11.97
210,U4,2.4,0.6,70,0.0,0.0,40.28,0,,,,,,0,2074.2,893.1,43.06,15.047,2.859,462.2,22.29,0.716,0.136,12.23
210,U4,2.4,0.7,70,0.0,0.0,40.28,0,0.7927,0.378,0.8288,0.3972,1.62152,1,2080.8,898.1,43.16,14.948,2.84,1254.3,60.28,5.967,1.134,12.45
210,U4,2.8,0.5,70,0.0,0.0,40.28,0,,,,,,0,2091.6,774.5,37.03,18.159,3.45,778.5,37.22,0.101,0.019,5.32
210,U4,2.8,0.6,70,0.0,0.0,40.28,0,,,,,,0,2099.7,779.5,37.13,18.034,3.426,573.4,27.31,0.599,0.114,5.6
210,U4,2.8,0.7,70,0.0,0.0,40.28,0,,,,,,0,2107.4,784.9,37.24,17.92,3.405,1306.9,62.01,5.724,1.088,5.82
210,U4,2.0,0.5,80,0.0,0.0,46.03,0,,,,,,0,2033.6,1014.3,49.87,12.343,2.345,715.9,35.2,0.335,0.064,18.64
210,U4,2.0,0.6,80,0.0,0.0,46.03,0,,,,,,0,2040.5,1019.7,49.97,12.263,2.33,449.9,22.05,0.767,0.146,18.85
210,U4,2.0,0.7,80,0.0,0.0,46.03,0,0.6828,0.3857,0.89,0.3895,1.57286,1,2046.2,1024.3,50.06,12.189,2.316,1249.3,61.05,6.09,1.157,19.05
210,U4,2.4,0.5,80,0.0,0.0,46.03,0,,,,,,0,2059.1,866.4,42.08,15.412,2.928,800.2,38.86,0.183,0.035,6.94
210,U4,2.4,0.6,80,0.0,0.0,46.03,0,,,,,,0,2066.4,871.2,42.16,15.313,2.91,601.4,29.1,0.639,0.121,7.19
210,U4,2.4,0.7,80,0.0,0.0,46.03,0,,,,,,0,2073.5,876.3,42.26,15.224,2.893,39.7,1.92,0.966,0.184,7.38
210,U4,2.8,0.6,80,0.0,0.0,46.03,0,,,,,,0,2092.7,755.3,36.09,18.376,3.492,686.6,32.81,0.524,0.1,0.61
210,U4,2.8,0.7,80,0.0,0.0,46.03,0,,,,,,0,2099.9,760.0,36.19,18.273,3.472,375.4,17.88,0.867,0.165,0.82
