design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s
c50,DLC1.2-a-s1,0.17,center,30,37800.0,1.6185,1.5008,0.014492566546407437,0.00040583059146469936,2070.0267205215423,73922.47068345884,2037.6195959003044,4.343
c50,DLC1.2-a-s2,0.16,center,30,37800.0,1.5623,1.4986,0.01452445372023829,0.00041032169250003144,2065.4821570465106,73113.36580138936,2032.8295807313932,3.731
c50,DLC1.2-a-s3,0.16,center,30,37800.0,1.6075,1.5279,0.014605942407226171,0.00042085034987824124,2053.958530273113,71284.24630912028,2020.77144463306,2.892
c50,DLC1.2-a-s4,0.16,center,30,37800.0,1.5044,1.4358,0.014799355302745561,0.00043064035074996063,2027.1153294383323,69663.69952967706,1994.00366526853,3.079
c50,DLC1.2-a-s5,0.17,center,30,37800.0,1.4872,1.397,0.014977871016399866,0.00045791941213463376,2002.9548903947568,65513.710939119665,1968.4012626340616,2.795
c50,DLC1.2-a-s6,0.17,center,30,37800.0,1.6131,1.5208,0.014640775715765622,0.00041674528958562663,2049.071755651247,71986.41652273803,2016.4067211038048,3.016
c50,DLC1.2-b-s1,0.18,center,30,45700.0,1.7416,1.5394,0.013392014527810686,0.0003294390884821171,2240.140939042453,91063.8750799861,2209.7589503230283,2.769
c50,DLC1.2-b-s2,0.18,center,30,45700.0,1.5962,1.4439,0.013158057694175138,0.00031999757339230557,2279.971763103039,93750.71092561404,2249.4398299624595,2.385
c50,DLC1.2-b-s3,0.18,center,30,45700.0,1.8138,1.6087,0.013008896279804524,0.0003223148402103949,2306.11416639343,93076.69476347146,2274.5880464571114,2.494
c50,DLC1.2-b-s4,0.18,center,30,45700.0,1.6498,1.4453,0.013067145293665561,0.00031281536056522474,2295.8342718162644,95903.21890137724,2265.622898178346,2.439
c50,DLC1.2-b-s5,0.18,center,30,45700.0,1.7799,1.5913,0.013458603780453405,0.00037019184964133626,2229.057373958098,81039.0613112249,2194.844818917751,2.541
c50,DLC1.2-b-s6,0.17,center,30,45700.0,1.58,1.3938,0.012906918734537,0.0003116879486400627,2324.3347709104614,96250.11211018622,2293.4508387737988,2.494
c50,DLC1.2-c-s1,0.18,center,30,45040.0,1.8586,1.6616,0.00874766265114083,0.00044698359909019106,3429.4875324310246,67116.55653823371,3325.538845905917,2.612
c50,DLC1.2-c-s2,0.19,center,30,45040.0,1.5505,1.2971,0.008941718651416334,0.00043332999617652504,3355.059711619099,69231.30239010489,3259.070645070433,2.628
c50,DLC1.2-c-s3,0.19,center,30,45040.0,1.9492,1.7245,0.008866391281231869,0.00037717103804257277,3383.563735056806,79539.51118753127,3299.614625955498,2.66
c50,DLC1.2-c-s4,0.2,center,30,45040.0,1.91,1.6517,0.008461641713165205,0.0004368408218545312,3545.4112826975334,68674.90055677548,3436.7383384666387,2.832
c50,DLC1.2-c-s5,0.18,center,30,45040.0,1.9123,1.6431,0.008647074299924406,0.0004549408650888638,3469.3815456474413,65942.63628997163,3360.8271515331307,2.651
c50,DLC1.2-c-s6,0.19,center,30,45040.0,1.6828,1.4251,0.009050876140917576,0.0005213326779331448,3314.5962371946243,57544.82937639134,3200.16676467962,2.671
c50,DLC1.2-d-s1,0.18,center,30,38180.0,1.7514,1.4756,0.0101665490135731,0.0006441578747777434,2950.853820696459,46572.43383130421,2837.9192089287467,2.674
c50,DLC1.2-d-s2,0.18,center,30,38180.0,1.5438,1.359,0.00982506776570404,0.0005106030437096764,3053.414054274492,58754.0563449083,2959.1439594039925,2.645
c50,DLC1.2-d-s3,0.18,center,30,38180.0,1.8381,1.6577,0.009632539229926148,0.0005404784209641424,3114.4435837641545,55506.378860573095,3009.937821429472,2.717
c50,DLC1.2-d-s4,0.18,center,30,38180.0,1.7979,1.5589,0.00953313514115,0.0005286327590611025,3146.918569370144,56750.17199706389,3042.6652592146156,2.757
c50,DLC1.2-d-s5,0.19,center,30,38180.0,1.6187,1.3541,0.010089588576718586,0.0006636649687707044,2973.362072386586,45203.53101591079,2854.878467186488,2.688
c50,DLC1.2-d-s6,0.19,center,30,38180.0,1.9415,1.7082,0.009511274170071946,0.000553440052991601,3154.151532546251,54206.41284965922,3044.0570123722887,2.728
c50,DLC1.2-e-s1,0.21,center,30,28490.0,1.69,1.3177,0.007038292135626619,0.00042956556021898337,4262.397670046286,69838.0009438062,4105.732530145438,2.716
c50,DLC1.2-e-s2,0.22,center,30,28490.0,1.9129,1.5193,0.007003172531411612,0.00043735853679409604,4283.772799461928,68593.60793527553,4122.363057682031,2.77
c50,DLC1.2-e-s3,0.19,center,30,28490.0,1.6531,1.3749,0.005846621018352022,0.00029660390626459364,5131.168910355686,101144.99292277587,4976.856724136741,2.669
c50,DLC1.2-e-s4,0.22,center,30,28490.0,2.001,1.6194,0.006638869027644453,0.00037422191448511247,4518.841970684929,80166.33670766355,4366.452853720764,2.734
c50,DLC1.2-e-s5,0.2,center,30,28490.0,1.814,1.563,0.00657789830425468,0.00044828338562504156,4560.727243319582,66921.95375068607,4371.922703151457,2.951
c50,DLC1.2-e-s6,0.2,center,30,28490.0,1.5931,1.2635,0.00648383193429064,0.0003591900344939951,4626.89352593192,83521.24813891944,4473.773615975759,2.816
c50,DLC1.2-f-s1,0.26,center,30,18970.0,2.1805,1.6709,0.002903419604296509,0.00016034294493280985,10332.643602600776,187098.97097481406,9991.854729819834,2.827
c50,DLC1.2-f-s2,0.26,center,30,18970.0,2.2335,1.8632,0.00274761923470025,0.0001251948043992038,10918.543450680434,239626.55753940213,10626.493927713967,2.7
c50,DLC1.2-f-s3,0.25,center,30,18970.0,1.8383,1.2144,0.003095103217245201,0.0002260927218069647,9692.730062392402,132688.92408493205,9260.422633554916,2.748
c50,DLC1.2-f-s4,0.26,center,30,18970.0,2.1524,1.6288,0.002980401068938779,0.00018244050563035437,10065.759374687783,164437.16759250537,9694.605962599659,2.869
c50,DLC1.2-f-s5,0.25,center,30,18970.0,2.0592,1.5984,0.0030419051645045225,0.0001947931038445721,9862.240397914087,154009.5589006959,9480.446908614651,2.824
c50,DLC1.2-f-s6,0.28,center,30,18970.0,2.5069,1.8588,0.002990686776580115,0.00017415051896048394,10031.140751658837,172264.77520177374,9680.726100185648,2.799
c50,DLC1.2-g-s1,0.3,center,30,11340.0,2.0056,1.2519,0.001281959679619605,7.95134320037888e-05,23401.672047050557,377294.7443467225,22526.416582217593,2.874
c50,DLC1.2-g-s2,0.3,center,30,11340.0,2.6911,1.9453,0.001357751184301433,9.791858881868995e-05,22095.35911061281,306376.96439385193,21123.32942618871,2.891
c50,DLC1.2-g-s3,0.31,center,30,11340.0,2.6395,1.6969,0.0012537017957429692,6.671931189721844e-05,23929.135382805598,449644.92508878396,23171.031897260717,2.852
c50,DLC1.2-g-s4,0.31,center,30,11340.0,2.0258,1.2163,0.0014116829900811172,8.667272495504176e-05,21251.230064248462,346129.65053955995,20465.099297288773,2.769
c50,DLC1.2-g-s5,0.33,center,30,11340.0,1.9982,1.1931,0.0013395793802087467,7.435754501643347e-05,22395.08941629506,403456.031171683,21652.356181562292,2.605
c50,DLC1.2-g-s6,0.33,center,30,11340.0,2.7756,1.8699,0.0013933827821453542,9.434150927630969e-05,21530.336375916602,317993.64065859147,20645.258752951293,2.659
c50,DLC1.2-h-s1,0.39,center,30,6126.0,1.8859,0.612,0.0006702073999611317,6.631132093871451e-05,44762.26314681072,452411.43707160134,42006.62616518675,2.585
c50,DLC1.2-h-s2,0.41,center,30,6126.0,2.4988,1.4637,0.000619777588875114,3.949217278486427e-05,48404.46079124852,759644.1999640437,46540.590576718525,2.797
c50,DLC1.2-h-s3,0.38,center,30,6126.0,2.3791,1.3104,0.0006021047356816966,4.261949533747292e-05,49825.21847471324,703903.219933782,47676.76095808207,2.612
c50,DLC1.2-h-s4,0.39,center,30,6126.0,2.9472,1.7943,0.0006066346037557727,4.476185738137044e-05,49453.16309729969,670213.4753792809,47223.58572382245,2.698
c50,DLC1.2-h-s5,0.39,center,30,6126.0,2.4076,1.3182,0.000618390617166226,4.2184294699676054e-05,48513.02585649658,711165.1436531041,46502.58623713948,2.707
c50,DLC1.2-h-s6,0.41,center,30,6126.0,2.9004,1.8493,0.0005808099942701374,3.454131079417217e-05,51652.00374642118,868525.2328368968,49806.01971737511,2.579
c50,DLC1.2-i-s1,0.5,center,30,2997.0,2.9133,1.318,0.0002451382865251459,1.7676767610868628e-05,122379.90411555988,1697142.8634698114,116996.816340759,2.648
c50,DLC1.2-i-s2,0.42,center,30,2997.0,2.3794,1.1911,0.00024676146833294037,2.3669888484629283e-05,121574.89661036871,1267433.0941390516,114330.80736022397,2.532
c50,DLC1.2-i-s3,0.43,center,30,2997.0,2.5767,1.4238,0.00025641888444683295,2.33505138776176e-05,116996.06315938222,1284768.29920031,110397.06956156214,2.576
c50,DLC1.2-i-s4,0.47,center,30,2997.0,2.6955,1.2817,0.00022342461607586088,1.8643640079246287e-05,134273.4767856282,1609127.8244206922,127370.37083625612,2.428
c50,DLC1.2-i-s5,0.46,center,30,2997.0,2.2107,0.2953,0.00025124965765906923,3.0474972086989632e-05,119403.14776750146,984414.3553065826,110312.20434468331,2.46
c50,DLC1.2-i-s6,0.47,center,30,2997.0,1.9933,0.5876,0.00022422307545167595,2.099389929107601e-05,133795.3283334816,1428986.5633847383,126023.94216586593,2.485
c50,DLC1.2-j-s1,0.49,min_pos,30,1332.0,3.311,1.0213,8.542167254497388e-05,1.249160058093146e-05,351198.9300397416,2401613.77284151,318810.4870829958,2.544
c50,DLC1.2-j-s2,0.53,center,30,1332.0,2.2645,0.6081,9.21754222625919e-05,1.2985913366770426e-05,325466.36905589834,2310195.606014654,296568.14744900906,2.541
c50,DLC1.2-j-s3,0.52,min_pos,30,1332.0,3.2819,1.2963,9.120610412920935e-05,1.1309632685336599e-05,328925.35303886863,2652606.042537193,303304.3563501143,2.654
c50,DLC1.2-j-s4,0.5,center,30,1332.0,2.0317,0.2811,8.794906028111184e-05,1.0626292732781608e-05,341106.5439938859,2823185.9176485348,315240.0356897412,2.769
c50,DLC1.2-j-s5,0.54,center,30,1332.0,2.2958,0.708,8.791940058787458e-05,1.482541888335203e-05,341221.61661026446,2023551.5931147162,304899.15005711,2.668
