DLC,dt,k,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-a-s1,20.0,0.21,30,0.20651313753940304,0.013786551327202707,0.21143889374322933,0.013593358505196265,2.3852023471806705,-1.4013136238447577,2.213551146388637,145.26920832954733,141.88496481840232,9.763153699983377
DLC1.2-a-s2,20.0,0.18,30,0.20754096840542235,0.0138560025432764,0.21135980631823997,0.013753501424964691,1.8400405193049307,-0.7397596672746531,1.7230017749861881,144.54977362058122,141.9380558800742,6.837381099991035
DLC1.2-a-s3,20.0,0.18,30,0.2102987632369594,0.014487522474786348,0.21432382750923556,0.014418657916192549,1.9139742955791128,-0.475337026835676,1.8018537970865278,142.65419129544165,139.97510378871547,6.86004870000761
DLC1.2-a-s4,20.0,0.18,30,0.21402114522420432,0.014695186914512692,0.21788133265879628,0.014637281203601008,1.8036476865629814,-0.39404541941890914,1.700873250611945,140.1730654630999,137.68962964339957,6.6092357999878
DLC1.2-a-s5,20.0,0.2,30,0.2213650086751908,0.016368891620958562,0.2256744790866474,0.01624787957034652,1.9467712793668657,-0.7392806636773108,1.8108270005116056,135.52277380938307,132.9348365903685,6.884183699963614
DLC1.2-a-s6,20.0,0.2,30,0.21025989374849152,0.014293737862563743,0.21470964388476071,0.014187830747809771,2.1163095143536426,-0.7409336576078562,1.9841637391425415,142.68056292221556,139.72357951514113,6.893914999964181
DLC1.2-b-s1,20.0,0.23,30,0.19700168105606583,0.013986547777461455,0.20280673329493168,0.01330532857445795,2.946701879774194,-4.87053141234216,2.5690614821243907,152.28296448628848,147.92408275899055,5.4682958999765106
DLC1.2-b-s2,20.0,0.22,30,0.19021037470514415,0.012917126337263036,0.19483641938475338,0.01237874504519892,2.43206748673952,-4.167964901845133,2.1278483055720665,157.7201035774452,153.97531988492088,5.316588899993803
DLC1.2-b-s3,20.0,0.22,30,0.18987442895234213,0.013267192923024522,0.1948684741766309,0.012551363407834117,2.6301831435881384,-5.395485837460923,2.2490961484520566,157.9991585256059,153.949991791939,5.262335300038103
DLC1.2-b-s4,20.0,0.23,30,0.19002437468972705,0.013151535068291111,0.1953781923873226,0.012463095051813974,2.8174373452549473,-5.234674225497782,2.4389892968177396,157.87448346552478,153.54835477506748,5.518868200015277
DLC1.2-b-s5,20.0,0.22,30,0.20221754679177784,0.015620784704837333,0.20743308365186602,0.015050094333468914,2.579171265220914,-3.653403988032,2.249378007202929,148.35507835969753,144.62495312632416,5.4497168000089005
DLC1.2-b-s6,20.0,0.22,30,0.18963003373323573,0.01290649590399139,0.19482627000793545,0.012239325953990611,2.740196883585222,-5.169257054460874,2.375034533257314,158.20278786746857,153.98334115198156,5.407271699979901
DLC1.2-c-s1,20.0,0.24,30,0.17517617151017434,0.0300174699924298,0.17965154433509356,0.02920625153335467,2.5547840133378408,-2.7024877822138693,1.9213250682161842,171.2561688120783,166.98993660774076,5.929856600007042
DLC1.2-c-s2,20.0,0.26,30,0.17755982993963884,0.029726209950612925,0.18189506416744602,0.028106079564159586,2.441562502780581,-5.4501747419029245,1.5137293928119355,168.95713411191286,164.9302587583305,5.5748804999748245
DLC1.2-c-s3,20.0,0.25,30,0.16493136428718744,0.02428605362232172,0.16919337394533965,0.022981363935916172,2.5841110795221223,-5.372176586180255,1.761477887191254,181.8938449315339,177.31190826475233,5.498557399958372
DLC1.2-c-s4,20.0,0.27,30,0.16945069047050734,0.027279110493560427,0.1741048629354109,0.026153583133038272,2.746623487918809,-4.125967966542932,1.9690379549782477,177.0426542181689,172.3099486952834,5.762491500005126
DLC1.2-c-s5,20.0,0.25,30,0.17513925955825319,0.03127878653743982,0.17983762663097125,0.03001396126934322,2.6826464178097753,-4.043715911365798,1.8390937647067007,171.29226237262742,166.8171481241816,5.65827299997909
DLC1.2-c-s6,20.0,0.25,30,0.18924751396312559,0.037473500257014916,0.19328567507486957,0.03584304009607632,2.1337987628893273,-4.350968417030588,1.2341949902419103,158.52255795468693,155.210674502285,5.994425000040792
DLC1.2-d-s1,20.0,0.26,30,0.23465685089908217,0.06753465760395977,0.24096320097999419,0.06421907882269452,2.687477504598479,-4.909447828563273,1.1918217194380132,127.84625671509572,124.50033813457985,6.05107649997808
DLC1.2-d-s2,20.0,0.25,30,0.21282042980355723,0.05091708283947335,0.21773722080089436,0.04784224387395324,2.3103002854921284,-6.038914238693072,0.9243908323093741,140.96391040884254,137.78076109198128,6.018507000000682
DLC1.2-d-s3,20.0,0.24,30,0.20896246696686843,0.053187580103094746,0.2131981314500965,0.0508955424071993,2.026997740172942,-4.309347579740863,0.9114901782272034,143.56645207848058,140.71417885302682,6.238309299980756
DLC1.2-d-s4,20.0,0.26,30,0.2073175991960842,0.054103543359158554,0.21309374978948695,0.05136152600318424,2.786136158146224,-5.068092006048152,1.372196988167862,144.70551519181706,140.78310616635486,6.1906284999568015
DLC1.2-d-s5,20.0,0.27,30,0.23132358045027696,0.06738234957538632,0.23769861485263669,0.06443696229914997,2.7558947470684103,-4.371155495165824,1.3370608327363476,129.68846471079289,126.21024324688959,5.98884750000434
DLC1.2-d-s6,20.0,0.26,30,0.20924223588867571,0.053712516414255,0.21476609952644551,0.05082464356080143,2.6399372068977023,-5.376536133926402,1.2187491721386001,143.37449546257508,139.6868503276324,6.096166200004518
