gen,n_front,hv,f_lo,f_med,f_hi,a_lo,a_hi,a_med,n_fe,mb,mt
5,3,4383.9494,5287.0,5455.0,5455.0,6.728538283062645,0.46403712296983757,4465.0,3448,14.251100000000001,78.9226
10,7,4478.8908,5244.0,5472.0,5497.0,5.6870881132536,1.5621186233829631,4474.0,4097,13.7006,78.76480000000001
15,8,4605.5082,5408.0,5478.5,5499.0,4.99678318678962,3.345485738794767,4489.0,4663,13.2183,77.15310000000001
20,9,4678.35,5446.0,5487.0,5500.0,4.497201312487937,4.96043234896738,4496.0,5181,12.8559,76.8331
25,8,4683.8875,5452.0,5485.0,5500.0,4.110072323161051,6.4738049038631145,4498.0,5669,12.8303,76.8331
30,9,4698.9407,5452.0,5483.0,5500.0,3.795406417983385,8.242384753217136,4854.0,6139,12.742299999999998,76.8331
35,14,4701.279,5452.0,5494.0,5500.0,3.5378074703917397,9.808685089583966,5036.0,6586,12.742299999999998,76.8331
40,9,4714.6929,5478.0,5497.0,5499.0,3.3266704740148487,11.536264991433466,5179.0,7004,12.742299999999998,76.41860000000001
