rank,mass_brg_t,mass_total_t,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,u,slenderness,Z,sigma_max_MPa,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,key,L_w_mm,mass_brg_kg,mass_shaft_kg,mass_total_kg,feasible,warn,t_s,taper_2beta_deg,cone_angle_deg
1,12.7423,82.2984,1.0,6.0,5478.0,22.0,154.3,266.5,2272,1.7272,102,2097.7,5130.0,5818.0,347.0,336.0,283.0,7.18448,1.00_6.00_5478.0_22_154.30_266.50,266.5,12742.3,56813.9,82298.4,1,,0.36,1.1783,20.8217
2,12.7439,82.1496,1.0,6.0,5498.0,21.0,154.7,267.5,2292,1.7292,102,2095.0,5152.0,5836.0,348.0,337.0,284.0,7.08163,1.00_6.00_5498.0_21_154.70_267.50,267.5,12743.9,56661.8,82149.6,1,,0.34,1.1258,19.8742
3,12.8238,81.9656,1.0,6.0,5499.0,15.0,168.2,275.3,1368,1.6367,94,2097.6,5157.0,5834.0,359.0,347.0,293.0,6.44531,1.00_6.00_5499.0_15_168.20_275.30,275.3,12823.8,56318.0,81965.6,1,,0.32,0.8811,14.1189
4,13.932,80.1774,1.0,5.5,5493.0,19.0,137.8,291.8,6177,2.1176,115,2096.9,5153.0,5825.0,380.0,368.0,310.0,6.36307,1.00_5.50_5493.0_19_137.80_291.80,291.8,13932.0,52313.5,80177.4,1,,0.34,0.9142,18.0858
5,15.2943,79.074,1.0,5.0,5497.0,28.0,170.8,281.8,1497,1.6499,93,2096.6,5103.0,5883.0,367.0,355.0,299.0,6.89607,1.00_5.00_5497.0_28_170.80_281.80,281.8,15294.3,48485.4,79074.0,1,,0.44,1.6267,26.3733
6,15.3085,78.6427,1.0,5.0,5498.0,29.0,136.4,289.2,6206,2.1202,116,2097.7,5125.0,5863.0,377.0,364.0,307.0,7.02094,1.00_5.00_5498.0_29_136.40_289.20,289.2,15308.5,48025.8,78642.7,1,,0.39,1.3488,27.6512
7,16.6987,77.7895,1.0,4.5,5481.0,30.0,170.3,294.3,2280,1.7281,93,2097.6,5070.0,5883.0,383.0,371.0,313.0,6.63795,1.00_4.50_5481.0_30_170.30_294.30,294.3,16698.7,44392.1,77789.5,1,,0.43,1.7333,28.2667
8,16.811,77.5594,1.0,4.5,5485.0,29.0,152.0,301.0,4803,1.9803,104,2094.7,5087.0,5874.0,392.0,379.0,320.0,6.51418,1.00_4.50_5485.0_29_152.00_301.00,301.0,16811.0,43937.4,77559.4,1,,0.49,1.5029,27.4971
9,18.3171,76.4186,1.0,4.0,5497.0,30.0,153.7,313.5,5396,2.0397,103,2095.2,5083.0,5902.0,408.0,395.0,333.0,6.14763,1.00_4.00_5497.0_30_153.70_313.50,313.5,18317.1,39784.5,76418.6,1,,0.4,1.5639,28.4361
