DLC,k_A,k_B,dk,branch_A_pct,branch_B_pct,D30_UW_A,D30_UW_B,d_pct,D30_DW_A,D30_DW_B
DLC1.2-i-s3,0.48,0.48,0.0,46.5,54.8,0.008226,0.008226,-0.004,0.002445,0.002445
DLC1.2-i-s2,0.48,0.49,0.01,49.2,59.4,0.007990,0.008100,+1.377,0.002684,0.002733
DLC1.2-i-s1,0.59,0.58,-0.01,49.3,57.9,0.007814,0.007710,-1.325,0.002144,0.002095
DLC1.2-i-s6,0.57,0.56,-0.01,46.4,56.3,0.007121,0.007020,-1.425,0.002579,0.002529
DLC1.2-i-s4,0.56,0.54,-0.02,45.3,54.3,0.006660,0.006466,-2.907,0.002338,0.002243
DLC1.2-j-s3,0.59,0.58,-0.01,52.5,59.9,0.002905,0.002860,-1.550,0.001403,0.001373
DLC1.2-j-s5,0.59,0.58,-0.01,51.9,60.7,0.002859,0.002814,-1.572,0.001798,0.001762
DLC1.2-j-s6,0.62,0.61,-0.01,53.2,61.8,0.002859,0.002817,-1.455,0.000979,0.000956
DLC1.2-j-s2,0.59,0.58,-0.01,51.5,60.5,0.002830,0.002787,-1.533,0.001604,0.001573
DLC1.2-j-s1,0.57,0.57,0.0,52.3,61.2,0.002751,0.002751,+0.001,0.001553,0.001553
DLC1.2-j-s4,0.57,0.57,0.0,51.6,58.8,0.002698,0.002698,+0.011,0.001301,0.001301
DLC1.2-k-s4,0.61,0.6,-0.01,62.8,68.7,0.001676,0.001648,-1.680,0.001450,0.001422
DLC6.4-b-s5,0.61,0.59,-0.02,3.2,3.8,0.001490,0.001446,-2.953,0.000292,0.000280
DLC1.2-k-s5,0.51,0.5,-0.01,63.1,69.3,0.001101,0.001083,-1.633,0.001434,0.001413
DLC1.2-k-s1,0.63,0.62,-0.01,62.3,67.7,0.001099,0.001080,-1.696,0.001014,0.000993
DLC1.2-k-s3,0.64,0.62,-0.02,60.3,67.0,0.001071,0.001033,-3.525,0.001089,0.001046
DLC6.4-b-s4,0.5,0.47,-0.03,2.8,2.9,0.001053,0.001017,-3.434,0.000174,0.000166
DLC1.2-k-s6,0.59,0.58,-0.01,61.9,67.6,0.001017,0.001001,-1.616,0.001051,0.001032
DLC6.4-b-s2,0.37,0.35,-0.02,0.0,0.0,0.000822,0.000810,-1.467,0.000122,0.000120
DLC6.4-b-s1,0.36,0.34,-0.02,0.0,0.0,0.000753,0.000742,-1.423,0.000111,0.000109
DLC1.2-k-s2,0.65,0.63,-0.02,64.6,70.6,0.000727,0.000700,-3.686,0.000755,0.000724
DLC6.4-b-s3,0.28,0.26,-0.02,0.0,0.0,0.000692,0.000684,-1.224,0.000099,0.000098
DLC6.4-b-s6,0.3,0.28,-0.02,0.0,0.0,0.000674,0.000666,-1.137,0.000096,0.000094
DLC4.1-b-y1,0.19,0.2,0.01,11.8,12.2,0.000673,0.000675,+0.289,0.000090,0.000090
DLC4.1-c-y3,0.55,0.53,-0.02,32.3,32.7,0.000673,0.000656,-2.598,0.000133,0.000129
DLC4.1-b-y2,0.17,0.18,0.01,11.7,12.1,0.000580,0.000581,+0.169,0.000070,0.000070
DLC4.1-b-y3,0.16,0.16,0.0,11.9,12.2,0.000564,0.000564,+0.016,0.000066,0.000066
DLC4.1-c-y1,0.21,0.21,0.0,8.0,10.1,0.000551,0.000551,-0.067,0.000086,0.000086
DLC4.1-c-y2,0.31,0.3,-0.01,22.1,23.5,0.000403,0.000400,-0.752,0.000060,0.000059
DLC2.4.1-b-s5,0.66,0.68,0.02,5.2,6.7,0.000104,0.000108,+3.833,0.000027,0.000028
DLC2.4.2-a-s1,0.31,0.29,-0.02,55.3,55.3,0.000094,0.000092,-1.929,0.000023,0.000023
DLC2.4.1-a-s3,0.43,0.41,-0.02,22.0,23.6,0.000086,0.000084,-2.619,0.000018,0.000017
DLC2.4.1-a-s4,0.51,0.5,-0.01,18.6,20.0,0.000084,0.000083,-1.247,0.000016,0.000016
