gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,6,28.808,4.303,18.208,100,0,90,11,0,0.0
2,9,30.8218,4.233,17.6104,200,0,176,25,0,0.0
3,12,31.5829,4.233,17.3109,300,0,270,31,0,0.1
4,18,32.2119,4.201,17.3109,400,0,365,36,0,0.1
5,19,32.4614,4.201,17.3109,500,0,453,48,0,0.1
