rank_mass,D_pw_mm,alpha,D_we_mm,L_we_mm,z1,z2,Z,a_mm,T_mm,c_mm,L_eff_m,A_m,B_m,Y1,e_lim,C_kN,Cu_kN,e_C
C1,4500.0,19.0,140.0,325.0,1.0,6.0,92,973.168,423.235,761.551,6.523101,-0.238449,6.761551,1.161684,0.516491,37542.9,6579.3,
C2,4500.0,15.0,170.0,325.0,1.0,6.0,76,801.418,423.235,589.801,6.179601,-0.410199,6.589801,1.49282,0.401924,42692.6,6693.0,
C3,4500.0,23.0,140.0,325.0,1.0,6.0,92,1153.669,423.235,942.052,6.884104,-0.057948,6.942052,0.942341,0.636712,36553.5,6410.3,
D1,4200.0,19.0,170.0,400.0,1.5,6.0,71,972.341,520.904,711.889,5.923778,-0.788111,6.711889,1.161684,0.516491,47374.8,7676.3,
D2,4500.0,15.0,170.0,400.0,1.5,5.5,76,851.828,520.904,591.376,5.182752,-0.908624,6.091376,1.49282,0.401924,50175.3,8237.5,
D3,4200.0,19.0,200.0,400.0,1.5,6.0,60,972.769,520.904,712.317,5.924634,-0.787683,6.712317,1.161684,0.516491,51462.8,7578.2,
