rank_mass,set,rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,sigma_max_MPa
C1,C,1,1.0,6.0,4500.0,19.0,140.0,325.0,2.3214,92,4134.0,4857.0,423.2345,409.58125000000007,345.41325,6.5231,13760.4,147000.9,174521.8,2086.4
C2,C,2,1.0,6.0,4500.0,15.0,170.0,325.0,1.9118,76,4123.0,4867.0,423.2345,409.58125000000007,345.41325,6.1796,13793.4,146219.7,173806.4,2097.9
C3,C,3,1.0,6.0,4500.0,23.0,140.0,325.0,2.3214,92,4116.0,4875.0,423.2345,409.58125000000007,345.41325,6.8841,14527.5,145723.6,174778.5,2074.7
D1,D,1,1.5,6.0,4200.0,19.0,170.0,400.0,2.3529,71,3751.0,4637.0,520.904,504.1000000000001,425.1240000000001,5.92378,19380.5,121024.5,159785.6,2086.3
D2,D,2,1.5,5.5,4500.0,15.0,170.0,400.0,2.3529,76,4074.0,4914.0,520.904,504.1000000000001,425.1240000000001,5.18275,19533.2,131782.9,170849.3,2072.1
D3,D,3,1.5,6.0,4200.0,19.0,200.0,400.0,2.0,60,3723.0,4666.0,520.904,504.1000000000001,425.1240000000001,5.92463,20257.3,119224.4,159739.1,2086.2
