model,DLC,brg,nbin,k,ScaleFactor,rev_total,rpm_tw,dur_total,nbin_all,kappa_w,kappa_m,lambda_in_w,lambda_in_m,lambda_out_w,lambda_out_m,hmin_in_um_w,hmin_in_um_m,hmin_out_um_w,hmin_out_um_m,nu_mm2s_w,nu_mm2s_m,nu1_mm2s_w,nu1_mm2s_m,a_iso_w,a_iso_m,cap_pct,lam_min,lam_max,regime_w,D30_UW,D30_DW,dmg_pct
기준선,DLC1.2-b-s3,UW,30,0.21,45700.0,1691755.961,3.7013,27424587.4,30,1.12345,1.11929,1.91334,1.90657,1.96567,1.95872,0.57783,0.57578,0.59363,0.59153,294.63725,294.63725,263.069,264.00232,0.84309,0.83965,0.0,1.7943,2.14,혼합 (1≤λ<3),0.196574,0.012278,2.839
기준선,DLC1.2-b-s4,DW,30,0.22,45700.0,1682840.348,3.6818,27424568.8,30,1.11706,1.11455,2.09611,2.09206,2.15345,2.14928,0.63303,0.6318,0.65034,0.64908,294.63725,294.63725,264.25604,264.83486,1.51686,1.51163,0.0,1.9556,2.3521,혼합 (1≤λ<3),0.197089,0.012193,2.846
기준선,DLC1.2-b-s4,UW,30,0.22,45700.0,1682840.348,3.6818,27424568.8,30,1.11706,1.11455,1.90306,1.89892,1.95512,1.95087,0.57472,0.57347,0.59045,0.58916,294.63725,294.63725,264.25604,264.83486,0.83862,0.83636,0.0,1.804,2.0777,혼합 (1≤λ<3),0.197089,0.012193,2.846
기준선,DLC1.2-b-s5,DW,30,0.21,45700.0,1688108.187,3.6933,27424576.1,30,1.12201,1.11727,2.10357,2.09762,2.16111,2.155,0.63528,0.63348,0.65266,0.65081,294.63725,294.63725,263.52962,264.57989,1.54598,1.54631,0.0,1.9766,2.3373,혼합 (1≤λ<3),0.209292,0.014743,3.022
기준선,DLC1.2-b-s5,UW,30,0.21,45700.0,1688108.187,3.6933,27424576.1,30,1.12201,1.11727,1.90974,1.90257,1.96198,1.95461,0.57674,0.57458,0.59252,0.59029,294.63725,294.63725,263.52962,264.57989,0.84093,0.83854,0.0,1.798,2.1548,혼합 (1≤λ<3),0.209292,0.014743,3.022
기준선,DLC1.2-b-s6,DW,30,0.21,45700.0,1700637.756,3.7207,27424551.5,30,1.12751,1.12426,2.11227,2.10684,2.17005,2.16447,0.6379,0.63627,0.65535,0.65367,294.63725,294.63725,261.94444,262.68347,1.52764,1.52012,0.0,1.9483,2.3408,혼합 (1≤λ<3),0.196588,0.011975,2.839
기준선,DLC1.2-b-s6,UW,30,0.21,45700.0,1700637.756,3.7207,27424551.5,30,1.12751,1.12426,1.91921,1.9137,1.97171,1.96604,0.5796,0.57794,0.59545,0.59374,294.63725,294.63725,261.94444,262.68347,0.84576,0.84246,0.0,1.7874,2.1153,혼합 (1≤λ<3),0.196588,0.011975,2.839
기준선,DLC1.2-c-s1,DW,30,0.23,45040.0,2143413.5144,4.7581,27028495.9,30,1.38844,1.37833,2.44411,2.43379,2.51096,2.50036,0.73812,0.735,0.75831,0.75511,294.63725,294.63725,213.49683,215.05603,1.58811,1.60074,0.0,2.2069,2.6578,혼합 (1≤λ<3),0.180655,0.028618,2.609
기준선,DLC1.2-c-s1,UW,30,0.23,45040.0,2143413.5144,4.7581,27028495.9,30,1.38844,1.37833,2.32326,2.30976,2.38681,2.37295,0.70163,0.69755,0.72082,0.71663,294.63725,294.63725,213.49683,215.05603,0.99722,0.99713,0.0,2.0354,2.5885,혼합 (1≤λ<3),0.180655,0.028618,2.609
기준선,DLC1.2-c-s2,DW,30,0.26,45040.0,2138049.2504,4.7462,27028498.8,30,1.3876,1.37529,2.44894,2.43362,2.51593,2.50019,0.73958,0.73495,0.75981,0.75506,294.63725,294.63725,213.90755,215.89523,1.62572,1.62625,0.0,2.0876,2.7074,혼합 (1≤λ<3),0.183884,0.027784,2.655
기준선,DLC1.2-c-s2,UW,30,0.26,45040.0,2138049.2504,4.7462,27028498.8,30,1.3876,1.37529,2.32618,2.30833,2.38981,2.37148,0.70251,0.69712,0.72172,0.71619,294.63725,294.63725,213.90755,215.89523,1.01041,1.00625,0.0,1.9207,2.621,혼합 (1≤λ<3),0.183884,0.027784,2.655
기준선,DLC1.2-c-s3,DW,30,0.24,45040.0,2149598.8576,4.7718,27028504.7,30,1.39487,1.38131,2.46541,2.44594,2.53285,2.51285,0.74455,0.73868,0.76492,0.75888,294.63725,294.63725,212.93777,215.10642,1.64979,1.63441,0.0,2.1783,2.7894,혼합 (1≤λ<3),0.170067,0.02245,2.456
기준선,DLC1.2-c-s3,UW,30,0.24,45040.0,2149598.8576,4.7718,27028504.7,30,1.39487,1.38131,2.33958,2.31741,2.40358,2.3808,0.70655,0.69986,0.72588,0.719,294.63725,294.63725,212.93777,215.10642,1.0155,1.00474,0.0,1.9926,2.6033,혼합 (1≤λ<3),0.170067,0.02245,2.456
