model,case,idx,bin,rpm,rev,brg,kappa,lambda_in,lambda_out,hmin_in_um,hmin_out_um,nu_mm2s,nu1_mm2s,a_iso,a_iso_capped
A1,C1,0,0,5.88646,0.00981077,UW,1.780682,4.144128,4.342388,1.251527,1.311401,294.637248,165.463127,2.490033,0
A1,C1,1,0,5.90042,0.00983403,UW,1.784187,4.151005,4.349594,1.253604,1.313578,294.637248,165.138137,2.494006,0
A1,C1,2,0,5.91064,0.00985107,UW,1.786751,4.156037,4.354867,1.255123,1.31517,294.637248,164.901106,2.496913,0
A1,C1,3,0,5.90599,0.00984332,UW,1.785584,4.153748,4.352468,1.254432,1.314445,294.637248,165.00886,2.495591,0
A1,C1,4,0,5.87357,0.00978928,UW,1.777445,4.137774,4.33573,1.249608,1.30939,294.637248,165.764461,2.486362,0
A1,C1,5,0,5.82921,0.00971535,UW,1.766296,4.115874,4.312782,1.242994,1.30246,294.637248,166.810797,2.473708,0
A1,C1,6,0,5.81019,0.00968365,UW,1.761511,4.106468,4.302927,1.240153,1.299484,294.637248,167.263905,2.468273,0
A1,C1,7,0,5.82221,0.00970368,UW,1.764535,4.112413,4.309156,1.241949,1.301365,294.637248,166.977241,2.471708,0
A1,C1,8,0,5.85034,0.00975057,UW,1.771609,4.126312,4.323719,1.246146,1.305763,294.637248,166.310585,2.479739,0
A1,C1,9,0,5.88391,0.00980652,UW,1.780042,4.142871,4.341071,1.251147,1.311004,294.637248,165.522643,2.489307,0
A1,C1,10,0,5.89136,0.00981893,UW,1.781912,4.146543,4.344918,1.252256,1.312165,294.637248,165.348894,2.491428,0
A1,C1,11,0,5.8929,0.0098215,UW,1.782299,4.147301,4.345713,1.252485,1.312405,294.637248,165.313028,2.491866,0
A1,C1,12,0,5.91476,0.00985793,UW,1.787785,4.158065,4.356991,1.255736,1.315811,294.637248,164.805763,2.498085,0
A1,C1,13,0,5.94913,0.00991522,UW,1.796403,4.174963,4.374699,1.260839,1.321159,294.637248,164.015102,2.507847,0
A1,C1,14,0,5.98414,0.00997357,UW,1.805173,4.192147,4.392704,1.266028,1.326597,294.637248,163.218267,2.517772,0
A1,C1,15,0,6.00437,0.01000728,UW,1.810237,4.202062,4.403094,1.269023,1.329734,294.637248,162.761705,2.523499,0
A1,C1,16,0,5.99663,0.00999438,UW,1.8083,4.19827,4.39912,1.267877,1.328534,294.637248,162.936052,2.521309,0
A1,C1,17,0,5.98647,0.00997745,UW,1.805757,4.193289,4.393901,1.266373,1.326958,294.637248,163.165538,2.518432,0
A1,C1,18,0,5.98126,0.00996877,UW,1.804452,4.190734,4.391224,1.265602,1.32615,294.637248,163.283494,2.516957,0
A1,C1,19,0,5.97803,0.00996338,UW,1.803643,4.18915,4.389564,1.265123,1.325648,294.637248,163.356716,2.516041,0
A1,C1,0,0,5.88646,0.00981077,DW,1.780682,4.26987,4.474146,1.289501,1.351192,294.637248,165.463127,4.227015,0
A1,C1,1,0,5.90042,0.00983403,DW,1.784187,4.276956,4.481571,1.291641,1.353434,294.637248,165.138137,4.235105,0
A1,C1,2,0,5.91064,0.00985107,DW,1.786751,4.28214,4.487003,1.293206,1.355075,294.637248,164.901106,4.241026,0
A1,C1,3,0,5.90599,0.00984332,DW,1.785584,4.279782,4.484532,1.292494,1.354329,294.637248,165.00886,4.238332,0
A1,C1,4,0,5.87357,0.00978928,DW,1.777445,4.263323,4.467285,1.287524,1.34912,294.637248,165.764461,4.219542,0
A1,C1,5,0,5.82921,0.00971535,DW,1.766296,4.240758,4.443641,1.280709,1.34198,294.637248,166.810797,4.193803,0
A1,C1,6,0,5.81019,0.00968365,DW,1.761511,4.231067,4.433487,1.277782,1.338913,294.637248,167.263905,4.182756,0
A1,C1,7,0,5.82221,0.00970368,DW,1.764535,4.237193,4.439905,1.279632,1.340851,294.637248,166.977241,4.189738,0
A1,C1,8,0,5.85034,0.00975057,DW,1.771609,4.251513,4.45491,1.283957,1.345383,294.637248,166.310585,4.206067,0
A1,C1,9,0,5.88391,0.00980652,DW,1.780042,4.268575,4.472789,1.28911,1.350782,294.637248,165.522643,4.225537,0
A1,C1,10,0,5.89136,0.00981893,DW,1.781912,4.272358,4.476753,1.290252,1.351979,294.637248,165.348894,4.229855,0
A1,C1,11,0,5.8929,0.0098215,DW,1.782299,4.273139,4.477572,1.290488,1.352227,294.637248,165.313028,4.230747,0
A1,C1,12,0,5.91476,0.00985793,DW,1.787785,4.284229,4.489192,1.293837,1.355736,294.637248,164.805763,4.243412,0
A1,C1,13,0,5.94913,0.00991522,DW,1.796403,4.301641,4.507436,1.299096,1.361246,294.637248,164.015102,4.26331,0
A1,C1,14,0,5.98414,0.00997357,DW,1.805173,4.319345,4.525988,1.304442,1.366848,294.637248,163.218267,4.283557,0
A1,C1,15,0,6.00437,0.01000728,DW,1.810237,4.329562,4.536693,1.307528,1.370081,294.637248,162.761705,4.295248,0
A1,C1,16,0,5.99663,0.00999438,DW,1.8083,4.325654,4.532599,1.306348,1.368845,294.637248,162.936052,4.290776,0
A1,C1,17,0,5.98647,0.00997745,DW,1.805757,4.320523,4.527222,1.304798,1.367221,294.637248,163.165538,4.284904,0
A1,C1,18,0,5.98126,0.00996877,DW,1.804452,4.31789,4.524463,1.304003,1.366388,294.637248,163.283494,4.281893,0
A1,C1,19,0,5.97803,0.00996338,DW,1.803643,4.316258,4.522753,1.30351,1.365871,294.637248,163.356716,4.280025,0
A1,C1,20,0,5.96579,0.00994298,UW,1.800578,4.183144,4.383271,1.263309,1.323748,294.637248,163.63485,2.512572,0
A1,C1,21,0,5.93729,0.00989548,UW,1.793435,4.169145,4.368602,1.259082,1.319318,294.637248,164.286529,2.504486,0
A1,C1,22,0,5.90582,0.00984303,UW,1.785542,4.153664,4.352381,1.254407,1.314419,294.637248,165.012802,2.495542,0
A1,C1,23,0,5.8937,0.00982283,UW,1.7825,4.147695,4.346126,1.252604,1.31253,294.637248,165.294403,2.492094,0
A1,C1,24,0,5.90858,0.00984763,UW,1.786234,4.155023,4.353804,1.254817,1.314849,294.637248,164.948823,2.496327,0
A1,C1,25,0,5.93629,0.00989382,UW,1.793185,4.168654,4.368087,1.258933,1.319162,294.637248,164.309498,2.504202,0
A1,C1,26,0,5.95844,0.00993073,UW,1.798736,4.179536,4.37949,1.26222,1.322606,294.637248,163.802368,2.510488,0
A1,C1,27,0,5.96989,0.00994982,UW,1.801605,4.185156,4.385379,1.263917,1.324385,294.637248,163.541568,2.513735,0
A1,C1,28,0,5.98443,0.00997405,UW,1.805246,4.192289,4.392853,1.266071,1.326642,294.637248,163.211702,2.517855,0
A1,C1,29,0,6.00473,0.01000788,UW,1.810327,4.202238,4.403279,1.269076,1.32979,294.637248,162.753605,2.523601,0
A1,C1,30,0,6.02901,0.01004835,UW,1.816401,4.214125,4.415734,1.272666,1.333552,294.637248,162.209403,2.530467,0
A1,C1,31,0,6.04534,0.01007557,UW,1.820483,4.222112,4.424103,1.275078,1.336079,294.637248,161.84564,2.535079,0
A1,C1,32,0,6.04723,0.01007872,UW,1.820955,4.223036,4.425071,1.275357,1.336372,294.637248,161.803654,2.535613,0
A1,C1,33,0,6.04272,0.0100712,UW,1.819828,4.220831,4.422761,1.274691,1.335674,294.637248,161.903881,2.53434,0
A1,C1,34,0,6.03766,0.01006277,UW,1.818563,4.218357,4.420168,1.273944,1.334891,294.637248,162.016493,2.53291,0
A1,C1,35,0,6.04433,0.01007388,UW,1.820231,4.221618,4.423586,1.274929,1.335923,294.637248,161.868086,2.534794,0
A1,C1,36,0,6.04825,0.01008042,UW,1.82121,4.223535,4.425594,1.275507,1.336529,294.637248,161.781006,2.535901,0
A1,C1,37,0,6.0304,0.01005067,UW,1.816748,4.214805,4.416447,1.272871,1.333767,294.637248,162.17837,2.530859,0
A1,C1,38,0,5.99904,0.0099984,UW,1.808903,4.199451,4.400357,1.268234,1.328908,294.637248,162.881722,2.521991,0
A1,C1,39,0,5.96028,0.0099338,UW,1.799197,4.180439,4.380436,1.262493,1.322892,294.637248,163.760396,2.51101,0
A1,C1,20,0,5.96579,0.00994298,DW,1.800578,4.31007,4.516269,1.301641,1.363913,294.637248,163.63485,4.272947,0
A1,C1,21,0,5.93729,0.00989548,DW,1.793435,4.295646,4.501155,1.297285,1.359349,294.637248,164.286529,4.256457,0
A1,C1,22,0,5.90582,0.00984303,DW,1.785542,4.279695,4.484441,1.292468,1.354301,294.637248,165.012802,4.238234,0
A1,C1,23,0,5.8937,0.00982283,DW,1.7825,4.273546,4.477997,1.290611,1.352355,294.637248,165.294403,4.231211,0
A1,C1,24,0,5.90858,0.00984763,DW,1.786234,4.281095,4.485908,1.292891,1.354744,294.637248,164.948823,4.239833,0
A1,C1,25,0,5.93629,0.00989382,DW,1.793185,4.29514,4.500624,1.297132,1.359189,294.637248,164.309498,4.255879,0
A1,C1,26,0,5.95844,0.00993073,DW,1.798736,4.306352,4.512373,1.300518,1.362737,294.637248,163.802368,4.268696,0
A1,C1,27,0,5.96989,0.00994982,DW,1.801605,4.312143,4.518441,1.302267,1.364569,294.637248,163.541568,4.275318,0
A1,C1,28,0,5.98443,0.00997405,DW,1.805246,4.319492,4.526142,1.304487,1.366895,294.637248,163.211702,4.283725,0
A1,C1,29,0,6.00473,0.01000788,DW,1.810327,4.329743,4.536884,1.307583,1.370139,294.637248,162.753605,4.295456,0
A1,C1,30,0,6.02901,0.01004835,DW,1.816401,4.341991,4.549717,1.311281,1.374015,294.637248,162.209403,4.309479,0
A1,C1,31,0,6.04534,0.01007557,DW,1.820483,4.35022,4.55834,1.313766,1.376619,294.637248,161.84564,4.318905,0
A1,C1,32,0,6.04723,0.01007872,DW,1.820955,4.351172,4.559337,1.314054,1.37692,294.637248,161.803654,4.319995,0
A1,C1,33,0,6.04272,0.0100712,DW,1.819828,4.3489,4.556957,1.313368,1.376201,294.637248,161.903881,4.317393,0
A1,C1,34,0,6.03766,0.01006277,DW,1.818563,4.346351,4.554285,1.312598,1.375394,294.637248,162.016493,4.314472,0
A1,C1,35,0,6.04433,0.01007388,DW,1.820231,4.349711,4.557807,1.313613,1.376458,294.637248,161.868086,4.318322,0
A1,C1,36,0,6.04825,0.01008042,DW,1.82121,4.351686,4.559876,1.314209,1.377082,294.637248,161.781006,4.320584,0
A1,C1,37,0,6.0304,0.01005067,DW,1.816748,4.342692,4.550451,1.311493,1.374236,294.637248,162.17837,4.310281,0
A1,C1,38,0,5.99904,0.0099984,DW,1.808903,4.326871,4.533874,1.306715,1.36923,294.637248,162.881722,4.292169,0
A1,C1,39,0,5.96028,0.0099338,DW,1.799197,4.307283,4.513348,1.300799,1.363031,294.637248,163.760396,4.26976,0
A1,C1,40,0,5.94397,0.00990662,UW,1.79511,4.172428,4.372042,1.260073,1.320357,294.637248,164.133271,2.506382,0
A1,C1,41,0,5.9531,0.00992183,UW,1.797398,4.176913,4.376742,1.261428,1.321776,294.637248,163.924313,2.508973,0
A1,C1,42,0,5.97447,0.00995745,UW,1.802752,4.187404,4.387734,1.264596,1.325096,294.637248,163.437504,2.515033,0
A1,C1,43,0,6.00308,0.01000513,UW,1.809914,4.20143,4.402432,1.268832,1.329534,294.637248,162.790734,2.523134,0
A1,C1,44,0,6.0178,0.01002967,UW,1.813597,4.208639,4.409985,1.271009,1.331816,294.637248,162.46016,2.527298,0
A1,C1,45,0,6.02802,0.0100467,UW,1.816153,4.213641,4.415227,1.27252,1.333398,294.637248,162.231514,2.530187,0
A1,C1,46,0,6.04568,0.01007613,UW,1.820568,4.222278,4.424277,1.275128,1.336132,294.637248,161.838085,2.535175,0
A1,C1,47,0,6.06647,0.01011078,UW,1.825763,4.232437,4.434922,1.278196,1.339346,294.637248,161.377612,2.541042,0
A1,C1,48,0,6.0872,0.01014533,UW,1.83094,4.242556,4.445525,1.281252,1.342548,294.637248,160.921335,2.546885,0
A1,C1,49,0,6.09909,0.01016515,UW,1.833907,4.248355,4.451601,1.283003,1.344384,294.637248,160.660911,2.550234,0
A1,C1,50,0,6.09266,0.01015443,UW,1.832303,4.245219,4.448315,1.282056,1.343391,294.637248,160.80163,2.548423,0
A1,C1,51,0,6.08171,0.01013618,UW,1.829569,4.239877,4.442718,1.280443,1.341701,294.637248,161.041895,2.545338,0
A1,C1,52,0,6.07277,0.01012128,UW,1.827336,4.235513,4.438145,1.279125,1.34032,294.637248,161.238645,2.542818,0
A1,C1,53,0,6.06457,0.01010762,UW,1.825288,4.231509,4.433949,1.277916,1.339053,294.637248,161.419575,2.540506,0
A1,C1,54,0,6.05235,0.01008725,UW,1.822235,4.225539,4.427693,1.276113,1.337163,294.637248,161.690037,2.537058,0
A1,C1,55,0,6.03247,0.01005412,UW,1.817266,4.215818,4.417508,1.273177,1.334087,294.637248,162.132179,2.531444,0
A1,C1,56,0,6.00391,0.01000652,UW,1.810122,4.201837,4.402858,1.268955,1.329663,294.637248,162.772055,2.523369,0
A1,C1,57,0,5.98523,0.00997538,UW,1.805446,4.192681,4.393264,1.26619,1.326766,294.637248,163.193595,2.518081,0
A1,C1,58,0,5.98299,0.00997165,UW,1.804885,4.191583,4.392113,1.265858,1.326418,294.637248,163.244305,2.517447,0
A1,C1,59,0,5.99341,0.00998902,UW,1.807494,4.196691,4.397466,1.267401,1.328035,294.637248,163.008706,2.520397,0
A1,C1,40,0,5.94397,0.00990662,DW,1.79511,4.299029,4.504699,1.298307,1.360419,294.637248,164.133271,4.260324,0
A1,C1,41,0,5.9531,0.00992183,DW,1.797398,4.30365,4.509542,1.299702,1.361882,294.637248,163.924313,4.265607,0
A1,C1,42,0,5.97447,0.00995745,DW,1.802752,4.314458,4.520867,1.302966,1.365302,294.637248,163.437504,4.277967,0
A1,C1,43,0,6.00308,0.01000513,DW,1.809914,4.328911,4.536011,1.307331,1.369875,294.637248,162.790734,4.294503,0
A1,C1,44,0,6.0178,0.01002967,DW,1.813597,4.336338,4.543794,1.309574,1.372226,294.637248,162.46016,4.303006,0
A1,C1,45,0,6.02802,0.0100467,DW,1.816153,4.341492,4.549194,1.311131,1.373857,294.637248,162.231514,4.308907,0
A1,C1,46,0,6.04568,0.01007613,DW,1.820568,4.350391,4.558519,1.313818,1.376673,294.637248,161.838085,4.319101,0
A1,C1,47,0,6.06647,0.01011078,DW,1.825763,4.360858,4.569487,1.316979,1.379985,294.637248,161.377612,4.331095,0
A1,C1,48,0,6.0872,0.01014533,DW,1.83094,4.371284,4.580411,1.320128,1.383284,294.637248,160.921335,4.343047,0
A1,C1,49,0,6.09909,0.01016515,DW,1.833907,4.377259,4.586672,1.321932,1.385175,294.637248,160.660911,4.3499,0
A1,C1,50,0,6.09266,0.01015443,DW,1.832303,4.374028,4.583287,1.320957,1.384153,294.637248,160.80163,4.346194,0
A1,C1,51,0,6.08171,0.01013618,DW,1.829569,4.368524,4.577519,1.319294,1.382411,294.637248,161.041895,4.339883,0
A1,C1,52,0,6.07277,0.01012128,DW,1.827336,4.364028,4.572808,1.317936,1.380988,294.637248,161.238645,4.334728,0
A1,C1,53,0,6.06457,0.01010762,DW,1.825288,4.359902,4.568485,1.31669,1.379682,294.637248,161.419575,4.329999,0
A1,C1,54,0,6.05235,0.01008725,DW,1.822235,4.353751,4.562039,1.314833,1.377736,294.637248,161.690037,4.32295,0
A1,C1,55,0,6.03247,0.01005412,DW,1.817266,4.343735,4.551545,1.311808,1.374567,294.637248,162.132179,4.311476,0
A1,C1,56,0,6.00391,0.01000652,DW,1.810122,4.329329,4.53645,1.307458,1.370008,294.637248,162.772055,4.294983,0
A1,C1,57,0,5.98523,0.00997538,DW,1.805446,4.319896,4.526565,1.304609,1.367023,294.637248,163.193595,4.284187,0
A1,C1,58,0,5.98299,0.00997165,DW,1.804885,4.318764,4.525379,1.304267,1.366665,294.637248,163.244305,4.282893,0
A1,C1,59,0,5.99341,0.00998902,DW,1.807494,4.324028,4.530895,1.305856,1.36833,294.637248,163.008706,4.288915,0
A1,C1,60,0,6.01828,0.01003047,UW,1.813717,4.208874,4.410232,1.27108,1.33189,294.637248,162.449406,2.527434,0
A1,C1,61,0,6.0352,0.01005867,UW,1.817948,4.217154,4.418907,1.27358,1.33451,294.637248,162.071304,2.532216,0
A1,C1,62,0,6.03906,0.0100651,UW,1.818913,4.219041,4.420885,1.274151,1.335107,294.637248,161.985319,2.533306,0
A1,C1,63,0,6.04619,0.01007698,UW,1.820696,4.222528,4.424538,1.275203,1.336211,294.637248,161.826754,2.535319,0
A1,C1,64,0,6.06498,0.0101083,UW,1.825391,4.231709,4.434159,1.277976,1.339116,294.637248,161.410518,2.540622,0
A1,C1,65,0,6.09045,0.01015075,UW,1.831751,4.244141,4.447186,1.281731,1.34305,294.637248,160.850058,2.547801,0
A1,C1,66,0,6.1186,0.01019767,UW,1.838775,4.257863,4.461564,1.285875,1.347392,294.637248,160.235595,2.555724,0
A1,C1,67,0,6.12701,0.01021168,UW,1.840873,4.261959,4.465856,1.287112,1.348689,294.637248,160.053023,2.558089,0
A1,C1,68,0,6.11527,0.01019212,UW,1.837945,4.256241,4.459865,1.285385,1.346879,294.637248,160.308013,2.554788,0
A1,C1,69,0,6.10754,0.01017923,UW,1.836016,4.252474,4.455918,1.284247,1.345687,294.637248,160.476397,2.552612,0
A1,C1,70,0,6.09883,0.01016472,UW,1.833843,4.248228,4.451468,1.282965,1.344343,294.637248,160.666596,2.550161,0
A1,C1,71,0,6.0879,0.0101465,UW,1.831114,4.242897,4.445882,1.281355,1.342657,294.637248,160.905977,2.547082,0
A1,C1,72,0,6.07263,0.01012105,UW,1.827301,4.235445,4.438074,1.279104,1.340298,294.637248,161.24173,2.542779,0
A1,C1,73,0,6.04195,0.01006992,UW,1.819636,4.220455,4.422366,1.274577,1.335555,294.637248,161.921007,2.534122,0
A1,C1,74,0,6.00844,0.01001407,UW,1.811255,4.204056,4.405183,1.269625,1.330365,294.637248,162.670191,2.524651,0
A1,C1,75,0,5.99785,0.00999642,UW,1.808605,4.198867,4.399746,1.268058,1.328723,294.637248,162.908544,2.521654,0
A1,C1,76,0,6.01634,0.01002723,UW,1.813232,4.207924,4.409236,1.270793,1.331589,294.637248,162.492882,2.526885,0
A1,C1,77,0,6.04256,0.01007093,UW,1.819788,4.220753,4.422679,1.274667,1.335649,294.637248,161.907439,2.534294,0
A1,C1,78,0,6.06655,0.01011092,UW,1.825783,4.232476,4.434963,1.278208,1.339359,294.637248,161.375846,2.541064,0
A1,C1,79,0,6.07434,0.0101239,UW,1.827729,4.23628,4.438948,1.279356,1.340562,294.637248,161.204054,2.543261,0
A1,C1,60,0,6.01828,0.01003047,DW,1.813717,4.33658,4.544048,1.309647,1.372302,294.637248,162.449406,4.303283,0
A1,C1,61,0,6.0352,0.01005867,DW,1.817948,4.345111,4.552986,1.312224,1.375002,294.637248,162.071304,4.313052,0
A1,C1,62,0,6.03906,0.0100651,DW,1.818913,4.347056,4.555025,1.312811,1.375617,294.637248,161.985319,4.31528,0
A1,C1,63,0,6.04619,0.01007698,DW,1.820696,4.350648,4.558789,1.313896,1.376754,294.637248,161.826754,4.319395,0
A1,C1,64,0,6.06498,0.0101083,DW,1.825391,4.360108,4.568701,1.316753,1.379748,294.637248,161.410518,4.330235,0
A1,C1,65,0,6.09045,0.01015075,DW,1.831751,4.372918,4.582123,1.320621,1.383801,294.637248,160.850058,4.344921,0
A1,C1,66,0,6.1186,0.01019767,DW,1.838775,4.387056,4.596938,1.324891,1.388275,294.637248,160.235595,4.361139,0
A1,C1,67,0,6.12701,0.01021168,DW,1.840873,4.391276,4.60136,1.326165,1.389611,294.637248,160.053023,4.365982,0
A1,C1,68,0,6.11527,0.01019212,DW,1.837945,4.385384,4.595186,1.324386,1.387746,294.637248,160.308013,4.359221,0
A1,C1,69,0,6.10754,0.01017923,DW,1.836016,4.381503,4.59112,1.323214,1.386518,294.637248,160.476397,4.354768,0
A1,C1,70,0,6.09883,0.01016472,DW,1.833843,4.377128,4.586536,1.321893,1.385134,294.637248,160.666596,4.34975,0
A1,C1,71,0,6.0879,0.0101465,DW,1.831114,4.371636,4.58078,1.320234,1.383396,294.637248,160.905977,4.343451,0
A1,C1,72,0,6.07263,0.01012105,DW,1.827301,4.363957,4.572734,1.317915,1.380966,294.637248,161.24173,4.334647,0
A1,C1,73,0,6.04195,0.01006992,DW,1.819636,4.348512,4.55655,1.313251,1.376078,294.637248,161.921007,4.316948,0
A1,C1,74,0,6.00844,0.01001407,DW,1.811255,4.331616,4.538846,1.308148,1.370731,294.637248,162.670191,4.2976,0
A1,C1,75,0,5.99785,0.00999642,DW,1.808605,4.32627,4.533244,1.306534,1.36904,294.637248,162.908544,4.291481,0
A1,C1,76,0,6.01634,0.01002723,DW,1.813232,4.335602,4.543022,1.309352,1.371993,294.637248,162.492882,4.302163,0
A1,C1,77,0,6.04256,0.01007093,DW,1.819788,4.34882,4.556872,1.313344,1.376175,294.637248,161.907439,4.3173,0
A1,C1,78,0,6.06655,0.01011092,DW,1.825783,4.360898,4.569529,1.316991,1.379998,294.637248,161.375846,4.331141,0
A1,C1,79,0,6.07434,0.0101239,DW,1.827729,4.364817,4.573636,1.318175,1.381238,294.637248,161.204054,4.335633,0
A1,C1,80,0,6.07622,0.01012703,UW,1.828198,4.237197,4.43991,1.279634,1.340853,294.637248,161.162655,2.543791,0
A1,C1,81,0,6.09711,0.01016185,UW,1.833413,4.247389,4.45059,1.282712,1.344078,294.637248,160.704214,2.549676,0
A1,C1,82,0,6.12311,0.01020518,UW,1.8399,4.26006,4.463866,1.286538,1.348088,294.637248,160.137631,2.556993,0
A1,C1,83,0,6.14746,0.01024577,UW,1.845971,4.271911,4.476285,1.290117,1.351838,294.637248,159.610982,2.563836,0
A1,C1,84,0,6.16108,0.01026847,UW,1.849365,4.278535,4.483225,1.292117,1.353934,294.637248,159.318066,2.56766,0
A1,C1,85,0,6.16094,0.01026823,UW,1.84933,4.278466,4.483153,1.292097,1.353912,294.637248,159.321071,2.56762,0
A1,C1,86,0,6.15526,0.01025877,UW,1.847915,4.275705,4.48026,1.291263,1.353038,294.637248,159.443088,2.566026,0
A1,C1,87,0,6.14438,0.01024063,UW,1.845203,4.270413,4.474715,1.289665,1.351364,294.637248,159.677386,2.562971,0
A1,C1,88,0,6.12153,0.01020255,UW,1.839506,4.25929,4.46306,1.286306,1.347844,294.637248,160.171936,2.556548,0
A1,C1,89,0,6.0892,0.01014867,UW,1.831439,4.243531,4.446547,1.281546,1.342857,294.637248,160.877464,2.547449,0
A1,C1,90,0,6.0554,0.01009233,UW,1.822997,4.227029,4.429255,1.276563,1.337635,294.637248,161.622439,2.537919,0
A1,C1,91,0,6.03124,0.01005207,UW,1.816958,4.215216,4.416877,1.272995,1.333897,294.637248,162.159622,2.531097,0
A1,C1,92,0,6.02812,0.01004687,UW,1.816178,4.21369,4.415278,1.272534,1.333414,294.637248,162.229281,2.530215,0
A1,C1,93,0,6.03602,0.01006003,UW,1.818153,4.217555,4.419328,1.273701,1.334637,294.637248,162.053029,2.532447,0
A1,C1,94,0,6.04331,0.01007218,UW,1.819976,4.22112,4.423063,1.274778,1.335765,294.637248,161.890762,2.534506,0
A1,C1,95,0,6.04893,0.01008155,UW,1.82138,4.223867,4.425942,1.275608,1.336634,294.637248,161.76591,2.536093,0
A1,C1,96,0,6.05208,0.0100868,UW,1.822168,4.225407,4.427555,1.276073,1.337122,294.637248,161.696024,2.536982,0
A1,C1,97,0,6.0666,0.010111,UW,1.825795,4.2325,4.434988,1.278215,1.339366,294.637248,161.374742,2.541079,0
A1,C1,98,0,6.0961,0.01016017,UW,1.833161,4.246897,4.450073,1.282563,1.343922,294.637248,160.726313,2.549392,0
A1,C1,99,0,6.13165,0.01021942,UW,1.84203,4.264218,4.468223,1.287794,1.349403,294.637248,159.95249,2.559394,0
A1,C1,80,0,6.07622,0.01012703,DW,1.828198,4.365763,4.574626,1.31846,1.381537,294.637248,161.162655,4.336717,0
A1,C1,81,0,6.09711,0.01016185,DW,1.833413,4.376264,4.58563,1.321632,1.38486,294.637248,160.704214,4.348759,0
A1,C1,82,0,6.12311,0.01020518,DW,1.8399,4.389319,4.59931,1.325574,1.388991,294.637248,160.137631,4.363736,0
A1,C1,83,0,6.14746,0.01024577,DW,1.845971,4.401531,4.612105,1.329262,1.392856,294.637248,159.610982,4.377754,0
A1,C1,84,0,6.16108,0.01026847,DW,1.849365,4.408355,4.619256,1.331323,1.395015,294.637248,159.318066,4.38559,0
A1,C1,85,0,6.16094,0.01026823,DW,1.84933,4.408284,4.619182,1.331302,1.394993,294.637248,159.321071,4.38551,0
A1,C1,86,0,6.15526,0.01025877,DW,1.847915,4.405439,4.616201,1.330443,1.394093,294.637248,159.443088,4.382242,0
A1,C1,87,0,6.14438,0.01024063,DW,1.845203,4.399987,4.610487,1.328796,1.392367,294.637248,159.677386,4.375981,0
A1,C1,88,0,6.12153,0.01020255,DW,1.839506,4.388526,4.598479,1.325335,1.388741,294.637248,160.171936,4.362827,0
A1,C1,89,0,6.0892,0.01014867,DW,1.831439,4.372289,4.581465,1.320431,1.383602,294.637248,160.877464,4.3442,0
A1,C1,90,0,6.0554,0.01009233,DW,1.822997,4.355286,4.563648,1.315296,1.378222,294.637248,161.622439,4.324709,0
A1,C1,91,0,6.03124,0.01005207,DW,1.816958,4.343115,4.550895,1.311621,1.37437,294.637248,162.159622,4.310766,0
A1,C1,92,0,6.02812,0.01004687,DW,1.816178,4.341542,4.549247,1.311146,1.373873,294.637248,162.229281,4.308965,0
A1,C1,93,0,6.03602,0.01006003,DW,1.818153,4.345524,4.553419,1.312348,1.375133,294.637248,162.053029,4.313526,0
A1,C1,94,0,6.04331,0.01007218,DW,1.819976,4.349197,4.557268,1.313458,1.376295,294.637248,161.890762,4.317733,0
A1,C1,95,0,6.04893,0.01008155,DW,1.82138,4.352028,4.560235,1.314313,1.377191,294.637248,161.76591,4.320976,0
A1,C1,96,0,6.05208,0.0100868,DW,1.822168,4.353615,4.561897,1.314792,1.377693,294.637248,161.696024,4.322794,0
A1,C1,97,0,6.0666,0.010111,DW,1.825795,4.360924,4.569555,1.316999,1.380006,294.637248,161.374742,4.33117,0
A1,C1,98,0,6.0961,0.01016017,DW,1.833161,4.375757,4.585098,1.321479,1.3847,294.637248,160.726313,4.348177,0
A1,C1,99,0,6.13165,0.01021942,DW,1.84203,4.393604,4.603799,1.326868,1.390347,294.637248,159.95249,4.368654,0
A1,C1,100,0,6.15269,0.01025448,UW,1.847274,4.274455,4.47895,1.290885,1.352643,294.637248,159.498364,2.565304,0
A1,C1,101,0,6.15207,0.01025345,UW,1.84712,4.274154,4.478634,1.290794,1.352548,294.637248,159.511705,2.56513,0
A1,C1,102,0,6.14344,0.01023907,UW,1.844969,4.269956,4.474236,1.289527,1.351219,294.637248,159.697664,2.562707,0
A1,C1,103,0,6.14272,0.01023787,UW,1.84479,4.269606,4.473869,1.289421,1.351108,294.637248,159.713201,2.562504,0
A1,C1,104,0,6.14617,0.01024362,UW,1.84565,4.271284,4.475627,1.289928,1.351639,294.637248,159.638787,2.563473,0
A1,C1,105,0,6.13692,0.0102282,UW,1.843344,4.266783,4.470911,1.288569,1.350215,294.637248,159.838475,2.560875,0
A1,C1,106,0,6.10614,0.0101769,UW,1.835667,4.251792,4.455203,1.284041,1.345471,294.637248,160.506935,2.552218,0
A1,C1,107,0,6.06252,0.0101042,UW,1.824776,4.230508,4.4329,1.277613,1.338736,294.637248,161.464877,2.539928,0
A1,C1,108,0,6.0287,0.01004783,UW,1.816323,4.213974,4.415575,1.27262,1.333504,294.637248,162.216326,2.530379,0
A1,C1,109,0,6.0297,0.0100495,UW,1.816573,4.214463,4.416088,1.272768,1.333659,294.637248,162.193997,2.530662,0
