design,n_dlc,D30_UW,D30_DW,D30_Sys,life_UW_yr,life_DW_yr,life_Sys_yr,pass_UW,pass_Sys,t_s
A1,111,0.05171029081532784,0.002300591294916201,0.053093856252883764,580.1553139033492,13040.125843427026,565.0371270286205,1,1,180.4
A2,111,0.08957881770895063,0.006795799462428922,0.09394187280455256,334.9006022547943,4414.491652653556,319.3464118222918,1,1,241.0
A3,111,0.07116751127661547,0.00243099276694243,0.07258259650276264,421.5406645793097,12340.63729351707,413.322221103762,1,1,205.1
A4,111,0.05266433794332978,0.001833415954199639,0.05373407924394216,569.6454407588287,16362.898954425335,558.3049048594635,1,1,180.4
A5,111,0.044377255077747375,0.0024413243163706527,0.04588427591967104,676.0219835012567,12288.412399299294,653.8187516028493,1,1,182.3
A6,111,0.07491757970599526,0.0019965864467244962,0.07604462734160251,400.4400584980358,15025.645420570974,394.5051879238758,1,1,211.3
A7,111,0.0826304692640127,0.004592010865357804,0.08546862408824049,363.0622005079866,6533.085587039967,351.00600155943846,1,1,248.5
A8,111,0.05527062388688322,0.0015050860108180597,0.056122498893801394,542.7838133580319,19932.415678818314,534.5449791315945,1,1,187.0
A9,111,0.07805194177270121,0.003863551435761658,0.08040617074766318,384.359431919893,7764.876564684798,373.1056922751402,1,1,220.0
A10,111,0.06434011022861495,0.003627803402733517,0.06658631505157714,466.2721262584602,8269.466856278726,450.5430278993856,1,1,218.8
A11,111,0.05966766870568258,0.0030018696343040306,0.061500490670457306,502.78485234572076,9993.771767159156,487.8009861864558,1,1,193.8
A12,111,0.04447345588656566,0.0018617255249939368,0.045584719640522,674.5596761474582,16114.083197144597,658.1152683745335,1,1,187.8
B1,111,0.06545519016512438,0.0023504594443545593,0.06683187417922028,458.32881891136117,12763.46208485127,448.8876059281271,1,1,179.6
B2,111,0.06855639938671178,0.001920789262446392,0.06964740354370376,437.59591035078296,15618.579605026962,430.74111127739303,1,1,186.7
B3,111,0.05585472834491972,0.002374547903405092,0.057274795986955375,537.1076162924112,12633.983907833623,523.790604279632,1,1,186.4
B4,111,0.04907729781092024,0.003533258608903274,0.0513313097033263,611.2805989355973,8490.745603620568,584.4386237831758,1,1,175.9
B5,111,0.0986435144434326,0.004935474955622501,0.10165487948719705,304.12541736034336,6078.442352508334,295.1161828269971,1,1,219.1
B6,111,0.06413167776205694,0.0032642673669157755,0.06612756479243687,467.78754348680536,9190.423647296186,453.6686039197856,1,1,174.8
B7,111,0.07530378602022639,0.003833182167625333,0.07764754699826935,398.3863439740212,7826.395586773035,386.361207272506,1,1,193.2
B8,111,0.10588586070094896,0.005805936501105145,0.10946839661083436,283.32394713896997,5167.125061441781,274.0516982874199,1,1,250.9
B9,111,0.0754973059043642,0.0033328802717177827,0.07749976830012816,397.36517271228644,9001.223432649098,387.0979314908531,1,1,200.5
B10,111,0.08238190316953038,0.004591996012920174,0.08522109649733335,364.15764683493916,6533.106717773954,352.025510501836,1,1,217.5
B11,111,0.09804045524817408,0.0037014712092686103,0.10022189552149258,305.99613112831526,8104.885410125297,299.3357872937706,1,1,225.1
B12,111,0.05606452618904713,0.0025193423639095825,0.057581511720228594,535.0977175628188,11907.869462189808,521.0005625722551,1,1,177.4
