design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
b38,DLC1.2-h-s6,0.43,center,30,6126.0,2.8053,-37.435,1.165
b38,DLC1.2-i-s1,0.52,center,30,2997.0,2.7785,-41.6768,0.5008
b38,DLC1.2-i-s2,0.43,center,30,2997.0,2.8232,-25.1859,1.0901
b38,DLC1.2-i-s3,0.42,center,30,2997.0,2.2378,-26.3581,0.4929
b38,DLC1.2-i-s4,0.48,center,30,2997.0,2.6459,-37.9014,0.4306
b38,DLC1.2-i-s5,0.48,min_pos,30,2997.0,3.32,-30.3673,0.5961
b38,DLC1.2-i-s6,0.51,center,30,2997.0,2.7785,-28.0083,0.8934
b38,DLC1.2-j-s1,0.51,min_pos,30,1332.0,4.5703,-33.8968,1.2703
b38,DLC1.2-j-s2,0.56,center,30,1332.0,2.8249,-26.9476,0.5938
b38,DLC1.2-j-s3,0.54,min_pos,30,1332.0,3.282,-34.3576,0.5735
b38,DLC1.2-j-s4,0.52,min_pos,30,1332.0,3.6167,-34.1556,1.1279
b38,DLC1.2-j-s5,0.57,min_pos,30,1332.0,3.23,-19.3581,1.2217
b38,DLC1.2-j-s6,0.6,min_pos,30,1332.0,3.0713,-30.2543,1.2371
b38,DLC1.2-k-s1,0.64,center,30,538.2,2.8656,-10.7979,1.1934
b38,DLC1.2-k-s2,0.69,center,30,538.2,1.7958,-1.7585,1.4301
b38,DLC1.2-k-s3,0.66,center,30,538.2,1.8927,-6.3723,0.799
b38,DLC1.2-k-s4,0.63,center,30,538.2,2.1928,-5.9927,0.9402
b38,DLC1.2-k-s5,0.53,center,30,538.2,0.2329,4.0436,0.9812
b38,DLC1.2-k-s6,0.6,min_pos,30,538.2,3.3662,-12.6257,1.1667
b38,DLC2.4.1-a-s1,0.31,center,3,50.0,0.7349,4.6222,1.6249
b38,DLC2.4.1-a-s2,0.33,center,3,50.0,0.3991,3.5847,1.1171
b38,DLC2.4.1-a-s3,0.34,center,3,50.0,0.6123,2.4869,1.0375
b38,DLC2.4.1-a-s4,0.29,center,3,50.0,2.5137,-0.7563,1.7569
