design,DLC,k,eps_UW,eps_DW,eps_Sys
1,DLC1.2-a-s1,0.0,-5.4125,-14.1517,-5.7131
1,DLC1.2-a-s1,0.01,-5.0697,-13.6414,-5.3646
1,DLC1.2-a-s1,0.02,-4.7257,-13.1279,-5.0148
1,DLC1.2-a-s1,0.03,-4.3805,-12.6114,-4.6637
1,DLC1.2-a-s1,0.04,-4.034,-12.0917,-4.3113
1,DLC1.2-a-s1,0.05,-3.6862,-11.5689,-3.9576
1,DLC1.2-a-s1,0.06,-3.3373,-11.0429,-3.6025
1,DLC1.2-a-s1,0.07,-2.987,-10.5137,-3.2462
1,DLC1.2-a-s1,0.08,-2.6355,-9.9813,-2.8885
1,DLC1.2-a-s1,0.09,-2.2827,-9.4456,-2.5294
1,DLC1.2-a-s1,0.1,-1.9287,-8.9067,-2.1691
1,DLC1.2-a-s1,0.11,-1.5734,-8.3646,-1.8074
1,DLC1.2-a-s1,0.12,-1.2168,-7.8192,-1.4443
1,DLC1.2-a-s1,0.13,-0.859,-7.2705,-1.0799
1,DLC1.2-a-s1,0.14,-0.4998,-6.7184,-0.7141
1,DLC1.2-a-s1,0.15,-0.1394,-6.1631,-0.347
1,DLC1.2-a-s1,0.16,0.2223,-5.6044,0.0215
1,DLC1.2-a-s1,0.17,0.5854,-5.0423,0.3913
1,DLC1.2-a-s1,0.18,0.9497,-4.4769,0.7625
1,DLC1.2-a-s1,0.19,1.3153,-3.908,1.1351
1,DLC1.2-a-s1,0.2,1.6822,-3.3358,1.5091
1,DLC1.2-a-s1,0.21,2.0504,-2.7601,1.8845
1,DLC1.2-a-s1,0.22,2.42,-2.181,2.2612
1,DLC1.2-a-s1,0.23,2.7908,-1.5983,2.6394
1,DLC1.2-a-s1,0.24,3.163,-1.0123,3.0189
1,DLC1.2-a-s1,0.25,3.5365,-0.4227,3.3999
1,DLC1.2-a-s1,0.26,3.9114,0.1705,3.7822
1,DLC1.2-a-s1,0.27,4.2876,0.7671,4.166
1,DLC1.2-a-s1,0.28,4.6651,1.3674,4.5512
1,DLC1.2-a-s1,0.29,5.0439,1.9712,4.9378
1,DLC1.2-a-s1,0.3,5.4241,2.5785,5.3258
1,DLC1.2-a-s1,0.31,5.8057,3.1896,5.7153
1,DLC1.2-a-s1,0.32,6.1885,3.8042,6.1062
1,DLC1.2-a-s1,0.33,6.5728,4.4225,6.4985
1,DLC1.2-a-s1,0.34,6.9584,5.0444,6.8923
1,DLC1.2-a-s1,0.35,7.3454,5.6701,7.2875
1,DLC1.2-a-s1,0.36,7.7337,6.2994,7.6842
1,DLC1.2-a-s1,0.37,8.1235,6.9325,8.0823
1,DLC1.2-a-s1,0.38,8.5146,7.5693,8.4819
1,DLC1.2-a-s1,0.39,8.907,8.2099,8.8829
1,DLC1.2-a-s1,0.4,9.3009,8.8543,9.2855
1,DLC1.2-a-s1,0.41,9.6962,9.5024,9.6895
1,DLC1.2-a-s1,0.42,10.0928,10.1544,10.0949
1,DLC1.2-a-s1,0.43,10.4908,10.8102,10.5019
1,DLC1.2-a-s1,0.44,10.8903,11.4699,10.9103
1,DLC1.2-a-s1,0.45,11.2911,12.1334,11.3203
1,DLC1.2-a-s1,0.46,11.6934,12.8009,11.7317
1,DLC1.2-a-s1,0.47,12.0971,13.4722,12.1447
1,DLC1.2-a-s1,0.48,12.5021,14.1475,12.5591
1,DLC1.2-a-s1,0.49,12.9087,14.8268,12.9751
1,DLC1.2-a-s1,0.5,13.3166,15.51,13.3926
1,DLC1.2-a-s1,0.51,13.726,16.1972,13.8116
1,DLC1.2-a-s1,0.52,14.1367,16.8884,14.2321
1,DLC1.2-a-s1,0.53,14.549,17.5837,14.6541
1,DLC1.2-a-s1,0.54,14.9627,18.283,15.0777
1,DLC1.2-a-s1,0.55,15.3778,18.9864,15.5029
1,DLC1.2-a-s1,0.56,15.7944,19.6939,15.9295
1,DLC1.2-a-s1,0.57,16.2124,20.4055,16.3578
