design,DLC,k,ksel,nbin,ScaleFactor,eps_UW,eps_DW,eps_Sys
4,DLC4.1-a-y3,0.33,center,10,10000.0,1.624,0.8117,1.5148
4,DLC4.1-b-y1,0.0,center,10,500.0,2.5779,3.2927,2.6694
4,DLC4.1-b-y2,0.0,min_pos,10,500.0,3.6221,5.0637,3.8072
4,DLC4.1-b-y3,0.0,center,10,500.0,1.5258,1.6943,1.5478
4,DLC4.1-c-y1,0.1,center,10,500.0,2.098,-1.6478,1.5205
4,DLC4.1-c-y2,0.27,center,10,500.0,2.3966,-6.8108,0.892
4,DLC4.1-c-y3,0.53,min_pos,10,500.0,4.1323,-11.5858,0.9535
4,DLC6.4-a-s1,3.0,center,30,24340.0,0.208,0.3401,0.2286
4,DLC6.4-a-s2,3.0,center,30,24340.0,0.6235,0.7264,0.6395
4,DLC6.4-a-s3,3.0,center,30,24340.0,0.5302,0.7563,0.5654
4,DLC6.4-a-s4,3.0,center,30,24340.0,0.6357,0.829,0.6658
4,DLC6.4-a-s5,3.0,center,30,24340.0,0.2782,0.3909,0.2957
4,DLC6.4-a-s6,3.0,center,30,24340.0,0.5969,0.7497,0.6207
4,DLC6.4-b-s1,0.27,center,30,292.4,2.4747,-6.8304,0.9167
4,DLC6.4-b-s2,0.28,center,30,292.4,2.6503,-7.5182,0.9273
4,DLC6.4-b-s3,0.2,center,30,292.4,2.6511,-4.7881,1.4506
4,DLC6.4-b-s4,0.41,min_pos,30,292.4,3.0312,-11.3919,0.3041
4,DLC6.4-b-s5,0.53,min_pos,30,292.4,4.8074,-14.686,0.5359
4,DLC6.4-b-s6,0.22,center,30,292.4,2.5617,-5.1713,1.3224
5,DLC1.2-a-s1,0.19,center,30,37800.0,1.6678,-2.9534,1.5342
5,DLC1.2-a-s2,0.17,center,30,37800.0,1.578,-1.7586,1.4817
5,DLC1.2-a-s3,0.17,center,30,37800.0,1.6128,-1.6331,1.5156
5,DLC1.2-a-s4,0.17,center,30,37800.0,1.5631,-1.4284,1.4738
5,DLC1.2-a-s5,0.19,center,30,37800.0,1.7197,-1.4623,1.6156
5,DLC1.2-a-s6,0.18,center,30,37800.0,1.5522,-2.2101,1.4427
