=== (a) 베어링 손상 ===,,,,,,,,,,
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note,,
Main Bearing_UW,ISO281,basic,6.04E-06,45040,0.271953101,3.677104609,110.3131383,11점 표본(1 DLC),,
Main Bearing_UW,ISO281,modified,2.35E-05,45040,1.05635784,0.946648912,28.39946737,11점 표본(1 DLC),,
Main Bearing_UW,ISO16281,basic,4.15E-06,45040,0.18709917,5.344759155,160.3427746,11점 표본(1 DLC),,
Main Bearing_UW,ISO16281,modified,1.71E-05,45040,0.768766515,1.300785063,39.0235519,11점 표본(1 DLC),,
Main Bearing_DW,ISO281,basic,1.16E-06,45040,0.052041322,19.21549942,576.4649826,11점 표본(1 DLC),,
Main Bearing_DW,ISO281,modified,3.64E-06,45040,0.163800137,6.105001002,183.1500301,11점 표본(1 DLC),,
Main Bearing_DW,ISO16281,basic,1.09E-06,45040,0.049048681,20.38790803,611.6372408,11점 표본(1 DLC),,
Main Bearing_DW,ISO16281,modified,3.92E-06,45040,0.176487068,5.666137527,169.9841258,11점 표본(1 DLC),,
,,,,,,,,,,
=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===,,,,,,,,,,
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
