=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.485322624961916e-06,45040.0,0.2470589310282847,4.047617286442134,121.42851859326402,301점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.909709221310658e-06,45040.0,0.22113330332783204,4.522159190637565,135.66477571912694,301점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.7782463563147038e-06,45040.0,0.17017221588841425,5.876399944487545,176.29199833462636,301점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.977403945727988e-06,45040.0,0.17914227371558858,5.582155340886366,167.46466022659098,301점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.662097048374805e-07,45040.0,0.04351808510588012,22.978952257825355,689.3685677347606,301점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.946802021098176e-07,45040.0,0.022280396303026185,44.88250506855559,1346.4751520566676,301점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,9.071052010154592e-07,45040.0,0.04085601825373628,24.476198189199458,734.2859456759837,301점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.935162944782786e-07,45040.0,0.031235973903301666,32.014369172407946,960.4310751722384,301점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
