rank,bore_mm,ID_mm,t_mm,sigma_run,sigma_rerun,misalign_mrad,SF_fatigue,SF_static
1,4079.0,3846.0,116.5,2099.3,2099.3,1.0923,5.235,15.519
2,4082.0,3850.0,116.0,2099.4,2099.4,1.0896,5.223,15.482
3,4048.0,3811.0,118.5,2099.8,2099.8,0.9862,5.233,15.51
4,4058.0,3822.0,118.0,2099.4,2099.4,0.9991,5.24,15.531
5,4059.0,3824.0,117.5,2099.2,2099.2,1.0016,5.222,15.479
6,4007.0,3765.0,121.0,2099.2,2099.2,0.8779,5.221,15.471
7,4022.0,3782.0,120.0,2099.6,2099.6,0.853,5.223,15.477
8,3991.0,3746.0,122.5,2098.9,2098.9,0.8185,5.236,15.514
