gen,n_front,hv,f1_min,f2_min,budget,masta,cache_hit,geom_out,edge,t_s
1,1,2689.3416,20.1213,114.7124,224,225,0,0,0,73.3
2,2,2788.2423,20.1213,109.6739,448,448,1,0,0,143.9
3,2,2788.2423,20.1213,109.6739,672,668,5,0,0,210.0
4,2,2788.2423,20.1213,109.6739,896,890,7,0,0,275.6
5,3,2814.3457,19.9264,109.6739,1120,1112,9,0,0,341.4
6,4,2850.6194,19.9264,107.7512,1344,1336,9,0,0,406.6
7,5,2950.9972,19.1678,107.7512,1568,1556,13,0,0,469.7
8,4,3058.2494,18.4406,107.7512,1792,1779,14,0,0,534.6
9,5,3062.2763,18.4406,107.4929,2016,2003,14,0,0,600.1
10,5,3062.2763,18.4406,107.4929,2240,2225,16,0,0,665.0
11,4,3176.6116,17.6501,107.4929,2464,2448,17,0,0,731.4
12,4,3176.6116,17.6501,107.4929,2688,2669,20,0,0,797.3
13,4,3214.7361,17.4028,107.4929,2912,2892,21,0,0,863.1
14,4,3214.7361,17.4028,107.4929,3136,3113,24,0,0,928.0
15,4,3214.8453,17.4028,107.4929,3360,3333,28,0,0,993.1
16,4,3214.8453,17.4028,107.4929,3584,3553,32,0,0,1058.0
17,4,3215.8346,17.4028,107.4929,3808,3776,33,0,0,1124.3
18,4,3224.562,17.4028,107.029,4032,3998,35,0,0,1190.1
19,5,3225.1859,17.4028,107.029,4256,4220,37,0,0,1255.8
20,5,3225.1859,17.4028,107.029,4480,4443,38,0,0,1322.1
21,5,3225.1859,17.4028,107.029,4704,4667,38,0,0,1389.3
22,5,3225.1859,17.4028,107.029,4928,4888,41,0,0,1456.2
23,5,3225.1859,17.4028,107.029,5152,5108,45,0,0,1522.0
24,5,3232.7203,17.3505,107.029,5376,5332,45,0,0,1589.4
25,5,3232.7203,17.3505,107.029,5600,5553,48,0,0,1656.1
26,6,3246.1285,17.2641,107.029,5824,5776,49,0,0,1723.3
27,6,3246.1285,17.2641,107.029,6048,5998,51,0,0,1790.1
28,5,3246.8326,17.2641,107.029,6272,6221,52,0,0,1857.8
29,5,3246.8326,17.2641,107.029,6496,6443,54,0,0,1925.0
30,6,3253.7201,17.2641,106.5953,6720,6666,55,0,0,1992.8
31,6,3253.7201,17.2641,106.5953,6944,6888,57,0,0,2060.9
32,7,3263.0031,17.1986,106.5953,7168,7110,59,0,0,2128.2
33,7,3275.7516,17.1122,106.5953,7392,7332,61,0,0,2196.0
34,6,3276.0102,17.1122,106.5953,7616,7556,61,0,0,2264.4
35,5,3276.0956,17.1122,106.5953,7840,7777,64,0,0,2332.2
36,5,3276.0956,17.1122,106.5953,8064,7998,67,0,0,2399.8
37,5,3276.0956,17.1122,106.5953,8288,8219,70,0,0,2467.5
38,5,3276.0956,17.1122,106.5953,8512,8441,72,0,0,2535.3
39,6,3276.0956,17.1122,106.5953,8736,8659,78,0,0,2602.3
40,6,3276.0956,17.1122,106.5953,8960,8882,79,0,0,2670.6
41,7,3276.2569,17.1122,106.5953,9184,9101,84,0,0,2737.8
42,7,3276.2569,17.1122,106.5953,9408,9324,85,0,0,2806.1
43,6,3277.2023,17.1122,106.5953,9632,9543,90,0,0,2873.1
44,6,3277.2023,17.1122,106.5953,9856,9765,92,0,0,2941.0
45,6,3277.2023,17.1122,106.5953,10080,9985,96,0,0,3008.4
46,7,3277.3957,17.1122,106.5953,10304,10207,98,0,0,3076.4
47,7,3277.3957,17.1122,106.5953,10528,10426,103,0,0,3144.3
48,7,3277.3957,17.1122,106.5953,10752,10648,105,0,0,3212.7
49,7,3277.3957,17.1122,106.5953,10976,10863,114,0,0,3278.4
50,8,3277.4068,17.1122,106.5953,11200,11083,118,0,0,3345.6
51,9,3277.4086,17.1122,106.5953,11424,11305,120,0,0,3413.8
52,10,3277.4086,17.1122,106.5953,11648,11524,125,0,0,3480.5
53,10,3277.4086,17.1122,106.5953,11872,11743,130,0,0,3547.2
54,9,3277.6546,17.1122,106.5953,12096,11965,132,0,0,3615.3
55,9,3277.6546,17.1122,106.5953,12320,12187,134,0,0,3683.0
56,9,3277.6546,17.1122,106.5953,12544,12404,141,0,0,3749.9
57,9,3277.6546,17.1122,106.5953,12768,12625,144,0,0,3818.0
58,9,3277.6546,17.1122,106.5953,12992,12844,149,0,0,3885.3
59,9,3277.6546,17.1122,106.5953,13216,13065,152,0,0,3953.1
60,9,3277.6546,17.1122,106.5953,13440,13287,154,0,0,4021.3
61,10,3278.1174,17.1122,106.5953,13664,13503,162,0,0,4087.5
62,11,3278.2854,17.1122,106.5953,13888,13721,168,0,0,4154.3
63,10,3278.5001,17.1122,106.5953,14112,13942,171,0,0,4222.3
64,6,3281.4742,17.1122,106.4523,14336,14162,175,0,0,4289.8
65,7,3288.1745,17.1122,106.0317,14560,14384,177,0,0,4357.9
66,7,3288.1745,17.1122,106.0317,14784,14607,178,0,0,4429.5
67,7,3288.1745,17.1122,106.0317,15008,14829,180,0,0,4497.6
68,8,3288.1929,17.1122,106.0317,15232,15047,186,0,0,4564.1
69,8,3288.1929,17.1122,106.0317,15456,15266,191,0,0,4631.8
70,8,3288.1929,17.1122,106.0317,15680,15486,195,0,0,4699.1
71,6,3296.5087,17.0596,106.0317,15904,15706,199,0,0,4767.0
72,6,3296.5087,17.0596,106.0317,16128,15925,204,0,0,4835.1
73,6,3296.5087,17.0596,106.0317,16352,16144,209,0,0,4902.6
74,6,3296.5087,17.0596,106.0317,16576,16360,217,0,0,4969.0
75,6,3296.5087,17.0596,106.0317,16800,16580,221,0,0,5037.6
76,7,3296.5441,17.0596,106.0317,17024,16799,226,0,0,5106.0
77,7,3296.5441,17.0596,106.0317,17248,17017,232,0,0,5173.5
78,7,3296.5441,17.0596,106.0317,17472,17236,237,0,0,5240.4
79,7,3296.5506,17.0596,106.0317,17696,17457,240,0,0,5308.7
80,7,3296.5506,17.0596,106.0317,17920,17678,243,0,0,5377.3
81,8,3296.5537,17.0596,106.0317,18144,17899,246,0,0,5445.5
82,8,3296.5537,17.0596,106.0317,18368,18116,253,0,0,5513.4
83,8,3296.5537,17.0596,106.0317,18592,18339,254,0,0,5582.0
84,8,3296.5537,17.0596,106.0317,18816,18556,261,0,0,5649.9
85,8,3296.5537,17.0596,106.0317,19040,18776,265,0,0,5717.5
86,8,3296.5537,17.0596,106.0317,19264,18994,271,0,0,5784.8
87,8,3296.5537,17.0596,106.0317,19488,19211,278,0,0,5851.5
88,9,3296.5537,17.0596,106.0317,19712,19432,281,0,0,5919.4
89,10,3301.4134,17.0255,106.0317,19936,19651,286,0,0,5987.0
90,10,3301.4134,17.0255,106.0317,20160,19873,288,0,0,6055.5
91,10,3301.6283,17.0255,106.0317,20384,20094,291,0,0,6123.3
92,10,3301.6283,17.0255,106.0317,20608,20316,293,0,0,6191.7
93,8,3302.0211,17.0255,106.0317,20832,20533,300,0,0,6258.4
94,8,3302.0211,17.0255,106.0317,21056,20746,311,0,0,6323.9
95,9,3302.0211,17.0255,106.0317,21280,20963,318,0,0,6391.5
96,8,3302.1827,17.0255,106.0317,21504,21183,322,0,0,6459.8
97,8,3302.1827,17.0255,106.0317,21728,21403,326,0,0,6527.5
98,7,3305.6569,17.0034,106.0317,21952,21619,334,0,0,6593.5
99,7,3305.6569,17.0034,106.0317,22176,21840,337,0,0,6661.1
100,7,3305.6569,17.0034,106.0317,22400,22056,345,0,0,6727.5
101,7,3305.6569,17.0034,106.0317,22624,22276,349,0,0,6795.3
102,7,3305.6599,17.0034,106.0317,22848,22499,350,0,0,6864.4
103,7,3305.6599,17.0034,106.0317,23072,22721,352,0,0,6932.7
