DLC,dt,k,ksel,nbin,D30_ref_UW,D30_ref_DW,D30_scr_UW,D30_scr_DW,eps_UW,eps_DW,eps_Sys,life_ref_UW,life_scr_UW,t_s
DLC1.2-a-s1,20,0.21,center,30,0.20651313753940304,0.013786551327202707,0.21143889374322933,0.013593358505196265,2.3852023471806705,-1.4013136238447577,2.213551146388637,145.26920832954733,141.88496481840232,4.7880811000359245
DLC1.2-a-s2,20,0.18,center,30,0.20754096840542235,0.0138560025432764,0.21135980631823997,0.013753501424964691,1.8400405193049307,-0.7397596672746531,1.7230017749861881,144.54977362058122,141.9380558800742,3.8147161000524648
DLC1.2-a-s3,20,0.18,center,30,0.2102987632369594,0.014487522474786348,0.21432382750923556,0.014418657916192549,1.9139742955791128,-0.475337026835676,1.8018537970865278,142.65419129544165,139.97510378871547,3.139193900045939
DLC1.2-a-s4,20,0.18,center,30,0.21402114522420432,0.014695186914512692,0.21788133265879628,0.014637281203601008,1.8036476865629814,-0.39404541941890914,1.700873250611945,140.1730654630999,137.68962964339957,3.1167143000056967
DLC1.2-a-s5,20,0.2,center,30,0.2213650086751908,0.016368891620958562,0.2256744790866474,0.01624787957034652,1.9467712793668657,-0.7392806636773108,1.8108270005116056,135.52277380938307,132.9348365903685,3.075495299999602
DLC1.2-a-s6,20,0.2,center,30,0.21025989374849152,0.014293737862563743,0.21470964388476071,0.014187830747809771,2.1163095143536426,-0.7409336576078562,1.9841637391425415,142.68056292221556,139.72357951514113,3.490186300012283
DLC1.2-b-s1,20,0.23,center,30,0.19700168105606583,0.013986547777461455,0.20280673329493168,0.01330532857445795,2.946701879774194,-4.87053141234216,2.5690614821243907,152.28296448628848,147.92408275899055,3.243586399999913
DLC1.2-b-s2,20,0.22,center,30,0.19021037470514415,0.012917126337263036,0.19483641938475338,0.01237874504519892,2.43206748673952,-4.167964901845133,2.1278483055720665,157.7201035774452,153.97531988492088,2.890093500027433
DLC1.2-b-s3,20,0.22,center,30,0.18987442895234213,0.013267192923024522,0.1948684741766309,0.012551363407834117,2.6301831435881384,-5.395485837460923,2.2490961484520566,157.9991585256059,153.949991791939,2.7713043999974616
DLC1.2-b-s4,20,0.23,center,30,0.19002437468972705,0.013151535068291111,0.1953781923873226,0.012463095051813974,2.8174373452549473,-5.234674225497782,2.4389892968177396,157.87448346552478,153.54835477506748,2.864961499988567
DLC1.2-b-s5,20,0.22,center,30,0.20221754679177784,0.015620784704837333,0.20743308365186602,0.015050094333468914,2.579171265220914,-3.653403988032,2.249378007202929,148.35507835969753,144.62495312632416,2.917522400035523
DLC1.2-b-s6,20,0.22,center,30,0.18963003373323573,0.01290649590399139,0.19482627000793545,0.012239325953990611,2.740196883585222,-5.169257054460874,2.375034533257314,158.20278786746857,153.98334115198156,2.8686487000086345
DLC1.2-c-s1,20,0.24,center,30,0.17517617151017434,0.0300174699924298,0.17965154433509356,0.02920625153335467,2.5547840133378408,-2.7024877822138693,1.9213250682161842,171.2561688120783,166.98993660774076,3.1723444999661297
DLC1.2-c-s2,20,0.26,center,30,0.17755982993963884,0.029726209950612925,0.18189506416744602,0.028106079564159586,2.441562502780581,-5.4501747419029245,1.5137293928119355,168.95713411191286,164.9302587583305,2.8410776000237092
DLC1.2-c-s3,20,0.25,center,30,0.16493136428718744,0.02428605362232172,0.16919337394533965,0.022981363935916172,2.5841110795221223,-5.372176586180255,1.761477887191254,181.8938449315339,177.31190826475233,2.9260515000205487
DLC1.2-c-s4,20,0.27,center,30,0.16945069047050734,0.027279110493560427,0.1741048629354109,0.026153583133038272,2.746623487918809,-4.125967966542932,1.9690379549782477,177.0426542181689,172.3099486952834,2.783032400009688
DLC1.2-c-s5,20,0.25,center,30,0.17513925955825319,0.03127878653743982,0.17983762663097125,0.03001396126934322,2.6826464178097753,-4.043715911365798,1.8390937647067007,171.29226237262742,166.8171481241816,3.0669732000678778
DLC1.2-c-s6,20,0.25,center,30,0.18924751396312559,0.037473500257014916,0.19328567507486957,0.03584304009607632,2.1337987628893273,-4.350968417030588,1.2341949902419103,158.52255795468693,155.210674502285,2.938068400078919
DLC1.2-d-s1,20,0.26,center,30,0.23465685089908217,0.06753465760395977,0.24096320097999419,0.06421907882269452,2.687477504598479,-4.909447828563273,1.1918217194380132,127.84625671509572,124.50033813457985,3.2784117000410333
DLC1.2-d-s2,20,0.25,center,30,0.21282042980355723,0.05091708283947335,0.21773722080089436,0.04784224387395324,2.3103002854921284,-6.038914238693072,0.9243908323093741,140.96391040884254,137.78076109198128,3.163269299955573
DLC1.2-d-s3,20,0.24,center,30,0.20896246696686843,0.053187580103094746,0.2131981314500965,0.0508955424071993,2.026997740172942,-4.309347579740863,0.9114901782272034,143.56645207848058,140.71417885302682,3.143672999984119
DLC1.2-d-s4,20,0.26,center,30,0.2073175991960842,0.054103543359158554,0.21309374978948695,0.05136152600318424,2.786136158146224,-5.068092006048152,1.372196988167862,144.70551519181706,140.78310616635486,3.138269799936097
DLC1.2-d-s5,20,0.27,center,30,0.23132358045027696,0.06738234957538632,0.23769861485263669,0.06443696229914997,2.7558947470684103,-4.371155495165824,1.3370608327363476,129.68846471079289,126.21024324688959,3.2013867999776267
DLC1.2-d-s6,20,0.26,center,30,0.20924223588867571,0.053712516414255,0.21476609952644551,0.05082464356080143,2.6399372068977023,-5.376536133926402,1.2187491721386001,143.37449546257508,139.6868503276324,3.164589999942109
DLC1.2-e-s1,20,0.29,center,30,0.17297417432132972,0.0500785363617126,0.17693350525914972,0.04578621153479735,2.2889723008388874,-8.571186657517671,0.143107185243041,173.436295433732,169.55522333692429,3.194236400013324
DLC1.2-e-s2,20,0.31,center,30,0.1715528109831688,0.050009787854778276,0.1765130002614927,0.046158212721321784,2.8913482967122928,-7.701642615723447,0.78487907082605,174.8732639708441,169.95915289840931,3.246758699940983
DLC1.2-e-s3,20,0.29,center,30,0.13338378434946008,0.03263349988085495,0.13790809261414083,0.030315420939977918,3.3919477444328994,-7.103372146231168,1.6149209885338633,224.91489611211827,217.53618247725555,3.2595699999365024
DLC1.2-e-s4,20,0.3,center,30,0.15425275954111836,0.04464689014521064,0.1577098427902558,0.03983294103122265,2.241180812208343,-10.782271952942246,-0.3285206990153666,194.48598578881862,190.22275001502678,3.222310000041034
DLC1.2-e-s5,20,0.27,center,30,0.1603298917815599,0.04860366573291895,0.16436828170411863,0.046529894802270315,2.5188003794456515,-4.266696553392036,1.1185092092971027,187.1142035128,182.51696549339957,3.235553800011985
