index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,0.17335,0.05778,372.525,583.211,-4348.478,-13.081,-18735.127,-8095.513
1,20.0,0.11664,0.03888,370.136,547.912,-4481.823,-7.991,-22572.043,-2315.325
2,40.0,0.27952,0.09317,369.951,344.382,-4237.721,11.938,-24359.309,-1944.673
3,60.0,0.28167,0.09389,373.177,357.173,-4245.355,-9.786,-28236.695,-8448.879
4,80.0,0.24822,0.08274,433.41,69.072,-4528.097,10.132,-26581.817,-7312.842
5,100.0,0.21664,0.07221,427.466,201.589,-4284.492,-12.073,-19043.225,-6397.82
6,120.0,0.1529,0.05097,358.293,264.292,-4037.686,17.791,-15877.394,2608.005
7,140.0,0.22606,0.07535,363.735,-53.51,-4019.321,-9.623,-22054.025,5084.036
8,160.0,0.29403,0.09801,379.877,-248.239,-4052.51,13.056,-26897.132,-2667.822
9,180.0,0.43493,0.14498,403.601,-345.696,-4289.741,9.903,-21305.876,-7193.127
10,200.0,0.27244,0.09081,465.569,-91.495,-4547.767,-10.063,-24397.043,3590.117
11,220.0,0.34308,0.11436,379.777,-442.966,-4243.725,12.34,-25870.685,4085.308
12,240.0,0.45131,0.15044,436.983,-370.61,-4493.899,11.107,-23405.767,-3952.513
13,260.0,0.32929,0.10976,387.449,-142.354,-4193.667,-14.192,-24540.204,2113.309
14,280.0,0.32914,0.10971,345.678,-436.009,-4185.087,9.456,-28118.144,-2064.974
15,300.0,0.43893,0.14631,417.953,-303.901,-4335.223,10.417,-19647.729,-5837.108
16,320.0,0.30569,0.1019,336.389,-366.366,-4136.433,-9.614,-24755.347,7861.95
17,340.0,0.25996,0.08665,363.907,-647.391,-4259.966,11.457,-28483.313,4776.922
18,360.0,0.30032,0.10011,424.049,-341.703,-4540.07,-8.359,-23489.814,-4123.796
19,380.0,0.31768,0.10589,383.226,-309.765,-4177.427,11.457,-18393.469,6582.346
20,400.0,0.39866,0.13289,419.478,-292.663,-4432.381,9.346,-26177.505,-3716.036
21,420.0,0.11054,0.03685,445.247,135.122,-4527.142,-9.577,-22808.402,-6408.291
22,440.0,0.21036,0.07012,430.585,219.885,-4399.511,-8.487,-22825.007,2415.273
23,460.0,0.19474,0.06491,372.38,247.961,-4069.046,10.221,-24172.233,4281.813
24,480.0,0.29808,0.09936,380.098,157.45,-4092.755,16.197,-27130.631,-6696.683
25,500.0,0.41032,0.13677,354.822,569.186,-4066.194,-12.423,-16971.799,-10486.158
26,520.0,0.27429,0.09143,378.084,381.384,-4102.559,9.574,-25014.201,2467.918
27,540.0,0.26819,0.0894,402.627,177.231,-4221.362,-8.901,-25743.142,-7946.845
28,560.0,0.23247,0.07749,393.827,611.277,-4282.41,12.202,-18651.458,-10940.9
29,580.0,0.21652,0.07253,386.915,452.519,-4191.684,11.355,-17916.037,-3720.343
