index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,3.49601,1.16534,1369.884,6.274,-4970.417,4240.803,-25515.012,4144.432
1,20.0,3.48453,1.16151,1308.79,6.023,-4964.435,3197.203,-26467.819,2295.922
2,40.0,3.49048,1.16349,1248.772,-8.805,-4971.783,2392.876,-24101.68,4401.734
3,60.0,3.49117,1.16372,1205.289,-5.569,-4978.142,1664.857,-24269.723,8182.158
4,80.0,3.49655,1.16552,1221.872,-3.68,-4979.459,1844.849,-24532.09,8880.472
5,100.0,3.49584,1.16528,1230.53,-4.629,-4979.599,2078.38,-24870.185,7276.16
6,120.0,3.5051,1.16837,1333.39,6.004,-4966.913,3158.174,-27395.238,2613.394
7,140.0,3.49429,1.16476,1342.115,9.364,-4962.457,3450.85,-27763.184,718.708
8,160.0,3.49372,1.16457,1296.695,7.783,-4965.432,2982.639,-29980.487,1316.268
9,180.0,3.51769,1.17256,1447.617,14.393,-4971.014,5602.64,-30101.082,3983.799
10,200.0,3.49338,1.16446,1469.897,13.76,-4975.079,5791.796,-29925.361,4939.862
11,220.0,3.4879,1.16263,1429.111,-7.017,-4968.579,5201.396,-27990.88,1572.913
12,240.0,3.48766,1.16255,1362.001,5.564,-4969.864,3794.076,-29351.811,1688.039
13,260.0,3.50444,1.16815,1431.817,-8.009,-4966.534,5018.869,-28379.191,1630.848
14,280.0,3.49298,1.16433,1423.069,9.789,-4973.084,4854.475,-29570.015,5442.359
15,300.0,3.49699,1.16566,1435.174,12.072,-4983.529,5106.295,-31962.638,7093.66
16,320.0,3.48926,1.16309,1391.176,10.637,-4975.895,4641.876,-34133.494,4247.692
17,340.0,3.48698,1.16233,1302.503,4.514,-4966.459,3244.514,-33151.92,1359.548
18,360.0,3.49303,1.16434,1287.054,-10.086,-4966.794,3218.609,-28552.533,1463.597
19,380.0,3.49768,1.16589,1301.526,-9.42,-4962.579,3216.172,-26528.608,-1527.752
20,400.0,3.4982,1.16607,1318.153,-15.959,-4962.274,3711.572,-22718.816,-2538.626
21,420.0,3.4978,1.16593,1333.676,-15.183,-4968.373,4057.219,-20811.933,-861.004
22,440.0,3.49463,1.16488,1345.914,-19.561,-4975.791,4056.466,-19366.678,2885.043
23,460.0,3.49486,1.16495,1355.38,-22.938,-4976.274,4172.737,-17394.244,3825.388
24,480.0,3.49765,1.16588,1353.695,-28.639,-4973.532,4313.824,-14812.237,2111.575
25,500.0,3.48842,1.16281,1337.549,-25.311,-4973.114,3936.873,-16482.773,1227.462
26,520.0,3.48789,1.16263,1281.069,-17.427,-4972.032,2805.085,-18532.511,3243.262
27,540.0,3.50195,1.16732,1298.713,-18.799,-4982.178,3336.391,-18474.474,6846.463
28,560.0,3.49757,1.16586,1322.857,-9.237,-4979.112,3815.325,-21088.22,6828.353
29,580.0,3.49645,1.17131,1327.832,4.583,-4976.11,4125.096,-23495.066,5097.895
